,Occupancy,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB
2024-01-01 00:00:00,2.0,60.025204777830865,60.0,0.770224,0.0
2024-01-01 00:15:00,2.0,60.49402388915432,60.0,0.0,0.0
2024-01-01 00:30:00,2.0,60.126023889154325,60.0,0.2567413333333333,0.0
2024-01-01 00:45:00,2.0,59.94202388915432,60.0,0.0,0.0
2024-01-01 01:00:00,2.0,59.94202388915432,60.0,0.0,0.0
2024-01-01 01:15:00,2.0,59.94202388915432,60.0,0.0,0.0
2024-01-01 01:30:00,2.0,59.94202388915432,60.0,0.0,0.0
2024-01-01 01:45:00,2.0,59.94202388915432,60.0,0.0,0.0
2024-01-01 02:00:00,2.0,59.94202388915432,60.0,0.0,0.0
2024-01-01 02:15:00,2.0,59.94202388915432,60.0,0.0,0.0
2024-01-01 02:30:00,2.0,59.94202388915432,60.0,0.0,0.0
2024-01-01 02:45:00,2.0,59.94202388915432,60.0,0.0,0.0
2024-01-01 03:00:00,2.0,59.94202388915432,60.0,0.0,0.0
2024-01-01 03:15:00,2.0,60.13963344481605,60.0,0.5134826666666666,0.0
2024-01-01 03:30:00,2.0,61.44712240802675,60.0,0.5134826666666666,0.0
2024-01-01 03:45:00,2.0,59.68072240802675,60.0,0.5134826666666666,0.0
2024-01-01 04:00:00,2.0,60.59500659340658,60.0,0.2567413333333333,0.0
2024-01-01 04:15:00,1.0,61.09474629718107,60.0,0.0,0.0
2024-01-01 04:30:00,1.0,61.09474629718107,60.0,0.0,0.0
2024-01-01 04:45:00,1.0,61.09474629718107,60.0,0.0,0.0
2024-01-01 05:00:00,2.0,58.74929077878642,60.0,3.337637333333334,0.0
2024-01-01 05:15:00,1.0,59.53680802675583,60.0,2.053930666666667,0.0
2024-01-01 05:30:00,1.0,61.42861500238889,60.0,0.2567413333333333,0.0
2024-01-01 05:45:00,2.0,61.13421500238889,60.0,0.0,0.0
2024-01-01 06:00:00,1.0,61.13421500238889,60.0,0.0,0.0
2024-01-01 06:15:00,1.0,61.13421500238889,60.0,0.0,0.0
2024-01-01 06:30:00,1.0,61.13421500238889,60.0,0.0,0.0
2024-01-01 06:45:00,1.0,61.13421500238889,60.0,0.0,0.0
2024-01-01 07:00:00,1.0,61.13421500238889,60.0,0.0,0.0
2024-01-01 07:15:00,1.0,61.13421500238889,60.0,0.0,0.0
2024-01-01 07:30:00,3.0,56.48598337314856,60.0,6.675274666666667,0.0
2024-01-01 07:45:00,3.0,59.39568848542756,60.0,0.0,0.0
2024-01-01 08:00:00,3.0,60.432131485905344,60.0,2.053930666666667,0.0
2024-01-01 08:15:00,3.0,60.28308074534156,60.0,0.0,0.0
2024-01-01 08:30:00,3.0,59.31669985666501,60.0,2.053930666666667,0.0
2024-01-01 08:45:00,3.0,61.56367778308641,60.0,0.5134826666666666,0.0
2024-01-01 09:00:00,3.0,59.65007778308642,60.0,0.5134826666666666,0.0
2024-01-01 09:15:00,3.0,58.96387042522688,60.0,1.5404480000000003,0.0
2024-01-01 09:30:00,3.0,61.09720019111316,60.0,0.0,0.0
2024-01-01 09:45:00,3.0,61.09720019111316,60.0,0.0,0.0
2024-01-01 10:00:00,3.0,60.913200191113155,60.0,0.5134826666666666,0.0
2024-01-01 10:15:00,1.0,59.99320019111316,60.0,0.0,0.0
2024-01-01 10:30:00,1.0,59.878935117056784,60.0,0.5134826666666666,0.0
2024-01-01 10:45:00,3.0,61.03922408026748,60.0,0.0,0.0
2024-01-01 11:00:00,3.0,61.03922408026748,60.0,0.0,0.0
2024-01-01 11:15:00,1.0,61.03922408026748,60.0,0.0,0.0
2024-01-01 11:30:00,3.0,60.18525752508353,60.0,2.053930666666667,0.0
2024-01-01 11:45:00,3.0,61.63994648829423,60.0,0.0,0.0
2024-01-01 12:00:00,3.0,60.94074648829423,60.0,0.5134826666666666,0.0
2024-01-01 12:15:00,3.0,60.53594648829423,60.0,0.0,0.0
2024-01-01 12:30:00,3.0,60.53594648829423,60.0,0.0,0.0
2024-01-01 12:45:00,1.0,59.79994648829423,60.0,0.5134826666666666,0.0
2024-01-01 13:00:00,3.0,59.43194648829423,60.0,0.2567413333333333,0.0
2024-01-01 13:15:00,1.0,59.95705456282838,60.0,2.053930666666667,0.0
2024-01-01 13:30:00,1.0,60.58281815575719,60.0,0.2567413333333333,0.0
2024-01-01 13:45:00,1.0,59.37939646440507,60.0,1.0269653333333333,0.0
2024-01-01 14:00:00,1.0,60.98268284758709,60.0,0.5134826666666666,0.0
2024-01-01 14:15:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 14:30:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 14:45:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 15:00:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 15:15:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 15:30:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 15:45:00,3.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 16:00:00,3.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 16:15:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 16:30:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 16:45:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 17:00:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 17:15:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 17:30:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 17:45:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 18:00:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 18:15:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 18:30:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 18:45:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 19:00:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 19:15:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 19:30:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 19:45:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 20:00:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 20:15:00,3.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 20:30:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 20:45:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 21:00:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 21:15:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 21:30:00,1.0,61.35006593406583,60.0,0.0,0.0
2024-01-01 21:45:00,2.0,60.90846593406583,60.0,0.2567413333333333,0.0
2024-01-01 22:00:00,2.0,59.80446593406584,60.0,0.5134826666666666,0.0
2024-01-01 22:15:00,2.0,60.72138136645952,60.0,0.770224,0.0
2024-01-01 22:30:00,2.0,59.13404605828943,60.0,3.337637333333334,0.0
2024-01-01 22:45:00,2.0,61.612185379837435,60.0,0.0,0.0
2024-01-01 23:00:00,2.0,61.612185379837435,60.0,1.5404480000000003,0.0
2024-01-01 23:15:00,2.0,58.76143793597694,60.0,2.310672,0.0
2024-01-01 23:30:00,2.0,60.71603019589093,60.0,1.5404480000000003,0.0
2024-01-01 23:45:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 00:00:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 00:15:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 00:30:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 00:45:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 01:00:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 01:15:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 01:30:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 01:45:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 02:00:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 02:15:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 02:30:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 02:45:00,2.0,61.486979455327145,60.0,0.0,0.0
2024-01-02 03:00:00,2.0,61.486979455327145,60.0,0.0,0.0
