,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.27166666666666667,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.145,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.058827838588220965,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.07355219735291431,1.5
2024-01-01 01:00:00,0.001,0.001,0.0,0.07355219735291431,1.5
2024-01-01 01:15:00,0.001,0.001,0.0,0.1975521973529143,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.2455521973529143,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.1018049447254705,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.042,1.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.042,1.5
2024-01-01 02:30:00,0.001,0.001,0.0,0.15566666666666668,1.5
2024-01-01 02:45:00,0.001,0.001,0.0,0.129,1.5
2024-01-01 03:00:00,0.001,0.001,0.0,0.152,1.5
2024-01-01 03:15:00,0.001,0.001,0.0,0.064,1.5
2024-01-01 03:30:00,0.001,0.001,0.0,0.042,1.5
2024-01-01 03:45:00,0.001,0.001,0.0,0.14533333333333334,1.5
2024-01-01 04:00:00,0.001,0.001,0.0,0.12466666666666668,1.5
2024-01-01 04:15:00,0.001,0.001,0.0,0.07133333333333333,1.5
2024-01-01 04:30:00,0.001,0.001,0.0,0.152,1.5
2024-01-01 04:45:00,0.001,0.001,0.0,0.04933333333333333,1.5
2024-01-01 05:00:00,0.001,0.001,0.0,0.13499999999999998,1.5
2024-01-01 05:15:00,0.001,0.001,0.0,0.13499999999999998,0.3
2024-01-01 05:30:00,0.001,0.001,0.0,0.042,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.08600000000000001,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.14466666666666667,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.12466666666666668,0.9
2024-01-01 06:30:00,0.001,0.001,0.0,0.14533333333333334,1.5
2024-01-01 06:45:00,0.001,0.001,0.0,0.042,1.2
2024-01-01 07:00:00,0.001,0.001,0.0,0.44179999999999997,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.10066666666666667,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.20233333333333334,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.15566666666666668,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.042,1.1
2024-01-01 08:15:00,0.001,0.001,0.0,0.042,1.5
2024-01-01 08:30:00,0.001,0.001,0.0,0.042,1.5
2024-01-01 08:45:00,0.001,0.001,0.0,0.17733333333333334,1.5
2024-01-01 09:00:00,0.001,0.749399932232701,0.0,1.0389333333333335,1.5
2024-01-01 09:15:00,0.001,1.8972392235313549,0.0,0.042,0.3
2024-01-01 09:30:00,0.001,1.8309528189172917,0.0,0.05413333333333334,0.0
2024-01-01 09:45:00,0.001,0.7354850558423817,0.0,0.055,0.4
2024-01-01 10:00:00,0.001,1.051127759826138,0.0,0.10666666666666667,1.5
2024-01-01 10:15:00,0.001,0.7799923549645357,0.0,0.2773333333333333,1.5
2024-01-01 10:30:00,0.001,0.9284423611314392,0.0,0.5030666666666667,1.0
2024-01-01 10:45:00,0.001,1.6391505578949659,0.0,0.042,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.44179999999999997,0.5
2024-01-01 11:15:00,0.001,0.001,0.0,0.08333333333333333,1.5
2024-01-01 11:30:00,0.001,0.001,0.0,0.18666666666666668,1.1
2024-01-01 11:45:00,0.001,0.001,0.0,0.14466666666666667,1.5
2024-01-01 12:00:00,0.001,0.001,0.0,0.08600000000000001,1.3
2024-01-01 12:15:00,0.001,0.001,0.0,0.17526666666666665,0.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.33953333333333335,0.0
2024-01-01 12:45:00,0.001,0.001,0.0,0.197,0.0
2024-01-01 13:00:00,0.001,0.001,0.0,0.04933333333333333,0.0
2024-01-01 13:15:00,0.001,0.001,0.0,0.28526666666666667,0.0
2024-01-01 13:30:00,0.001,0.001,0.0,0.33786666666666665,0.0
2024-01-01 13:45:00,0.001,0.001,0.0,0.06266666666666668,0.0
2024-01-01 14:00:00,0.001,0.001,0.0,1.6363999999999999,0.9
2024-01-01 14:15:00,0.001,0.001,0.0,0.6920666666666667,1.4
2024-01-01 14:30:00,0.001,0.001,0.0,0.064,0.0
2024-01-01 14:45:00,0.001,0.001,0.0,0.152,0.0
2024-01-01 15:00:00,0.001,0.001,0.0,0.067,0.0
2024-01-01 15:15:00,0.001,0.001,0.0,0.197,1.4
2024-01-01 15:30:00,0.001,0.001,0.0,0.06266666666666668,1.5
2024-01-01 15:45:00,0.001,0.001,0.0,0.042,1.5
2024-01-01 16:00:00,0.001,0.001,0.0,0.07866666666666666,1.5
2024-01-01 16:15:00,0.001,0.001,0.0,0.152,1.5
2024-01-01 16:30:00,0.001,0.001,0.0,0.197,1.5
2024-01-01 16:45:00,0.001,0.001,0.0,0.073,1.5
2024-01-01 17:00:00,0.001,0.001,0.0,0.042,1.5
2024-01-01 17:15:00,0.001,0.001,0.0,0.5750666666666666,1.5
2024-01-01 17:30:00,0.001,0.001,0.0,0.17810983231635646,1.5
2024-01-01 17:45:00,0.001,0.001,0.0,2.07489040903934,1.5
2024-01-01 18:00:00,0.001,0.001,0.0,1.259957075706007,0.6
2024-01-01 18:15:00,0.001,0.001,0.0,0.0538237423726735,0.0
2024-01-01 18:30:00,0.001,0.001,0.0,0.0538237423726735,0.0
2024-01-01 18:45:00,0.001,0.001,0.0,0.05303549288116193,0.0
2024-01-01 19:00:00,0.001,0.001,0.0,0.24233333333333332,0.0
2024-01-01 19:15:00,0.001,0.001,0.0,0.1743333333333333,0.0
2024-01-01 19:30:00,0.001,0.001,0.0,0.042,0.0
2024-01-01 19:45:00,0.001,0.001,0.0,0.042,0.0
2024-01-01 20:00:00,0.001,0.001,0.0,0.042,0.0
2024-01-01 20:15:00,0.001,0.001,0.0,0.166,0.0
2024-01-01 20:30:00,0.001,0.001,0.0,0.18466666666666667,0.0
2024-01-01 20:45:00,0.001,0.001,0.0,0.108,0.0
2024-01-01 21:00:00,0.001,0.001,0.0,0.042,0.0
2024-01-01 21:15:00,0.001,0.001,0.0,0.042,0.0
2024-01-01 21:30:00,0.001,0.001,0.0,0.15566666666666668,0.0
2024-01-01 21:45:00,0.001,0.001,0.0,0.11433333333333334,0.0
2024-01-01 22:00:00,0.001,0.001,0.0,0.13733333333333334,0.0
2024-01-01 22:15:00,0.001,0.001,0.0,0.09333333333333332,0.0
2024-01-01 22:30:00,0.001,0.001,0.0,0.042,0.0
2024-01-01 22:45:00,0.001,0.001,0.0,0.14769808180786806,0.7
2024-01-01 23:00:00,0.001,0.001,0.0,0.13649040903934015,1.5
2024-01-01 23:15:00,0.001,0.001,0.0,0.0538237423726735,1.5
2024-01-01 23:30:00,0.001,0.001,0.0,0.1638237423726735,0.6
2024-01-01 23:45:00,0.001,0.001,0.0,0.09049040903934016,0.0
2024-01-02 00:00:00,0.001,0.001,0.0,0.1681242527974471,0.0
2024-01-02 00:15:00,0.001,0.001,0.0,0.1665521973529143,1.2
2024-01-02 00:30:00,0.001,0.001,0.0,0.07355219735291431,0.9
2024-01-02 00:45:00,0.001,0.001,0.0,0.08821886401958097,0.0
2024-01-02 01:00:00,0.001,0.001,0.0,0.17093131841174858,0.0
2024-01-02 01:15:00,0.001,0.001,0.0,0.14666666666666667,0.0
2024-01-02 01:30:00,0.001,0.001,0.0,0.14533333333333334,0.0
2024-01-02 01:45:00,0.001,0.001,0.0,0.042,1.4
2024-01-02 02:00:00,0.001,0.001,0.0,0.042,1.5
2024-01-02 02:15:00,0.001,0.001,0.0,0.47113333333333335,1.5
2024-01-02 02:30:00,0.001,0.001,0.0,0.22433333333333333,0.2
2024-01-02 02:45:00,0.001,0.001,0.0,0.163,0.0
2024-01-02 03:00:00,0.001,0.001,0.0,0.042,0.0
2024-01-02 03:15:00,0.001,0.001,0.0,0.042,0.0
2024-01-02 03:30:00,0.001,0.001,0.0,0.042,0.0
2024-01-02 03:45:00,0.001,0.001,0.0,0.148,0.8
2024-01-02 04:00:00,0.001,0.001,0.0,0.26866666666666666,1.5
2024-01-02 04:15:00,0.001,0.001,0.0,0.042,0.5
2024-01-02 04:30:00,0.001,0.001,0.0,0.042,0.0
2024-01-02 04:45:00,0.001,0.001,0.0,0.042,0.0
2024-01-02 05:00:00,0.001,0.001,0.0,0.09366666666666666,0.0
2024-01-02 05:15:00,0.001,0.001,0.0,0.235,0.0
2024-01-02 05:30:00,0.001,0.001,0.0,0.13,0.0
2024-01-02 05:45:00,0.001,0.001,0.0,0.042,0.0
2024-01-02 06:00:00,0.001,0.001,0.0,0.042,0.0
2024-01-02 06:15:00,0.001,0.001,0.0,0.08333333333333333,0.0
2024-01-02 06:30:00,0.001,0.001,0.0,0.18666666666666668,0.0
2024-01-02 06:45:00,0.001,0.001,0.0,0.11533333333333333,0.0
2024-01-02 07:00:00,0.001,0.001,0.0,0.5151333333333333,1.3
2024-01-02 07:15:00,0.001,0.001,0.0,0.042,1.5
2024-01-02 07:30:00,0.001,0.001,0.0,0.073,0.8
2024-01-02 07:45:00,0.001,0.001,0.0,0.197,0.0
2024-01-02 08:00:00,0.001,0.001,0.0,0.042,0.0
2024-01-02 08:15:00,0.001,0.001,0.0,0.13,0.0
2024-01-02 08:30:00,0.001,0.001,0.0,0.10066666666666667,0.7
