,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.114,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.295,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.08866666666666667,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.05933333333333333,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.2653333333333333,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.173,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 02:45:00,0.001,0.08866666666666667,0.0,0.0,0.0
2024-01-01 03:00:00,0.001,0.14,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.19666666666666666,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.12433333333333334,0.0,0.0,0.0
2024-01-01 03:45:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.11800000000000001,0.0,0.0,0.0
2024-01-01 04:15:00,0.001,0.11066666666666666,0.0,0.6666666666666666,0.0
2024-01-01 04:30:00,0.001,0.08299999999999999,0.0,1.6,0.0
2024-01-01 04:45:00,0.001,0.207,0.0,0.0,0.0
2024-01-01 05:00:00,0.001,0.08299999999999999,0.0,0.0,0.0
2024-01-01 05:15:00,0.001,0.14733333333333334,0.0,0.0,0.0
2024-01-01 05:30:00,0.001,0.08133333333333333,0.0,0.0,0.0
2024-01-01 05:45:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 06:00:00,0.001,0.12433333333333334,0.0,0.0,0.0
2024-01-01 06:15:00,0.001,0.21133333333333332,0.0,0.0,0.0
2024-01-01 06:30:00,0.001,0.162,0.0,0.0,0.0
2024-01-01 06:45:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 07:00:00,0.001,0.052,0.0,1.7333333333333334,0.0
2024-01-01 07:15:00,0.001,0.052,0.0,2.0,0.0
2024-01-01 07:30:00,0.001,0.20966666666666667,0.0,2.0,0.0
2024-01-01 07:45:00,0.001,0.23600000000000002,0.0,2.0,2.0
2024-01-01 08:00:00,0.001,0.5850666666666666,0.0,2.0,0.6
2024-01-01 08:15:00,0.001,0.052,0.0,2.0,0.0
2024-01-01 08:30:00,0.001,0.052,0.0,2.0,0.0
2024-01-01 08:45:00,0.001,0.5251333333333333,0.0,0.4,1.6
2024-01-01 09:00:00,0.001,0.25833333333333336,0.0,0.0,1.0
2024-01-01 09:15:00,0.001,0.114,0.0,0.0,0.0
2024-01-01 09:30:00,0.001,0.052,0.0,0.0,2.2
2024-01-01 09:45:00,0.001,0.052,6.6,0.0,0.0
2024-01-01 10:00:00,0.001,0.15466666666666667,10.266666666666667,0.0,0.0
2024-01-01 10:15:00,0.001,0.11533333333333333,0.0,0.0,0.0
2024-01-01 10:30:00,0.001,0.207,0.0,0.0,0.0
2024-01-01 10:45:00,0.001,0.07266666666666666,0.0,0.0,0.0
2024-01-01 11:00:00,0.001,0.074,0.0,0.0,0.0
2024-01-01 11:15:00,0.001,0.15466666666666667,0.0,1.0666666666666667,0.0
2024-01-01 11:30:00,0.001,0.052,0.0,0.5333333333333333,0.0
2024-01-01 11:45:00,0.001,0.13466666666666666,0.0,0.0,0.0
2024-01-01 12:00:00,0.001,0.18633333333333332,0.0,0.0,0.0
2024-01-01 12:15:00,0.001,0.10333333333333333,0.0,0.0,0.0
2024-01-01 12:30:00,0.001,0.12533333333333335,0.0,0.0,0.0
2024-01-01 12:45:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 13:00:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 13:15:00,0.001,0.176,0.0,0.0,0.0
2024-01-01 13:30:00,0.001,0.22566666666666665,0.0,0.0,0.0
2024-01-01 13:45:00,0.001,0.096,0.0,0.0,0.0
2024-01-01 14:00:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 14:15:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 14:30:00,0.001,0.06233333333333333,0.0,0.0,0.0
2024-01-01 14:45:00,0.001,0.317,0.0,0.9333333333333333,0.0
2024-01-01 15:00:00,0.001,0.11833333333333333,0.0,2.0,0.0
2024-01-01 15:15:00,0.001,0.052,1.4666666666666666,0.13333333333333333,0.0
2024-01-01 15:30:00,0.001,0.052,0.0,0.0,2.0
2024-01-01 15:45:00,0.001,0.08133333333333333,0.0,0.0,0.6
2024-01-01 16:00:00,0.001,0.3038666666666667,0.0,0.0,1.6
2024-01-01 16:15:00,0.001,0.4093333333333334,0.0,0.0,2.0
2024-01-01 16:30:00,0.001,0.3174666666666666,0.0,0.0,0.0
2024-01-01 16:45:00,0.001,0.4048,0.0,0.0,2.6
2024-01-01 17:00:00,0.001,0.4876666666666667,1.4666666666666666,0.0,0.8
2024-01-01 17:15:00,0.001,0.42873333333333336,0.0,0.0,0.0
2024-01-01 17:30:00,0.001,0.27413333333333334,0.0,0.0,2.0
2024-01-01 17:45:00,0.001,0.27280000000000004,0.0,0.0,3.0
2024-01-01 18:00:00,0.001,0.06326666666666667,0.0,0.0,1.4
2024-01-01 18:15:00,0.001,0.2659333333333333,0.0,0.0,1.8
2024-01-01 18:30:00,0.001,0.23893333333333333,0.0,0.0,0.2
2024-01-01 18:45:00,0.001,0.3028,0.0,0.0,0.0
2024-01-01 19:00:00,0.001,0.42933333333333334,0.0,0.0,2.6
2024-01-01 19:15:00,0.001,0.35588633129937963,0.0,0.0,2.8
2024-01-01 19:30:00,0.001,0.4571570757060068,0.0,0.0,0.0
2024-01-01 19:45:00,0.001,0.37513912656872683,0.0,0.0,0.0
2024-01-01 20:00:00,0.001,0.33737593972558777,0.0,0.0,0.0
2024-01-01 20:15:00,0.001,0.3419092730589211,0.0,0.0,0.0
2024-01-01 20:30:00,0.001,0.4881051953189605,0.0,0.0,0.0
