,DishWasher,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.0,0.001,0.07621886401958096
2024-01-01 00:15:00,0.0,0.001,0.5966188640195809
2024-01-01 00:30:00,0.0,0.001,0.06722773262097473
2024-01-01 00:45:00,0.0,0.001,0.0438237423726735
2024-01-01 01:00:00,0.0,0.001,0.2338237423726735
2024-01-01 01:15:00,0.0,0.001,0.1958237423726735
2024-01-01 01:30:00,0.0,0.001,0.0438237423726735
2024-01-01 01:45:00,0.0,0.001,0.5658549161581783
2024-01-01 02:00:00,0.0,0.001,0.032
2024-01-01 02:15:00,0.0,0.001,0.08266666666666667
2024-01-01 02:30:00,0.0,0.001,0.6218
2024-01-01 02:45:00,0.0,0.001,0.13333333333333333
2024-01-01 03:00:00,0.0,0.001,0.032
2024-01-01 03:15:00,0.0,0.001,0.032
2024-01-01 03:30:00,0.0,0.001,0.032
2024-01-01 03:45:00,0.0,0.001,0.13333333333333333
2024-01-01 04:00:00,0.0,0.001,0.222
2024-01-01 04:15:00,0.0,0.001,0.08266666666666667
2024-01-01 04:30:00,0.0,0.001,0.032
2024-01-01 04:45:00,0.0,0.001,0.032
2024-01-01 05:00:00,0.0,0.001,0.032
2024-01-01 05:15:00,0.0,0.001,0.18400000000000002
2024-01-01 05:30:00,0.0,0.001,0.222
2024-01-01 05:45:00,0.0,0.001,0.032
2024-01-01 06:00:00,0.0,0.001,0.0346
2024-01-01 06:15:00,0.0,0.001,0.045
2024-01-01 06:30:00,0.0,0.001,0.057666666666666665
2024-01-01 06:45:00,0.0,0.001,0.235
2024-01-01 07:00:00,0.0,0.001,0.18346666666666664
2024-01-01 07:15:00,0.0,0.001,0.032
2024-01-01 07:30:00,0.0,0.001,0.040413919294110486
2024-01-01 07:45:00,0.0,0.001,0.0635521973529143
2024-01-01 08:00:00,0.0,0.001,0.12688553068624764
2024-01-01 08:15:00,0.0,0.001,0.2639521973529143
2024-01-01 08:30:00,0.0,0.001,0.16521886401958097
2024-01-01 08:45:00,0.0,0.001,0.07234523770585907
2024-01-01 09:00:00,0.0,0.001,0.045
2024-01-01 09:15:00,0.0,0.001,0.4430666666666667
2024-01-01 09:30:00,0.0,0.0836337114293139,0.146
2024-01-01 09:45:00,0.0,0.35241852509254945,2.1016666666666666
2024-01-01 10:00:00,0.0,0.759159940451665,1.0163333333333333
2024-01-01 10:15:00,0.0,0.1313832674071484,0.4981333333333333
2024-01-01 10:30:00,0.0,0.16556550051723923,2.8438
2024-01-01 10:45:00,0.0,1.1133278462578373,0.3648666666666667
2024-01-01 11:00:00,0.0008666666666666667,0.6646948238997311,0.20966666666666667
2024-01-01 11:15:00,1.2004666666666668,0.12497312234815415,0.21539999999999998
2024-01-01 11:30:00,0.001,0.2759831373647351,0.032
2024-01-01 11:45:00,0.0006000000000000001,0.8756974757013526,0.032
2024-01-01 12:00:00,0.0,0.07226666666666669,0.032
2024-01-01 12:15:00,0.0,0.001,0.05733333333333333
2024-01-01 12:30:00,0.0,0.001,0.222
