,WasherDryer,DishWasher,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.0,0.3757,0.0
2024-01-01 00:15:00,0.001,0.0,0.19836666666666666,1.1
2024-01-01 00:30:00,0.001,0.0,0.1857,1.5
2024-01-01 00:45:00,0.001,0.0,0.1857,1.5
2024-01-01 01:00:00,0.001,0.0,0.7187666666666667,1.5
2024-01-01 01:15:00,0.001,0.0,0.29969999999999997,1.5
2024-01-01 01:30:00,0.001,0.0,0.35036666666666666,1.5
2024-01-01 01:45:00,0.001,0.0,0.15855999999999998,1.5
2024-01-01 02:00:00,0.001,0.0,0.05,0.6
2024-01-01 02:15:00,0.001,0.0,0.05,0.0
2024-01-01 02:30:00,0.001,0.0,0.05,0.0
2024-01-01 02:45:00,0.001,0.0,0.20199999999999999,0.0
2024-01-01 03:00:00,0.001,0.0,0.17666666666666667,0.0
2024-01-01 03:15:00,0.001,0.0,0.05,0.0
2024-01-01 03:30:00,0.001,0.0,0.05,0.2
2024-01-01 03:45:00,0.001,0.0,0.05,1.5
2024-01-01 04:00:00,0.001,0.0,0.5830666666666666,1.5
2024-01-01 04:15:00,0.001,0.0,0.23999999999999996,1.5
2024-01-01 04:30:00,0.001,0.0,0.5384666666666666,1.5
2024-01-01 04:45:00,0.001,0.0,0.05,1.5
2024-01-01 05:00:00,0.001,0.0,0.05,0.3
2024-01-01 05:15:00,0.001,0.0,0.05,0.0
2024-01-01 05:30:00,0.001,0.0,0.08800000000000001,0.0
2024-01-01 05:45:00,0.001,0.0,0.7730666666666667,0.0
2024-01-01 06:00:00,0.001,0.0,0.10066666666666667,0.4
2024-01-01 06:15:00,0.001,0.0,0.05,1.5
2024-01-01 06:30:00,0.001,0.0,0.05,1.5
2024-01-01 06:45:00,0.001,0.0,0.055200000000000006,1.5
2024-01-01 07:00:00,0.001,0.0,0.13899999999999998,1.5
2024-01-01 07:15:00,0.001,0.0,0.253,1.5
2024-01-01 07:30:00,0.001,0.0,0.07566666666666667,1.5
2024-01-01 07:45:00,0.001,0.0,0.063,1.5
2024-01-01 08:00:00,0.001,0.0,0.5960666666666666,1.5
2024-01-01 08:15:00,0.001,0.0,0.063,1.5
2024-01-01 08:30:00,0.001,0.0,0.17006666666666667,1.5
2024-01-01 08:45:00,0.001,0.0,0.21466666666666664,1.5
2024-01-01 09:00:00,0.001,0.0,0.5830666666666667,1.5
2024-01-01 09:15:00,0.001,0.0,0.05,1.5
2024-01-01 09:30:00,0.001,0.0,0.05,1.5
2024-01-01 09:45:00,0.001,0.0,0.05,1.4
2024-01-01 10:00:00,0.4756208716345978,0.0,0.20199999999999999,0.0
2024-01-01 10:15:00,0.7920347860576631,0.0,0.17666666666666667,0.0
2024-01-01 10:30:00,0.7920347860576631,0.0,0.46662783858822093,0.0
2024-01-01 10:45:00,0.7920347860576631,0.0,0.0815521973529143,0.0
2024-01-01 11:00:00,0.7920347860576631,0.0,0.1643601114771388,0.6
2024-01-01 11:15:00,0.7920347860576631,0.0,0.1973759397255878,1.5
2024-01-01 11:30:00,0.7920347860576631,0.0,0.9000959397255877,1.5
2024-01-01 11:45:00,0.7920347860576631,0.0,2.3975252072746165,0.6
2024-01-01 12:00:00,0.7920347860576631,0.0,0.9412008485099231,0.0
2024-01-01 12:15:00,0.7920347860576631,0.00013333333333333334,0.4900229417595416,0.0
2024-01-01 12:30:00,0.7920347860576631,1.8002,0.0815521973529143,0.0
2024-01-01 12:45:00,0.7920347860576631,1.2004666666666668,0.1266464427765184,0.0
2024-01-01 13:00:00,0.7920347860576631,1.6502666666666668,0.2833759397255878,0.0
2024-01-01 13:15:00,0.7920347860576631,0.0008666666666666667,0.14404260639225447,0.6
2024-01-01 13:30:00,0.1592069572115326,0.0,0.07865158096089446,1.4
2024-01-01 13:45:00,0.001,0.0,0.0618237423726735,0.0
2024-01-01 14:00:00,0.001,0.0,0.05394124745755783,0.0
2024-01-01 14:15:00,0.001,0.0,0.126,0.0
2024-01-01 14:30:00,0.001,0.0,0.6397999999999999,1.0
2024-01-01 14:45:00,0.001,0.0,0.06266666666666668,1.5
2024-01-01 15:00:00,0.001,0.0,0.05,1.4
2024-01-01 15:15:00,0.001,0.0,1.25,0.0
2024-01-01 15:30:00,0.001,0.0,2.183066666666667,0.0
2024-01-01 15:45:00,0.001,0.0,0.164,0.0
2024-01-01 16:00:00,0.001,0.0,0.23570146490194285,0.0
2024-01-01 16:15:00,0.001,0.0,0.08470519531896056,0.0
2024-01-01 16:30:00,0.001,0.0,0.0933759397255878,0.0
2024-01-01 16:45:00,0.001,0.0,0.0933759397255878,0.0
2024-01-01 17:00:00,0.001,0.0,0.5112692730589212,0.0
2024-01-01 17:15:00,0.001,0.0,0.4851655002550049,0.0
2024-01-01 17:30:00,0.001,0.0,0.32419040903934015,0.0
2024-01-01 17:45:00,0.001,0.0,0.29371966463271293,1.0
2024-01-01 18:00:00,0.001,0.0,0.3067,1.5
2024-01-01 18:15:00,0.001,0.0,0.3189942454236041,1.5
2024-01-01 18:30:00,0.001,0.0,0.7313237423726735,1.5
