,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.001,0.1553759397255878,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.1553759397255878,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.07044906485232955,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.07133333333333332,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.18533333333333332,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.156,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.068,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.10933333333333332,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.19133333333333333,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.13399999999999998,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.046,0.0,2.0
2024-01-01 03:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.14733333333333334,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.19733333333333333,0.0,2.3333333333333335
2024-01-01 04:30:00,0.001,0.001,0.09000000000000001,0.0,5.0
2024-01-01 04:45:00,0.001,0.001,0.046,0.0,1.3333333333333333
2024-01-01 05:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.20733333333333331,0.0,0.3333333333333333
2024-01-01 05:45:00,0.001,0.001,0.18133333333333332,0.0,4.666666666666667
2024-01-01 06:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.2766666666666666,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.112,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.07133333333333332,0.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.29533333333333334,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.068,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.046,0.0,1.3333333333333333
2024-01-01 09:30:00,0.001,0.001,0.046,0.0,1.6666666666666667
2024-01-01 09:45:00,0.001,0.001,0.15333333333333332,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.2353333333333333,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 10:45:00,0.001,0.001,0.046,7.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.2353333333333333,0.0,0.3333333333333333
2024-01-01 11:30:00,0.001,0.001,0.15333333333333332,0.0,2.3333333333333335
2024-01-01 11:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 12:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 12:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 12:30:00,0.001,0.001,0.068,0.0,0.0
2024-01-01 12:45:00,0.001,0.001,0.29533333333333334,0.0,0.0
2024-01-01 13:00:00,0.001,0.001,0.07133333333333333,0.0,0.0
2024-01-01 13:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 13:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 13:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 14:00:00,0.001,0.001,0.112,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.2766666666666666,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.046,0.0,0.3333333333333333
2024-01-01 15:15:00,0.001,0.001,0.046,0.0,2.0
2024-01-01 15:30:00,0.001,0.001,0.18133333333333332,0.0,0.0
2024-01-01 15:45:00,0.001,0.001,0.20733333333333331,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 16:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 16:45:00,0.001,0.001,0.09000000000000001,0.0,0.0
2024-01-01 17:00:00,0.001,0.001,0.19733333333333333,5.0,0.0
2024-01-01 17:15:00,0.001,0.001,0.14733333333333334,13.0,0.0
2024-01-01 17:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.13399999999999998,0.0,1.0
2024-01-01 18:30:00,0.001,0.001,0.19133333333333333,0.0,0.0
2024-01-01 18:45:00,0.001,0.001,0.10933333333333332,0.0,0.0
2024-01-01 19:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 19:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 19:30:00,0.001,0.001,0.068,0.0,0.0
2024-01-01 19:45:00,0.001,0.001,0.2823521973529143,0.0,0.0
2024-01-01 20:00:00,0.001,0.001,0.42205219735291427,0.0,2.3333333333333335
2024-01-01 20:15:00,0.001,0.001,0.3773150276353171,0.0,0.0
2024-01-01 20:30:00,0.001,0.001,0.3590759397255878,0.0,0.0
2024-01-01 20:45:00,0.001,0.001,0.3506620204314774,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.3935237423726735,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.36439040903934017,0.0,0.0
2024-01-01 21:30:00,0.001,0.001,0.35188441310724766,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.7202844131072476,0.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.1935237423726735,0.0,0.0
2024-01-01 22:15:00,0.001,0.0283419891600648,0.1935237423726735,0.0,0.0
2024-01-01 22:30:00,0.001,0.10681042737621244,0.3680570757060068,0.0,0.0
2024-01-01 22:45:00,0.001,0.23745119725150918,0.8949237423726736,0.0,0.0
2024-01-01 23:00:00,0.001,1.1517212860473274,0.45385707570600686,0.0,0.0
2024-01-01 23:15:00,0.001,0.11247319452245182,0.8373431656496898,0.0,0.0
2024-01-01 23:30:00,0.001,0.252807102289962,0.27709102543136,0.0,0.0
2024-01-01 23:45:00,0.001,0.5250463032851831,0.3056521973529143,0.0,0.0
