,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-01-01 00:00:00,2.0,15.0,15.0,13.5,12.0,1.4639680659185654
2024-01-01 00:01:00,2.0,15.0,14.99460860359767,13.503900118664482,12.0,1.4639680659185654
2024-01-01 00:02:00,2.0,15.0,14.989249936779157,13.50776285610709,12.0,1.4639680659185654
2024-01-01 00:03:00,2.0,15.0,14.9839237529793,13.511588502365397,12.0,1.4639680659185654
2024-01-01 00:04:00,2.0,15.0,14.978629807519857,13.515377345253185,12.0,1.4639680659185654
2024-01-01 00:05:00,2.0,15.0,14.973367857595056,13.519129670377488,12.0,1.4639680659185654
2024-01-01 00:06:00,2.0,15.0,14.968137662257243,13.522845761155498,12.0,1.4639680659185654
2024-01-01 00:07:00,2.0,15.0,14.962938982402656,13.526525898831343,12.0,1.4639680659185654
2024-01-01 00:08:00,2.0,15.0,14.957771580757296,13.530170362492733,12.0,1.4639680659185654
2024-01-01 00:09:00,2.0,15.0,14.952635221862906,13.533779429087481,12.0,1.4639680659185654
2024-01-01 00:10:00,2.0,15.0,14.94752967206307,13.537353373439906,12.0,1.4639680659185654
2024-01-01 00:11:00,2.0,15.0,14.942454699489403,13.540892468267092,12.0,1.4639680659185654
2024-01-01 00:12:00,2.0,15.0,14.93741007404786,13.544396984195037,12.0,1.4639680659185654
2024-01-01 00:13:00,2.0,15.0,14.932395567405134,13.547867189774674,12.0,1.4639680659185654
2024-01-01 00:14:00,2.0,15.0,14.92741095297518,13.551303351497769,12.0,1.4639680659185654
2024-01-01 00:15:00,2.0,15.0,14.922456005905818,13.554705733812696,12.0,1.4639680659185654
2024-01-01 00:16:00,2.0,15.0,14.91753050306546,13.558074599140097,12.0,1.4639680659185654
2024-01-01 00:17:00,2.0,15.0,14.912634223029926,13.56141020788841,12.0,1.4639680659185654
2024-01-01 00:18:00,2.0,15.0,14.90776694606936,13.56471281846929,12.0,1.4639680659185654
