,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-01-01 00:00:00,2.0,0,0,0,0.0,0.0,15.0,15.0,13.5,12.0,1.0111834002335978
2024-01-01 00:01:00,2.0,0,0,0,0.0,0.0,15.0,14.99762859488482,13.50134749217859,12.0,1.0111834002335978
2024-01-01 00:02:00,2.0,0,0,0,0.0,0.0,15.0,14.995262813779375,13.50268846204246,12.0,1.0111834002335978
2024-01-01 00:03:00,2.0,0,0,0,0.0,0.0,15.0,14.992902638421944,13.504022932226281,12.0,1.0111834002335978
2024-01-01 00:04:00,2.0,0,0,0,0.0,0.0,15.0,14.990548050612254,13.505350925288091,12.0,1.0111834002335978
2024-01-01 00:05:00,2.0,0,0,0,0.0,0.0,15.0,14.98819903221128,13.506672463709553,12.0,1.0111834002335978
2024-01-01 00:06:00,2.0,0,0,0,0.0,0.0,15.0,14.985855565141035,13.507987569896212,12.0,1.0111834002335978
2024-01-01 00:07:00,2.0,0,0,0,0.0,0.0,15.0,14.983517631384364,13.509296266177754,12.0,1.0111834002335978
2024-01-01 00:08:00,2.0,0,0,0,0.0,0.0,15.0,14.981185212984737,13.510598574808265,12.0,1.0111834002335978
2024-01-01 00:09:00,2.0,0,0,0,0.0,0.0,15.0,14.97885829204605,13.511894517966477,12.0,1.0111834002335978
2024-01-01 00:10:00,2.0,0,0,0,0.0,0.0,15.0,14.976536850732415,13.513184117756031,12.0,1.0111834002335978
2024-01-01 00:11:00,2.0,0,0,0,0.0,0.0,15.0,14.974220871267962,13.51446739620573,12.0,1.0111834002335978
2024-01-01 00:12:00,2.0,0,0,0,0.0,0.0,15.0,14.971910335936629,13.515744375269785,12.0,1.0111834002335978
2024-01-01 00:13:00,2.0,0,0,0,0.0,0.0,15.0,14.969605227081967,13.517015076828079,12.0,1.0111834002335978
2024-01-01 00:14:00,2.0,0,0,0,0.0,0.0,15.0,14.967305527106937,13.518279522686406,12.0,1.0111834002335978
2024-01-01 00:15:00,2.0,0,0,0,0.0,0.0,15.0,14.965011218473707,13.519537734576726,12.0,1.0111834002335978
2024-01-01 00:16:00,2.0,0,0,0,0.0,0.0,15.0,14.962722283703457,13.520789734157418,12.0,1.0111834002335978
2024-01-01 00:17:00,2.0,0,0,0,0.0,0.0,15.0,14.96043870537617,13.522035543013525,12.0,1.0111834002335978
2024-01-01 00:18:00,2.0,0,0,0,0.0,0.0,15.0,14.958160466130446,13.523275182656997,12.0,1.0111834002335978
2024-01-01 00:19:00,2.0,0,0,0,0.0,0.0,15.0,14.955887548663295,13.52450867452695,12.0,1.0111834002335978
2024-01-01 00:20:00,2.0,0,0,0,0.0,0.0,15.0,14.953619935729945,13.525736039989901,12.0,1.0111834002335978
2024-01-01 00:21:00,2.0,0,0,0,0.0,0.0,15.0,14.951357610143642,13.526957300340019,12.0,1.0111834002335978
2024-01-01 00:22:00,2.0,0,0,0,0.0,0.0,15.0,14.949100554775455,13.528172476799366,12.0,1.0111834002335978
2024-01-01 00:23:00,2.0,0,0,0,0.0,0.0,15.0,14.946848752554082,13.529381590518142,12.0,1.0111834002335978
2024-01-01 00:24:00,2.0,0,0,0,0.0,0.0,15.0,14.944602186465655,13.530584662574931,12.0,1.0111834002335978
2024-01-01 00:25:00,2.0,0,0,0,0.0,0.0,15.0,14.942360839553544,13.531781713976939,12.0,1.0111834002335978
2024-01-01 00:26:00,2.0,0,0,0,0.0,0.0,15.0,14.940124694918167,13.532972765660233,12.0,1.0111834002335978
2024-01-01 00:27:00,2.0,0,0,0,0.0,0.0,15.0,14.937893735716793,13.534157838489989,12.0,1.0111834002335978
