,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
2024-01-01 00:00:00,2.0,15.0,15.0,13.5,12.0,0.8205847187454024,0.0,0.076,60.0,60.0,0.0
2024-01-01 00:01:00,2.0,15.0,14.998040221551223,13.501237571525735,12.0,0.8205847187454024,0.0,0.0759891065456283,60.0,59.994553272814144,0.0
2024-01-01 00:02:00,2.0,15.0,14.996084337559985,13.50247072757442,12.0,0.8205847187454024,0.0,0.07597821465266906,60.0,59.989107326334526,0.0
2024-01-01 00:03:00,2.0,15.0,14.994132337981057,13.503699480102473,12.0,0.8205847187454024,0.0,0.07596732432089849,60.0,59.98366216044924,0.0
2024-01-01 00:04:00,2.0,15.0,14.992184212795792,13.504923841034554,12.0,0.8205847187454024,0.0,0.07595643555009282,60.0,59.97821777504641,0.0
2024-01-01 00:05:00,2.0,15.0,14.990239952012052,13.506143822263642,12.0,0.8205847187454024,0.0,0.07594554834002831,60.0,59.972774170014155,0.0
2024-01-01 00:06:00,2.0,15.0,14.988299545664137,13.507359435651123,12.0,0.8205847187454024,0.0,0.07593466269048124,60.0,59.96733134524062,0.0
2024-01-01 00:07:00,2.0,15.0,14.986362983812715,13.50857069302687,12.0,0.8205847187454024,0.0,0.07592377860122795,60.0,59.961889300613976,0.0
2024-01-01 00:08:00,2.0,15.0,14.98443025654475,13.509777606189333,12.0,0.8205847187454024,0.0,0.0759128960720448,60.0,59.956448036022394,0.0
2024-01-01 00:09:00,2.0,15.0,14.982501353973438,13.510980186905613,12.0,0.8205847187454024,0.0,0.07590201510270814,60.0,59.95100755135407,0.0
2024-01-01 00:10:00,2.0,15.0,14.980576266238135,13.512178446911554,12.0,0.8205847187454024,0.0,0.07589113569299441,60.0,59.945567846497205,0.0
2024-01-01 00:11:00,2.0,15.0,14.978654983504281,13.513372397911821,12.0,0.8205847187454024,0.0,0.07588025784268009,60.0,59.94012892134004,0.0
2024-01-01 00:12:00,2.0,15.0,14.976737495963343,13.514562051579986,12.0,0.8205847187454024,0.0,0.07586938155154162,60.0,59.93469077577081,0.0
2024-01-01 00:13:00,2.0,15.0,14.974823793832735,13.515747419558608,12.0,0.8205847187454024,0.0,0.07585850681935555,60.0,59.92925340967777,0.0
2024-01-01 00:14:00,2.0,15.0,14.972913867355755,13.51692851345931,12.0,0.8205847187454024,0.0,0.0758476336458984,60.0,59.9238168229492,0.0
2024-01-01 00:15:00,2.0,15.0,14.971007706801515,13.518105344862876,12.0,0.8205847187454024,0.0,0.07583676203094676,60.0,59.91838101547338,0.0
