,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
2024-01-01 00:00:00,2.0,14.5,14.5,13.25,12.0,1.0620237013971559,0.0,0.076,60.0,60.0,0.0
2024-01-01 00:01:00,2.0,14.5,14.499147129132227,13.250408290414367,12.0,1.0620237013971559,0.0,0.07597821309125656,60.0,59.98910654562828,0.0
2024-01-01 00:02:00,2.0,14.5,14.498295039941341,13.250815704138072,12.0,1.0620237013971559,0.0,0.07595643242816304,60.0,59.97821621408152,0.0
2024-01-01 00:03:00,2.0,14.5,14.497443731415515,13.25122224241852,12.0,1.0620237013971559,0.0,0.07593465800892898,60.0,59.96732900446449,0.0
2024-01-01 00:04:00,2.0,14.5,14.496593202544299,13.251627906501401,12.0,1.0620237013971559,0.0,0.07591288983176445,60.0,59.95644491588222,0.0
2024-01-01 00:05:00,2.0,14.5,14.495743452318614,13.252032697630694,12.0,1.0620237013971559,0.0,0.07589112789488005,60.0,59.94556394744002,0.0
2024-01-01 00:06:00,2.0,14.5,14.494894479730755,13.252436617048671,12.0,1.0620237013971559,0.0,0.07586937219648687,60.0,59.93468609824343,0.0
2024-01-01 00:07:00,2.0,14.5,14.494046283774388,13.252839665995893,12.0,1.0620237013971559,0.0,0.07584762273479652,60.0,59.92381136739826,0.0
2024-01-01 00:08:00,2.0,14.5,14.493198863444547,13.253241845711218,12.0,1.0620237013971559,0.0,0.07582587950802114,60.0,59.912939754010566,0.0
2024-01-01 00:09:00,2.0,14.5,14.492352217737634,13.253643157431801,12.0,1.0620237013971559,0.0,0.07580414251437335,60.0,59.90207125718668,0.0
2024-01-01 00:10:00,2.0,14.5,14.491506345651413,13.2540436023931,12.0,1.0620237013971559,0.0,0.07578241175206632,60.0,59.89120587603316,0.0
2024-01-01 00:11:00,2.0,14.5,14.490661246185011,13.25444318182887,12.0,1.0620237013971559,0.0,0.0757606872193137,60.0,59.88034360965685,0.0
2024-01-01 00:12:00,2.0,14.5,14.489816918338917,13.254841896971174,12.0,1.0620237013971559,0.0,0.07573896891432966,60.0,59.86948445716483,0.0
2024-01-01 00:13:00,2.0,14.5,14.48897336111498,13.25523974905038,12.0,1.0620237013971559,0.0,0.0757172568353289,60.0,59.85862841766445,0.0
2024-01-01 00:14:00,2.0,14.5,14.488130573516404,13.255636739295168,12.0,1.0620237013971559,0.0,0.0756955509805266,60.0,59.8477754902633,0.0
2024-01-01 00:15:00,2.0,14.5,14.487288554547751,13.256032868932525,12.0,1.0620237013971559,0.0,0.0756738513481385,60.0,59.83692567406925,0.0
2024-01-01 00:16:00,2.0,14.5,14.486447303214934,13.256428139187756,12.0,1.0620237013971559,0.0,0.07565215793638079,60.0,59.826078968190394,0.0
2024-01-01 00:17:00,2.0,14.5,14.48560681852522,13.25682255128448,12.0,1.0620237013971559,0.0,0.07563047074347021,60.0,59.815235371735106,0.0
2024-01-01 00:18:00,2.0,14.5,14.484767099487222,13.257216106444638,12.0,1.0620237013971559,0.0,0.07560878976762402,60.0,59.80439488381201,0.0
2024-01-01 00:19:00,2.0,14.5,14.483928145110905,13.257608805888484,12.0,1.0620237013971559,0.0,0.07558711500705996,60.0,59.79355750352998,0.0
2024-01-01 00:20:00,2.0,14.5,14.48308995440758,13.258000650834603,12.0,1.0620237013971559,0.0,0.07556544645999631,60.0,59.782723229998155,0.0
2024-01-01 00:21:00,2.0,14.5,14.4822525263899,13.2583916424999,12.0,1.0620237013971559,0.0,0.07554378412465182,60.0,59.77189206232591,0.0
