,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.001,0.27671886401958096,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.001,0.2202521973529143,0.0,1.0
2024-01-01 00:30:00,0.001,0.001,0.001,0.21604523770585907,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.001,0.5884999999999999,0.0,0.3333333333333333
2024-01-01 01:00:00,0.001,0.001,0.001,0.35336666666666666,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.001,0.3280333333333333,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.001,0.18869999999999998,0.0,0.3333333333333333
2024-01-01 01:45:00,0.001,0.001,0.001,0.18869999999999998,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.001,0.18869999999999998,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.001,0.18869999999999998,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.001,0.2936533333333333,0.0,0.3333333333333333
2024-01-01 02:45:00,0.001,0.001,0.001,0.243,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.001,0.053,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.001,0.053,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.001,0.053,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.001,0.053,0.0,0.3333333333333333
2024-01-01 04:00:00,0.001,0.001,0.001,0.11633333333333333,2.8,0.0
2024-01-01 04:15:00,0.001,0.001,0.001,0.243,1.6,0.0
2024-01-01 04:30:00,0.001,0.001,0.001,0.10366666666666666,0.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.001,0.053,0.0,0.3333333333333333
2024-01-01 05:00:00,0.001,0.001,0.001,0.053,0.2,0.0
2024-01-01 05:15:00,0.001,0.001,0.001,0.053,1.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.001,0.06566666666666666,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.001,0.243,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.001,0.15433333333333332,0.2,0.3333333333333333
2024-01-01 06:15:00,0.001,0.001,0.001,0.053,3.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.001,0.053,3.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.001,0.053,3.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.001,0.053,0.0,0.3333333333333333
