,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,P_use_WB,P_loss_WB,T_set_WB
2024-01-01 00:00:00,2.0,15.0,0.31877635324507475,15.0,13.5,12.0,60.0,0.0,0.07592379316188327,60.0
2024-01-01 00:15:00,2.0,15.0,0.33350252064149255,14.975869904525169,13.515589340503826,12.0,59.91838101547338,2.3106720000000007,0.07376198681982213,60.0
2024-01-01 00:30:00,2.0,15.0,0.32543389969734365,14.95232734229897,13.53052419184096,12.0,58.4300979431635,0.0,0.07377538653539452,60.0
2024-01-01 00:45:00,2.0,15.0,0.31761528147766244,14.929354096498416,13.544825749628918,12.0,58.99579568816845,0.0,0.07411788045770723,60.0
2024-01-01 01:00:00,2.0,15.0,0.3100387386649668,14.906932527968284,13.558514535029722,12.0,59.02361927582738,0.0,0.07410191728596911,60.0
2024-01-01 01:15:00,2.0,15.0,0.3026965957758102,14.885045556869748,13.571610416181887,12.0,59.0514600240866,0.0,0.07408593709762887,60.0
2024-01-01 01:30:00,2.0,15.0,0.2955814211593673,14.863676644912092,13.584132628951432,12.0,59.079317951239176,0.0,0.07408427543983126,60.0
2024-01-01 01:45:00,2.0,15.0,0.2886860192502578,14.842809778148968,13.596099797023584,12.0,58.99967647023601,0.0,0.07412563423915472,60.0
2024-01-01 02:00:00,2.0,15.0,0.2942544313975267,14.822429450321266,13.60752995135608,11.0,59.02749172248727,0.0,0.07409533734840079,60.0
2024-01-01 02:15:00,2.0,15.0,0.28931132496029005,14.80159090990345,13.614070730925192,11.0,59.05533954425798,0.12837066666666666,0.07407936102780717,60.0
2024-01-01 02:30:00,2.0,15.0,0.28369151298379963,14.781161276456825,13.620178735468315,11.0,58.945204540764145,1.2837066666666668,0.07364970801179348,60.0
2024-01-01 02:45:00,2.0,15.0,0.2782412687119031,14.76112819497971,13.625868281642306,11.0,58.346039780598566,0.7702240000000001,0.07279951587422605,60.0
2024-01-01 03:00:00,2.0,15.0,0.27295522710192854,14.741479701421868,13.631153229796821,11.0,59.05229734834007,0.0,0.07408761006692965,60.0
2024-01-01 03:15:00,2.0,15.0,0.26782819351753756,14.722204210266847,13.636046998476148,11.0,59.08015347703066,0.385112,0.07401902142586857,60.0
2024-01-01 03:30:00,2.0,15.0,0.26285513831455865,14.703290502508853,13.640562578460226,11.0,59.01658692270281,0.0,0.0741021816954853,60.0
2024-01-01 03:45:00,2.0,15.0,0.2580311915988393,14.684727714011657,13.644712546359564,11.0,59.04442738671866,0.8985946666666668,0.07388828556077343,60.0
2024-01-01 04:00:00,1.0,15.333333333333334,0.2533516381506594,14.666505324237338,13.648509077778188,11.0,58.42900137500736,0.0,0.0737731955981873,60.0
2024-01-01 04:15:00,2.0,17.666666666666668,0.3199152635863766,14.695751535414889,13.651963960058337,11.0,58.99470147529598,0.0,0.07411569422634397,60.0
2024-01-01 04:30:00,2.0,15.0,0.4276749779149988,15.379513530352568,13.660685907225961,11.0,59.02252741317975,0.0,0.07409973575034227,60.0
2024-01-01 04:45:00,2.0,15.0,0.4247467034765321,15.490541521314642,13.676247146123497,11.0,59.05037050661583,0.0,0.07408376024765263,60.0
2024-01-01 05:00:00,2.0,15.0,0.42751370774175185,15.460554067752906,13.691336337839063,10.0,59.078230773908125,0.0,0.07408210326544144,60.0
2024-01-01 05:15:00,2.0,15.0,0.4198543731223926,15.430306074807268,13.701324320921263,10.0,58.99859162801837,0.0,0.07412346673030878,60.0
2024-01-01 05:30:00,1.0,19.333333333333332,0.45638192000042627,15.400658652092691,13.710674666217894,10.0,59.02640921036754,0.0,0.07410749155999444,60.0
2024-01-01 05:45:00,1.0,20.0,0.5946559024395157,15.980653071563165,13.72305510214655,10.0,59.0542439662156,0.0,0.07407717206884185,60.0
2024-01-01 06:00:00,2.0,15.666666666666666,0.6881410831949037,16.64502151738047,13.745015708843177,10.0,59.082111315878805,0.0,0.07408985656717666,60.0
2024-01-01 06:15:00,2.0,15.0,0.6761402223773251,16.690573127547527,13.772717370695283,10.0,59.002463835097075,0.0,0.07411689657179472,60.0
2024-01-01 06:30:00,2.0,15.0,0.6605252867741508,16.64283957256113,13.79930674557443,10.0,59.030288480445115,0.0,0.07410092525557752,60.0
2024-01-01 06:45:00,2.0,15.0,0.6453917165487781,16.59620780861792,13.824682721731607,10.0,59.05813029514888,0.0,0.07408493693289685,60.0
2024-01-01 07:00:00,1.0,16.333333333333332,0.6322537790004136,16.550643872543183,13.848884779977665,10.0,59.0859892974905,0.0,0.07409760475332856,60.0
2024-01-01 07:15:00,1.0,20.0,0.7173190786248055,16.694418299523942,13.87223388552202,10.0,59.00633348731613,0.0,0.0741103192577259,60.0
2024-01-01 07:30:00,1.0,20.0,0.8521764479431841,17.35012983794114,13.9018777088532,10.0,59.03416520335538,0.0,0.07409435180950452,60.0
2024-01-01 07:45:00,1.0,20.0,0.9831518538295037,17.996324511121763,13.94063445128802,10.0,59.06201408459218,0.0,0.07407836733915601,60.0
2024-01-01 08:00:00,1.0,20.0,1.0724025520967913,18.633276217969318,13.988189264891396,10.0,59.08988014932553,0.0,0.07410537865411662,60.0
2024-01-01 08:15:00,1.0,20.0,1.1938578928456067,19.26412493121959,14.044257439060923,10.0,59.01021598211495,0.0,0.07411807646120111,60.0
2024-01-01 08:30:00,1.0,20.0,1.314501573473348,19.886209570934092,14.108565924931531,10.0,59.0380393590678,0.0,0.07408777118146036,60.0
2024-01-01 08:45:00,1.0,20.0,1.378823978490799,20.49978021114793,14.180827683002207,10.0,59.06589531455835,0.0,0.0740717905773982,60.0
2024-01-01 09:00:00,1.0,20.0,1.297317649615817,20.44950164004229,14.25651369390452,10.0,59.093768449389145,0.0,0.07411314745647929,60.0
2024-01-01 09:15:00,1.0,20.0,1.2595976571331766,20.358176586049087,14.329384175903837,10.0,59.01409593062322,0.0,0.07411151766780892,60.0
2024-01-01 09:30:00,1.0,20.0,1.2263590622077005,20.269272492355515,14.39951225578287,10.0,59.04192635835729,0.0,0.0740955373848834,60.0
2024-01-01 09:45:00,3.0,19.666666666666668,1.194159487015697,20.182713647623235,14.466986142571118,10.0,59.069773965086384,0.0,0.07406520660744692,60.0
2024-01-01 10:00:00,1.0,19.733333333333334,1.0311512007586254,20.098426743042655,14.531891239931536,11.0,59.09765417776351,0.0,0.07412091112062083,60.0
2024-01-01 10:15:00,3.0,19.666666666666668,0.9927242405361575,20.026323867114122,14.59874326004283,11.0,59.01797331296591,0.2567413333333333,0.07397668674479133,60.0
2024-01-01 10:30:00,3.0,19.5,0.9646666344903793,19.956264974855415,14.663251797909682,11.0,59.09245226892588,0.8985946666666668,0.07356085750811027,60.0
2024-01-01 10:45:00,1.0,19.633333333333333,0.9374917334013902,19.888185744295964,14.725491865017846,11.0,59.014884218570764,0.0,0.0741130926628374,60.0
2024-01-01 11:00:00,3.0,19.766666666666666,0.7994933404534159,19.822023895600555,14.785536088126861,12.0,59.04271295316638,0.12837066666666666,0.0740605355119282,60.0
2024-01-01 11:15:00,3.0,19.5,0.7669171433240062,19.766177460401977,14.847877164699018,12.0,59.04009938178473,0.12837066666666666,0.07406535993804435,60.0
2024-01-01 11:30:00,1.0,19.833333333333332,0.743128406402844,19.712064431755355,14.908201053937356,12.0,59.03748062408735,0.2567413333333333,0.07406825483201067,60.0
2024-01-01 11:45:00,1.0,20.0,0.7200940522022221,19.659629837386927,14.966571939520032,12.0,58.89685875434438,0.12837066666666666,0.07407172825460243,60.0
2024-01-01 12:00:00,3.0,19.666666666666668,0.7437798704218627,19.60882045139499,15.023051965589234,12.0,59.001734345088366,0.0,0.07411543905472803,60.0
2024-01-01 12:15:00,1.0,19.733333333333334,0.7247503277160993,19.5561024072346,15.077676989349255,12.0,59.02956055728467,0.0,0.07409947086906507,60.0
2024-01-01 12:30:00,1.0,20.0,0.7478979484629615,19.50496057435977,15.130478636921351,12.0,59.05740393547128,0.0,0.07408348567021462,60.0
2024-01-01 12:45:00,3.0,19.666666666666668,0.8487524422349981,20.06440456713478,15.185161726006157,12.0,59.085264497937594,0.7702240000000001,0.07398575660776699,60.0
2024-01-01 13:00:00,1.0,19.733333333333334,0.8412836597417546,20.239913725151826,15.24620353399927,12.0,58.285230120313365,0.0,0.07368652198949491,60.0
2024-01-01 13:15:00,1.0,20.0,0.8167571439169741,20.180528620822002,15.30587382197149,12.0,59.066025784682054,0.7702240000000001,0.07407205125599521,60.0
2024-01-01 13:30:00,1.0,20.0,0.7927505946914338,20.122892560634217,15.363525781200105,12.0,58.265898639280245,0.7702240000000001,0.07241898958803437,60.0
2024-01-01 13:45:00,1.0,20.0,0.7695019117228241,20.066950319056723,15.419223848054559,12.0,58.972565277324634,0.12837066666666666,0.07407980855235531,60.0
2024-01-01 14:00:00,1.0,20.0,0.8783044802663382,20.012648424363565,15.473030410794937,12.0,59.07743218165201,0.0,0.07408050768246056,60.0
2024-01-01 14:15:00,1.0,20.0,0.8638303251973459,19.949991781724478,15.524936454474826,12.0,58.99779475103302,0.0,0.07412187457442955,60.0
