,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.4253785710391924,0.0,0.0
2024-01-01 00:15:00,0.001,0.38003333333333333,0.0,0.0
2024-01-01 00:30:00,0.001,0.31379424542360407,0.0,0.0
2024-01-01 00:45:00,0.001,0.3185237423726735,0.0,1.5
2024-01-01 01:00:00,0.001,0.4313237423726735,0.0,0.2
2024-01-01 01:15:00,0.001,0.8685904090393401,0.0,0.3
2024-01-01 01:30:00,0.001,0.30019040903934013,0.0,0.3
2024-01-01 01:45:00,0.001,0.18727649898302312,0.0,0.1
2024-01-01 02:00:00,0.001,0.1857,0.0,0.2
2024-01-01 02:15:00,0.001,0.2870333333333333,0.0,1.3
2024-01-01 02:30:00,0.001,0.3703666666666666,0.0,1.5
2024-01-01 02:45:00,0.001,0.29569999999999996,0.0,0.9
2024-01-01 03:00:00,0.001,0.20769999999999997,0.0,0.3
2024-01-01 03:15:00,0.001,0.05,0.0,1.2
2024-01-01 03:30:00,0.001,0.07533333333333332,0.0,1.5
2024-01-01 03:45:00,0.001,0.23999999999999996,0.0,0.7
2024-01-01 04:00:00,0.001,0.20133333333333334,0.0,0.4
2024-01-01 04:15:00,0.001,0.10133333333333333,1.8,0.2
2024-01-01 04:30:00,0.001,0.05,3.0,0.2
2024-01-01 04:45:00,0.001,0.05,3.0,0.1
2024-01-01 05:00:00,0.001,0.18933333333333333,3.0,0.1
2024-01-01 05:15:00,0.001,0.24799999999999997,0.0,0.9
2024-01-01 05:30:00,0.001,0.13066666666666665,0.0,0.5
2024-01-01 05:45:00,0.001,0.05,0.0,0.0
2024-01-01 06:00:00,0.001,0.05,2.2,0.4
2024-01-01 06:15:00,0.001,0.11333333333333333,0.0,0.0
2024-01-01 06:30:00,0.001,0.2693333333333333,0.0,0.2
2024-01-01 06:45:00,0.001,0.5851333333333333,0.0,0.4
2024-01-01 07:00:00,0.001,0.05,0.0,0.6
2024-01-01 07:15:00,0.001,0.05,0.0,1.4
2024-01-01 07:30:00,0.001,0.05693333333333333,0.0,0.1
2024-01-01 07:45:00,0.001,0.24033333333333334,0.0,0.1
2024-01-01 08:00:00,0.001,0.2743333333333334,0.0,0.1
2024-01-01 08:15:00,0.001,0.09233333333333334,0.0,0.2
2024-01-01 08:30:00,0.001,0.063,0.0,0.0
2024-01-01 08:45:00,0.001,0.05693333333333333,0.0,0.2
2024-01-01 09:00:00,0.001,0.15133333333333335,0.0,0.3
2024-01-01 09:15:00,0.001,0.3132,2.2,1.5
2024-01-01 09:30:00,0.001,0.12166666666666666,0.0,1.2
2024-01-01 09:45:00,0.001,0.063,0.0,1.3
2024-01-01 10:00:00,0.001,0.063,0.0,0.6
2024-01-01 10:15:00,0.001,0.6196666666666667,0.0,0.1
2024-01-01 10:30:00,0.001,0.29133333333333333,0.0,0.3
2024-01-01 10:45:00,0.001,0.2022,0.0,1.3
2024-01-01 11:00:00,0.001,1.2954666666666668,0.0,0.9
2024-01-01 11:15:00,0.06337075933274473,2.263418993898139,0.0,0.2
2024-01-01 11:30:00,0.3414159952733573,0.9283970757060068,0.0,0.1
2024-01-01 11:45:00,0.7703547907991353,0.35715707570600685,0.0,0.1
2024-01-01 12:00:00,0.14195283548275117,0.4472605555295345,0.0,0.5
2024-01-01 12:15:00,0.1586556859711958,0.17850927305892114,0.0,1.5
2024-01-01 12:30:00,1.0589097406909311,0.738218864019581,0.0,0.5
2024-01-01 12:45:00,0.7245716183784601,0.2155521973529143,0.0,0.3
2024-01-01 13:00:00,0.12587528452921137,0.36720553068624756,0.0,0.2
2024-01-01 13:15:00,0.2671050864688897,0.6089601114771387,0.0,0.5
2024-01-01 13:30:00,0.8015628867911536,0.4103759397255878,0.0,0.3
2024-01-01 13:45:00,0.16532933341856276,0.25730927305892115,0.0,0.2
2024-01-01 14:00:00,0.001,0.2143759397255878,2.2,0.1
2024-01-01 14:15:00,0.1481101721312174,0.2143759397255878,0.0,0.1
2024-01-01 14:30:00,0.4300445279238899,0.6207138888628678,0.0,0.0
2024-01-01 14:45:00,0.663232898700175,0.3391215828248449,0.0,0.1
2024-01-01 15:00:00,0.14419002230744984,0.176517746440581,0.0,0.1
2024-01-01 15:15:00,0.29652354140320536,0.3158707020197288,0.0,0.9
2024-01-01 15:30:00,1.296082042536148,0.4710759397255878,0.0,0.8
2024-01-01 15:45:00,0.3347254971841325,0.5276759397255878,0.0,0.3
2024-01-01 16:00:00,0.10695473016285469,0.6227426063922544,0.0,0.5
2024-01-01 16:15:00,0.2916451819641228,0.40601694582744907,0.0,0.0
2024-01-01 16:30:00,0.001,0.3923,0.0,0.4
2024-01-01 16:45:00,0.001,0.3197,0.0,0.0
2024-01-01 17:00:00,0.001,0.4565,0.0,0.4
2024-01-01 17:15:00,0.001,0.7407,0.0,0.7
2024-01-01 17:30:00,0.001,0.4772472526274438,0.0,1.3
2024-01-01 17:45:00,0.001,1.2000521973529141,0.0,0.6
2024-01-01 18:00:00,0.001,2.540769943793495,0.0,0.2
2024-01-01 18:15:00,0.001,1.9794759397255879,0.0,0.4
