,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.14493333333333333,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.047,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.15273333333333336,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.32866666666666666,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.4003333333333333,0.2
2024-01-01 01:15:00,0.001,0.001,0.0,0.2175173991176381,0.2
2024-01-01 01:30:00,0.001,0.001,0.0,0.1761521973529143,0.2
2024-01-01 01:45:00,0.001,0.001,0.0,0.07855219735291431,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.15321886401958096,0.2
2024-01-01 02:15:00,0.001,0.001,0.0,0.40367362631372194,0.2
2024-01-01 02:30:00,0.001,0.001,0.0,0.21966666666666665,0.4
2024-01-01 02:45:00,0.001,0.001,0.0,0.169,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.169,0.2
2024-01-01 03:15:00,0.001,0.001,0.0,0.169,0.4
2024-01-01 03:30:00,0.001,0.001,0.0,0.44673333333333337,0.8
2024-01-01 03:45:00,0.001,0.001,0.0,0.14133333333333334,0.2
2024-01-01 04:00:00,0.001,0.001,0.0,0.047,0.2
2024-01-01 04:15:00,0.001,0.001,0.0,0.047,0.2
2024-01-01 04:30:00,0.001,0.001,0.0,0.047,0.2
2024-01-01 04:45:00,0.001,0.001,0.0,0.2966666666666667,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.22633333333333333,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.047,0.2
2024-01-01 05:30:00,0.001,0.001,0.0,0.047,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.047,0.2
2024-01-01 06:00:00,0.001,0.001,0.0,0.21166666666666664,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.2906666666666667,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.06766666666666668,0.2
2024-01-01 06:45:00,0.001,0.001,0.0,0.047,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.047,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.19899999999999998,0.2
2024-01-01 07:30:00,0.001,0.001,0.0,0.23099999999999998,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.14,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.047,0.2
2024-01-01 08:15:00,0.001,0.001,0.0,0.047,0.0
