,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.33414871752938674,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.3046999999999999,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.46936666666666665,0.0,0.2
2024-01-01 00:45:00,0.001,0.001,0.0,0.25766666666666665,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.048,0.0,0.4
2024-01-01 01:15:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.048,0.0,1.2
2024-01-01 01:45:00,0.001,0.001,0.0,0.18733333333333332,2.0,0.6
2024-01-01 02:00:00,0.001,0.001,0.0,0.16199999999999998,0.6,0.2
2024-01-01 02:15:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 02:30:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 03:00:00,0.001,0.001,0.0,0.6950666666666667,0.0,0.4
2024-01-01 03:15:00,0.001,0.001,0.0,0.18733333333333332,0.0,0.2
2024-01-01 03:30:00,0.001,0.001,0.0,0.048,0.0,0.4
2024-01-01 03:45:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 04:00:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.13666666666666666,0.6,1.0
2024-01-01 04:30:00,0.001,0.001,0.0,0.21266666666666667,2.4,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 05:00:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 05:30:00,0.001,0.001,0.0,0.11133333333333333,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.238,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 06:15:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.08600000000000001,0.0,0.2
2024-01-01 07:00:00,0.001,0.001,0.0,0.238,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.07333333333333333,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 07:45:00,0.001,0.001,0.0,0.048,0.6,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.06066666666666667,2.0,0.2
2024-01-01 08:15:00,0.001,0.001,0.0,0.238,0.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.09866666666666667,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 09:00:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.22533333333333333,0.0,0.2
2024-01-01 09:45:00,0.001,0.001,0.0,0.12399999999999999,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.44780000000000003,0.0,0.2
2024-01-01 10:15:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 10:30:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 10:45:00,0.001,0.001,0.0,0.2,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.14933333333333332,0.0,0.2
2024-01-01 11:15:00,0.001,0.001,0.0,0.048,0.0,0.4
2024-01-01 11:30:00,0.001,0.001,0.0,0.048,1.8,0.4
2024-01-01 11:45:00,0.001,0.001,0.0,0.3146666666666667,0.8,0.2
2024-01-01 12:00:00,0.001,0.001,0.0,2.1746666666666665,0.0,1.8
2024-01-01 12:15:00,0.001,0.001,0.0,0.5746666666666667,0.0,1.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.048,0.0,1.0
2024-01-01 12:45:00,0.001,0.001,0.0,0.07008,0.0,0.0
2024-01-01 13:00:00,0.001,0.001,0.0,0.13632,0.0,1.6
2024-01-01 13:15:00,0.001,0.001,0.0,0.14933333333333332,0.0,0.2
2024-01-01 13:30:00,0.001,0.001,0.0002,0.22524175788233144,0.0,0.8
2024-01-01 13:45:00,0.001,0.001,0.30086666666666667,0.08822294175954153,0.0,0.8
2024-01-01 14:00:00,0.001,0.001,0.9006000000000001,0.0913759397255878,0.0,1.4
2024-01-01 14:15:00,0.1064713048076884,0.001,0.001,0.5960426063922545,0.0,0.0
2024-01-01 14:30:00,0.7920347860576631,0.001,0.001,0.3969359397255878,0.0,0.2
2024-01-01 14:45:00,0.7920347860576631,0.001,0.001,0.4938615192444971,0.0,0.2
2024-01-01 15:00:00,0.7920347860576631,0.001,0.001,0.7044999999999999,0.0,0.2
2024-01-01 15:15:00,0.7920347860576631,0.001,0.001,0.3165237423726735,0.0,0.6
2024-01-01 15:30:00,0.7920347860576631,0.001,0.001,0.26005707570600683,2.6,2.8
2024-01-01 15:45:00,0.7920347860576631,0.001,1.2004666666666668,0.36719040903934014,0.0,1.0
2024-01-01 16:00:00,0.7920347860576631,0.001,1.2004666666666668,1.0395904090393402,0.0,0.8
2024-01-01 16:15:00,0.7920347860576631,0.001,0.001,0.3205196646327129,0.0,1.0
2024-01-01 16:30:00,0.7920347860576631,0.001,0.0008,0.7044999999999999,0.0,0.2
2024-01-01 16:45:00,0.7920347860576631,0.001,0.0,0.2563,0.0,1.0
2024-01-01 17:00:00,0.7920347860576631,0.001,0.0,0.34737926568507815,0.0,1.0
2024-01-01 17:15:00,0.05373565240384421,0.001,0.0,0.5380759397255878,0.0,0.2
2024-01-01 17:30:00,0.001,0.001,0.0,0.3860759397255878,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.0,0.3480759397255878,0.0,0.2
2024-01-01 18:00:00,0.001,0.001,0.0,0.34649944074256467,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.0,0.3417699437934953,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.0,0.5380759397255878,0.0,0.2
2024-01-01 18:45:00,0.001,0.001,0.0,0.6779426063922546,0.0,3.0
2024-01-01 19:00:00,0.001,0.001,0.0,0.6146092730589211,0.0,0.4
2024-01-01 19:15:00,0.001,0.001,0.0,0.32073070201972875,0.8,1.2
2024-01-01 19:30:00,0.001,0.001,0.0,0.3165237423726735,1.8,0.8
2024-01-01 19:45:00,0.001,0.001,0.0,0.48119040903934013,0.0,1.0
2024-01-01 20:00:00,0.001,0.001,0.0,0.4178112879805059,0.0,1.6
2024-01-01 20:15:00,0.001,0.001,0.0,0.7478759397255879,0.0,0.2
2024-01-01 20:30:00,0.001,0.001,6.666666666666667e-05,0.3480759397255878,0.0,0.4
2024-01-01 20:45:00,0.001,0.001,0.001,0.3480759397255878,0.0,0.4
2024-01-01 21:00:00,0.001,0.001,1.2004666666666668,0.4228759397255878,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.001,0.26990927305892115,0.0,0.2
2024-01-01 21:30:00,0.001,0.001,0.001,0.18292722219620114,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.001,0.2102724599020602,0.0,1.8
2024-01-01 22:00:00,0.001,0.001,0.001,0.21237593972558783,0.0,2.6
2024-01-01 22:15:00,0.001,0.001,0.001,0.32637593972558776,0.0,0.2
2024-01-01 22:30:00,0.001,0.001,0.001,0.7031092730589211,0.0,0.0
2024-01-01 22:45:00,0.001,0.001,0.9006000000000001,0.0913759397255878,0.0,1.6
2024-01-01 23:00:00,0.001,0.001,1.5001333333333333,0.0913759397255878,0.0,0.2
2024-01-01 23:15:00,0.001,0.001,0.0,0.7064426063922545,0.0,0.2
2024-01-01 23:30:00,0.001,0.001,0.0,0.2907953630026041,0.0,0.0
2024-01-01 23:45:00,0.001,0.001,0.0,0.365218864019581,0.0,0.0
