,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-01 21:30:00,0.001,0.001,0.001,0.42769999999999997,0.4
2024-01-01 21:45:00,0.001,0.001,0.001,0.5417000000000001,0.8
2024-01-01 22:00:00,0.001,0.001,0.001,0.5037,0.2
2024-01-01 22:15:00,0.001,0.001,0.001,0.3631,0.0
2024-01-01 22:30:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-01 22:45:00,0.001,0.001,0.001,0.18469999999999998,0.2
2024-01-01 23:00:00,0.001,0.001,0.001,0.23536666666666664,0.0
2024-01-01 23:15:00,0.001,0.001,0.001,0.32403333333333334,0.2
2024-01-01 23:30:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-01 23:45:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-02 00:00:00,0.001,0.001,0.001,0.18469999999999998,0.2
2024-01-02 00:15:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-02 00:30:00,0.001,0.001,0.001,0.3620333333333333,0.0
2024-01-02 00:45:00,0.001,0.001,0.001,0.19736666666666663,0.2
2024-01-02 01:00:00,0.001,0.001,0.001,0.15755999999999998,0.0
2024-01-02 01:15:00,0.001,0.001,0.001,0.049,0.0
2024-01-02 01:30:00,0.001,0.001,0.001,0.049,0.2
2024-01-02 01:45:00,0.001,0.001,0.001,0.16299999999999998,0.2
2024-01-02 02:00:00,0.001,0.001,0.001,0.125,0.8
2024-01-02 02:15:00,0.001,0.001,0.001,0.049,0.4
2024-01-02 02:30:00,0.001,0.001,0.001,0.049,0.4
2024-01-02 02:45:00,0.001,0.001,0.001,0.049,2.2
2024-01-02 03:00:00,0.001,0.001,0.001,0.09966666666666667,0.2
2024-01-02 03:15:00,0.001,0.001,0.001,0.18833333333333332,0.2
2024-01-02 03:30:00,0.001,0.001,0.001,0.18226666666666666,0.6
2024-01-02 03:45:00,0.001,0.001,0.001,0.3155333333333334,0.2
2024-01-02 04:00:00,0.001,0.001,0.001,0.049,0.2
2024-01-02 04:15:00,0.001,0.001,0.001,0.44880000000000003,0.0
2024-01-02 04:30:00,0.001,0.001,0.001,0.22633333333333333,0.0
2024-01-02 04:45:00,0.001,0.001,0.001,0.06166666666666667,0.8
2024-01-02 05:00:00,0.001,0.001,0.001,0.049,0.4
2024-01-02 05:15:00,0.001,0.001,0.001,0.049,0.4
2024-01-02 05:30:00,0.001,0.001,0.001,0.049,0.0
2024-01-02 05:45:00,0.001,0.001,0.001,0.16299999999999998,0.6
2024-01-02 06:00:00,0.001,0.001,0.001,0.125,0.2
2024-01-02 06:15:00,0.001,0.001,0.001,0.049,0.6
2024-01-02 06:30:00,0.001,0.001,0.001,0.0516,1.4
2024-01-02 06:45:00,0.001,0.001,0.001,0.06199999999999999,1.4
2024-01-02 07:00:00,0.001,0.001,0.001,0.11266666666666666,0.6
2024-01-02 07:15:00,0.001,0.001,0.001,0.7344,0.2
2024-01-02 07:30:00,0.001,0.001,0.001,0.06199999999999999,0.4
2024-01-02 07:45:00,0.001,0.001,0.001,0.06199999999999999,1.4
2024-01-02 08:00:00,0.001,0.001,0.001,0.06199999999999999,2.0
2024-01-02 08:15:00,0.001,0.001,0.001,0.0594,0.0
2024-01-02 08:30:00,0.001,0.001,0.001,0.7594,1.2
2024-01-02 08:45:00,0.001,0.001,0.001,0.06166666666666667,0.8
2024-01-02 09:00:00,0.001,0.001,0.001,0.049,0.0
2024-01-02 09:15:00,0.001,0.001,0.001,0.049,1.6
2024-01-02 09:30:00,0.001,0.001,0.001,0.049,0.2
2024-01-02 09:45:00,0.001,0.001,0.001,0.16299999999999998,0.2
2024-01-02 10:00:00,0.001,0.001,0.001,0.125,0.2
