,Occupancy,EV,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited
2024-01-01 00:00:00,2.0,0.0,15.0,14.99779416974816,14.978137839468967,12.0,115.42430313432845,809.4308641975309,809.4308641975309
2024-01-01 01:00:00,2.0,0.0,15.0,14.992647282989108,14.934984910695873,12.0,112.23440704299175,1330.0802469135806,1330.0802469135806
2024-01-01 02:00:00,2.0,0.0,15.0,14.984718954270814,14.886418846253367,11.0,145.94728765955367,178.2925925925926,178.2925925925926
2024-01-01 03:00:00,2.0,0.0,15.0,14.973816697146413,14.83246235027064,11.0,140.53025335971998,772.6012345679013,772.6012345679013
2024-01-01 04:00:00,2.0,0.0,15.0,14.961581252110712,14.780714160518487,11.0,134.85728456633854,1604.6333333333337,1604.6333333333337
2024-01-01 05:00:00,1.0,1.0,18.5,14.946538370777953,14.723728905350537,10.0,168.1142428382075,644.3086419753088,644.3086419753088
2024-01-01 06:00:00,1.0,0.0,18.5,14.928503543859243,14.661520110873564,10.0,162.26482106324818,1376.3407407407408,1376.3407407407408
2024-01-01 07:00:00,1.0,0.0,18.5,14.909131962856991,14.601678079203761,10.0,156.18060204391142,287.72345679012346,287.72345679012346
2024-01-01 08:00:00,1.0,0.0,18.5,14.890392952833777,14.544066666208858,10.0,150.33698377797418,68.86172839506175,68.86172839506175
2024-01-01 09:00:00,1.0,0.0,18.5,14.874400751818948,14.488644428125307,10.0,144.53083714922286,237.7234567901235,237.7234567901235
2024-01-01 10:00:00,1.0,0.0,18.5,14.871371388846383,14.442790755869618,11.0,99.46331111527729,772.6012345679013,772.6012345679013
2024-01-01 11:00:00,1.0,0.0,18.5,14.891369213207131,14.414107058543395,12.0,53.88206919349122,844.3086419753087,844.3086419753087
2024-01-01 12:00:00,1.0,1.0,18.5,14.917881576476297,14.395074119213875,12.0,48.28937600506331,1116.90987654321,1116.90987654321
2024-01-01 13:00:00,1.0,1.0,18.5,14.939869751565494,14.377735712353095,12.0,44.01440285563747,118.86172839506175,118.86172839506175
2024-01-01 14:00:00,1.0,1.0,18.5,14.950753660074794,14.36185132690019,12.0,40.9046857944229,1172.6012345679012,1172.6012345679012
2024-01-01 15:00:00,3.0,1.0,18.5,14.938934753477017,14.346712853414212,12.0,39.963279774586674,372.6012345679013,372.6012345679013
2024-01-01 16:00:00,1.0,1.0,18.5,14.914458353701425,14.324367894061197,11.0,78.62277880332535,118.86172839506175,118.86172839506175
2024-01-01 17:00:00,1.0,1.0,18.5,14.888148611887317,14.294836173309541,11.0,77.81411727941389,1541.462962962963,1541.462962962963
2024-01-01 18:00:00,1.0,1.0,18.5,14.861823205895707,14.265845404094607,11.0,76.41072261962243,641.462962962963,641.462962962963
2024-01-01 19:00:00,1.0,1.0,18.5,14.83549988817287,14.23736934480639,11.0,75.0746562811467,610.3246913580248,610.3246913580248
2024-01-01 20:00:00,1.0,1.0,18.5,14.809194953557176,14.209383584566487,11.0,73.80123081795759,772.6012345679013,772.6012345679013
2024-01-01 21:00:00,2.0,1.0,15.0,14.781332080033815,14.174568822259321,10.0,111.13501359313587,2550.0,2550.0
2024-01-01 22:00:00,2.0,1.0,15.0,14.751632276574336,14.133055308282232,10.0,109.06362116938935,3000.0,3000.0
2024-01-01 23:00:00,2.0,1.0,15.0,14.721654769821304,14.09254132343471,10.0,106.48152181702571,36.501234567901456,36.501234567901456
