,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref,SoC_arr,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited
2024-01-01 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,21.5,21.487487217765146,21.43067267572899,12.0,366.2866125174524,932.0320987654321,932.0320987654321
2024-01-01 01:00:00,2.0,0.0,0.0,0.0,0.0,0.0,15.5,21.45898793166702,21.29342149311744,12.0,357.8132023772113,494.3086419753087,494.3086419753087
2024-01-01 02:00:00,2.0,0.0,0.0,0.0,0.0,0.0,15.5,21.42190358955175,21.154191647973,11.0,382.8494413358186,118.86172839506175,118.86172839506175
2024-01-01 03:00:00,2.0,0.0,0.0,0.0,0.0,0.0,15.5,21.379623022656766,21.012709403485264,11.0,369.3581795207673,118.86172839506175,118.86172839506175
2024-01-01 04:00:00,1.0,0.0,0.0,0.0,0.0,0.0,21.5,21.335571456649024,20.876385953183952,11.0,356.0045430166964,416.01604938271606,416.01604938271606
2024-01-01 05:00:00,1.0,0.0,0.0,0.0,0.0,0.0,21.5,21.291256424766,20.73769100865173,10.0,381.73357857874436,584.8777777777779,584.8777777777779
2024-01-01 06:00:00,1.0,0.0,0.0,0.0,0.0,0.0,21.5,21.24293423219592,20.596520578442757,10.0,368.79888266364196,1554.6333333333337,1554.6333333333337
2024-01-01 07:00:00,1.0,0.0,0.0,0.0,0.0,0.0,21.5,21.19201942305456,20.46030152396419,10.0,356.0413789611309,1956.585185185185,1956.585185185185
2024-01-01 08:00:00,1.0,0.0,0.0,0.0,0.0,0.0,21.5,21.141023912439962,20.328751418125062,10.0,343.8839927563947,3000.0,3000.0
2024-01-01 09:00:00,1.0,0.0,0.0,0.0,0.0,0.0,21.5,21.093158325018308,20.201710656226616,10.0,332.0275609342369,3000.0,3000.0
2024-01-01 10:00:00,1.0,0.0,0.0,0.0,0.0,0.0,21.5,21.055362257903145,20.086433513299887,11.0,281.44025269809663,2859.832098765432,2859.832098765432
2024-01-01 11:00:00,1.0,0.0,0.0,0.0,0.0,0.0,21.5,21.032616106130533,19.990224795758632,12.0,231.2894689914407,891.462962962963,891.462962962963
2024-01-01 12:00:00,1.0,0.0,0.0,0.0,0.0,0.0,21.5,21.013339086919377,19.90526038315887,12.0,221.58947815984914,1129.1864197530865,1129.1864197530865
2024-01-01 13:00:00,1.0,1.0,0.0,0.0,0.8916666666666685,0.7297222222222223,21.5,20.989447988880627,19.823524259448018,12.0,213.36348218900818,2614.9580246913583,2614.9580246913583
2024-01-01 14:00:00,1.0,1.0,0.0,0.0,1.0750000000000037,0.0,21.5,20.955502962124168,19.74469250412088,12.0,206.34049364942408,118.86172839506175,118.86172839506175
2024-01-01 15:00:00,1.0,1.0,0.0,0.0,1.258333333333339,0.0,21.5,20.903991228355935,19.66815331358705,12.0,201.11022712256536,772.6012345679013,772.6012345679013
2024-01-01 16:00:00,1.0,1.0,0.0,0.0,1.4416666666666744,0.0,21.5,20.841843499508283,19.58604224112243,11.0,235.47256896064602,237.7234567901235,237.7234567901235
2024-01-01 17:00:00,1.0,1.0,0.0,0.0,1.6250000000000098,0.0,21.5,20.777262955215157,19.498304203515616,11.0,230.64465357033612,534.8777777777779,534.8777777777779
2024-01-01 18:00:00,1.0,1.0,0.0,0.0,1.8083333333333451,0.0,21.5,20.71220144428813,19.412575720314276,11.0,225.44335226862944,287.72345679012346,287.72345679012346
2024-01-01 19:00:00,1.0,1.0,0.0,0.0,1.9916666666666805,0.0,21.5,20.646735110265602,19.328750195134525,11.0,220.51585054082855,1376.3407407407408,1376.3407407407408
2024-01-01 20:00:00,1.0,1.0,0.0,0.0,2.175000000000016,0.0,21.5,20.580934375398094,19.246728250510763,11.0,215.84362958528735,1419.7555555555557,1419.7555555555557
2024-01-01 21:00:00,2.0,1.0,0.0,0.0,2.358333333333351,0.0,15.5,20.51316176391941,19.159116498385814,10.0,249.99647866039325,1266.0160493827161,1266.0160493827161
2024-01-01 22:00:00,2.0,1.0,0.0,0.0,2.5416666666666865,0.0,15.5,20.439904683916993,19.065920180021802,10.0,245.2192000123421,3000.0,3000.0
2024-01-01 23:00:00,2.0,1.0,0.0,0.0,2.725000000000022,0.0,15.5,20.364444912654616,18.974672655174402,10.0,240.21482579792843,3000.0,3000.0
