,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.48482611593047525,0.0,0.0029000000000000002,0.3565851851851852
2024-01-01 01:00:00,0.001,0.001,0.0,0.27769040903934017,0.0,0.003,0.5348777777777778
2024-01-01 02:00:00,0.001,0.001,0.0,0.18818751841801326,0.0,0.003,1.3188617283950619
2024-01-01 03:00:00,0.001,0.001,0.0,0.4510019686323391,0.0,0.003,1.5140641975308644
2024-01-01 04:00:00,0.001,0.001,0.0,0.27496813156860955,0.0,0.003,0.4952024691358026
2024-01-01 05:00:00,0.001,0.001,0.0,0.0985,0.0,0.003,0.23772345679012347
2024-01-01 06:00:00,0.001,0.001,0.0,0.17878333333333335,0.0,0.003,1.2480481481481482
2024-01-01 07:00:00,0.001,0.001,0.0,0.22906666666666667,0.0,0.003,0.23772345679012347
2024-01-01 08:00:00,0.7129313074518967,0.001,0.0,0.11063333333333333,0.0,0.003,1.8452024691358027
2024-01-01 09:00:00,0.7920347860576631,0.001,0.0,0.16816666666666666,0.0,0.003,1.6017876543209877
2024-01-01 10:00:00,0.7920347860576631,0.001,0.0,0.22061666666666666,6.783333333333333,0.003,0.46886172839506174
2024-01-01 11:00:00,0.6865634812499747,0.001,0.0,0.0985,0.0,0.003,1.750893827160494
2024-01-01 12:00:00,0.7920347860576631,0.001,0.0,0.16816666666666666,0.0,0.003,0.692356790123457
2024-01-01 13:00:00,0.7920347860576631,0.001,0.0,0.12066666666666666,0.0,0.003,0.7131703703703705
2024-01-01 14:00:00,0.48880478473555894,0.001,0.0,0.0985,0.0,0.003,0.3565851851851852
2024-01-01 15:00:00,0.001,0.001,0.0,0.16816666666666666,0.0,0.003,0.0
2024-01-01 16:00:00,0.001,0.001,0.0,0.22694999999999999,0.0,0.003,1.3074790123456792
2024-01-01 17:00:00,0.001,0.001,0.0,1.26724418508468,0.0,0.003,0.28772345679012346
2024-01-01 18:00:00,0.001,0.001,0.0,0.6043904090393402,0.0,0.003,0.06886172839506173
2024-01-01 19:00:00,0.001,0.001,0.0,0.13353039570621122,0.0,0.003,0.0
2024-01-01 20:00:00,0.001,0.001,0.0,0.08583333333333333,0.0,0.003,0.0
2024-01-01 21:00:00,0.001,0.001,0.0,0.17657947507615457,0.0,0.003,0.47544691358024693
2024-01-01 22:00:00,0.001,0.001,0.0,0.26242593972558775,0.0,0.003,1.8169098765432101
2024-01-01 23:00:00,0.001,0.001,0.0,0.1781147484745347,0.0,0.003,0.5008938271604939
