,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.109,0.0,0.0029000000000000002,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.08833333333333333,0.0,0.003,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.08166666666666668,0.0,0.003,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.109,0.0,0.003,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.12000000000000001,0.0,0.003,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.05,0.0,0.003,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.109,0.0,0.003,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.12000000000000001,0.0,0.003,1.0697555555555556
2024-01-01 08:00:00,0.001,0.001,0.0,0.05,0.0,0.003,0.891462962962963
2024-01-01 09:00:00,0.001,0.001,0.0,0.109,0.0,0.003,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.12000000000000001,6.233333333333333,0.003,0.7131703703703705
2024-01-01 11:00:00,0.001,0.001,0.0,0.9375333333333333,0.0,0.003,0.41601604938271614
2024-01-01 12:00:00,0.001,0.001,0.0,0.5237,0.0,0.003,0.7726012345679013
2024-01-01 13:00:00,0.001,0.001,0.0,0.2318666666666667,0.55,0.003,1.1197555555555556
2024-01-01 14:00:00,0.001,0.001,0.0,0.31643333333333334,0.0,0.003,1.0791864197530865
2024-01-01 15:00:00,0.001,0.001,0.0,0.4565,0.0,0.003,0.2971543209876543
2024-01-01 16:00:00,0.001,0.001,0.0,0.30656813156860957,0.0,0.003,0.23772345679012347
2024-01-01 17:00:00,0.001,0.001,0.0,0.23780844180301622,0.55,0.003,0.05943086419753087
2024-01-01 18:00:00,0.001,0.001,0.0,0.10123441310724762,0.0,0.003,0.7131703703703705
2024-01-01 19:00:00,0.001,0.001,0.0,0.740390288361492,0.0,0.003,0.3565851851851852
2024-01-01 20:00:00,0.001,0.001,0.0,0.2699759397255878,0.0,0.003,0.05943086419753087
2024-01-01 21:00:00,0.001,0.001,0.0,0.3450926063922545,0.0,0.003,1.842356790123457
2024-01-01 22:00:00,0.001,0.001,0.0,0.18506978738604196,0.0,0.003,2.076340740740741
2024-01-01 23:00:00,0.001,0.001,0.0,0.22997170350269322,0.0,0.003,0.9574790123456791
