,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-01 16:30:00,0.001,0.001,0.25647076513338335,0.11133333333333333,1.4,0.0
2024-01-01 16:45:00,0.001,0.00013333333333333334,0.20762538760133833,0.11133333333333333,0.0,0.0
2024-01-01 17:00:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-01 17:15:00,0.001,0.0,0.001,0.19,0.0,0.0
2024-01-01 17:30:00,0.001,0.0,0.001,0.9486,0.0,2.2
2024-01-01 17:45:00,0.001,0.0,0.001,2.195666666666667,0.0,1.6
2024-01-01 18:00:00,0.001,0.0,0.001,0.4170576920980267,0.0,0.0
2024-01-01 18:15:00,0.001,0.0,0.001,0.19055219735291432,0.0,0.0
2024-01-01 18:30:00,0.001,0.0,0.001,0.32988553068624765,0.0,0.0
2024-01-01 18:45:00,0.001,0.0,0.001,0.15508553068624764,0.0,1.8
2024-01-01 19:00:00,0.001,0.0,0.001,0.30841886401958096,0.0,2.6
2024-01-01 19:15:00,0.001,0.0,0.001,0.4345521973529143,0.0,0.0
2024-01-01 19:30:00,0.001,0.0008,0.001,1.2940855306862475,0.0,0.0
2024-01-01 19:45:00,0.001,1.2004666666666668,0.001,0.4419382780588038,0.0,0.0
2024-01-01 20:00:00,0.001,0.001,0.001,0.3442,0.0,1.4
2024-01-01 20:15:00,0.001,0.001,0.001,0.293,0.0,1.8
2024-01-01 20:30:00,0.001,0.001,0.001,0.4889849447254705,0.0,0.0
2024-01-01 20:45:00,0.001,0.001,0.001,0.5335855306862477,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.1481101721312174,0.5742521973529143,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.4300445279238899,1.108278864019581,0.0,0.0
2024-01-01 21:30:00,0.001,1.2004666666666668,0.663232898700175,0.5134921973529143,0.0,1.6
2024-01-01 21:45:00,0.001,1.8002,0.14419002230744984,0.4435855306862476,0.0,1.4
2024-01-01 22:00:00,0.001,1.3504,0.29652354140320536,0.5572521973529143,0.0,0.0
2024-01-01 22:15:00,0.001,0.30086666666666667,1.296082042536148,0.5485855306862476,0.0,0.0
2024-01-01 22:30:00,0.001,0.00013333333333333334,0.3347254971841325,0.535918864019581,0.0,0.0
2024-01-01 22:45:00,0.001,0.0,0.10695473016285469,0.4472521973529143,0.0,0.0
2024-01-01 23:00:00,0.001,0.0,0.306670447376543,0.9613875456078325,0.0,0.0
2024-01-01 23:15:00,0.001,0.0,0.8915701374107773,0.9255,0.0,0.0
2024-01-01 23:30:00,0.001,0.0,0.001,0.6501,0.0,0.0
2024-01-01 23:45:00,0.001,0.0,0.001,0.3476333333333333,0.0,0.0
2024-01-02 00:00:00,0.001,0.0,0.001,0.1737,0.0,0.0
2024-01-02 00:15:00,0.001,0.0,0.001,0.1737,0.0,0.0
2024-01-02 00:30:00,0.001,0.0,0.001,0.3277,0.0,2.0
2024-01-02 00:45:00,0.001,0.0,0.001,0.44403333333333334,0.0,0.4
2024-01-02 01:00:00,0.001,0.0,0.001,0.40869999999999995,0.0,0.0
2024-01-02 01:15:00,0.001,0.0,0.001,0.18971421227449906,0.0,0.0
2024-01-02 01:30:00,0.001,0.0,0.001,0.19055219735291432,0.0,0.0
2024-01-02 01:45:00,0.001,0.0,0.001,0.11428553068624764,0.0,0.0
2024-01-02 02:00:00,0.001,0.0,0.001,0.24288553068624763,0.0,0.0
2024-01-02 02:15:00,0.001,0.0,0.001,0.19621886401958094,0.0,2.4
2024-01-02 02:30:00,0.001,0.0,0.001,0.0695521973529143,0.0,0.8
