,WasherDryer,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.242,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.11533333333333333,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.242,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.22933333333333333,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.16599999999999998,0.0,0.5333333333333333,1.0
2024-01-01 01:45:00,0.001,0.001,0.052,0.0,1.2,0.0
2024-01-01 02:00:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.09,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.33066666666666666,0.0,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.21666666666666667,0.0,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.052,0.0,0.0,1.0
2024-01-01 03:45:00,0.001,0.001,0.19133333333333333,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.3686666666666667,0.0,0.0,1.6666666666666667
2024-01-01 04:15:00,0.001,0.001,0.07733333333333332,0.0,1.7333333333333334,0.0
2024-01-01 04:30:00,0.001,0.001,0.052,0.0,1.4666666666666666,0.0
2024-01-01 04:45:00,0.001,0.001,0.052,0.0,0.8,0.0
2024-01-01 05:00:00,0.001,0.001,0.06466666666666666,0.0,0.4,0.0
2024-01-01 05:15:00,0.001,0.001,0.356,0.0,0.4,0.0
2024-01-01 05:30:00,0.001,0.001,0.21666666666666667,0.0,2.0,1.3333333333333333
2024-01-01 05:45:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.052,0.0,1.3333333333333333,0.0
2024-01-01 06:15:00,0.001,0.001,0.052,0.0,2.0,2.3333333333333335
2024-01-01 06:30:00,0.001,0.001,0.20400000000000001,0.0,2.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.33066666666666666,0.0,2.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.15726666666666667,0.0,2.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.143,0.0,2.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.143,0.0,0.26666666666666666,0.0
2024-01-01 07:45:00,0.001,0.001,0.24433333333333335,0.0,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.32033333333333336,0.0,0.0,1.3333333333333333
2024-01-01 08:15:00,0.001,0.001,0.242,0.0,0.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.06466666666666666,0.0,0.0,1.6666666666666667
2024-01-01 08:45:00,0.001,0.001,0.45180000000000003,0.0,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.107,0.0,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.255,0.0,0.0,1.0
2024-01-01 09:30:00,0.001,0.001,0.14100000000000001,0.0,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.22966666666666669,0.0,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.4587333333333333,0.0,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.5085333333333334,0.0,0.0,1.0
2024-01-01 10:45:00,0.001,0.001,0.2739333333333333,0.0,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.128,0.0,0.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.17866666666666664,0.0,0.0,2.3333333333333335
2024-01-01 11:30:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 11:45:00,0.001,0.001,0.19133333333333333,0.0,0.0,1.6666666666666667
2024-01-01 12:00:00,0.001,0.001,0.7243999999999999,0.0,1.6,0.0
2024-01-01 12:15:00,0.001,0.001,0.052,0.0,1.3333333333333333,0.0
2024-01-01 12:30:00,0.001,0.001,0.16599999999999998,0.0,0.0,0.0
2024-01-01 12:45:00,0.001,0.001,0.14066666666666666,0.0,0.0,2.3333333333333335
2024-01-01 13:00:00,0.001,0.001,0.14066666666666666,0.0,0.0,0.0
2024-01-01 13:15:00,0.001,0.001,0.242,7.333333333333333,0.0,0.0
2024-01-01 13:30:00,0.001,0.001,0.052,11.0,0.0,0.0
2024-01-01 13:45:00,0.001,0.001,0.052,6.6,0.0,0.0
2024-01-01 14:00:00,0.001,0.001,0.20400000000000001,0.0,0.0,2.3333333333333335
2024-01-01 14:15:00,0.001,0.001,0.14066666666666666,0.0,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.242,0.0,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.10266666666666667,0.0,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 15:15:00,0.001,0.001,0.052,0.7333333333333333,0.0,0.0
2024-01-01 15:30:00,0.001,0.001,0.242,11.0,0.0,1.3333333333333333
2024-01-01 15:45:00,0.001,0.001,0.242,11.0,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.41986666666666667,4.4,0.0,1.0
2024-01-01 16:15:00,0.001,0.001,0.3185333333333334,0.0,0.0,0.0
2024-01-01 16:30:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 16:45:00,0.001,0.001,0.09,0.0,0.0,0.0
2024-01-01 17:00:00,0.001,0.001,0.7431333333333333,0.0,0.0,1.3333333333333333
2024-01-01 17:15:00,0.001,0.001,0.20400000000000001,0.0,0.5333333333333333,0.0
2024-01-01 17:30:00,0.001,0.001,0.052,0.0,2.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.052,0.0,0.4,0.0
2024-01-01 18:00:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.20400000000000001,0.0,0.0,0.3333333333333333
2024-01-01 18:30:00,0.001,0.001,0.5436,0.0,0.0,0.6666666666666666
2024-01-01 18:45:00,0.001,0.001,0.5854666666666667,0.0,0.0,0.0
2024-01-01 19:00:00,0.001,0.001,0.2634666666666666,0.0,0.0,0.0
2024-01-01 19:15:00,0.001,0.001,0.3087,0.0,0.0,0.0
2024-01-01 19:30:00,0.001,0.001,0.3340333333333333,0.0,0.0,0.0
2024-01-01 19:45:00,0.001,0.001,0.5863666666666667,0.0,0.0,1.3333333333333333
2024-01-01 20:00:00,0.001,0.001,0.4747,0.0,0.0,3.6666666666666665
2024-01-01 20:15:00,0.001,0.001,0.32901043947058284,0.0,0.0,2.6666666666666665
2024-01-01 20:30:00,0.001,0.001,0.35504044684442587,0.0,0.0,0.0
2024-01-01 20:45:00,0.001,0.001,0.27260927305892113,0.0,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.5006092730589211,0.0,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.7319426063922544,0.0,0.0,0.0
2024-01-01 21:30:00,0.001,0.001,0.5058112879805059,0.0,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.4425237423726735,0.0,0.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.4548877962013225,0.0,0.0,1.3333333333333333
2024-01-01 22:15:00,0.001,0.001,0.43930711351109253,0.0,0.0,1.0
2024-01-01 22:30:00,0.001,0.001,0.5167426063922544,0.0,0.0,0.6666666666666666
2024-01-01 22:45:00,0.001,0.001,0.6303959397255877,0.0,0.0,1.0
2024-01-01 23:00:00,0.001,0.001,0.339500848509923,0.0,0.0,1.0
2024-01-01 23:15:00,0.001,0.001,0.4018570757060068,0.0,0.0,0.0
2024-01-01 23:30:00,0.001,0.001,0.4655237423726735,0.0,0.0,0.0
2024-01-01 23:45:00,0.001,0.001,0.5115237423726735,0.0,0.0,0.0
2024-01-02 00:00:00,0.001,0.001,0.49560983231635647,0.0,0.0,2.0
2024-01-02 00:15:00,0.001,0.001,0.5139466666666667,0.0,0.0,0.3333333333333333
2024-01-02 00:30:00,0.001,0.001,0.20553333333333332,0.0,0.0,0.0
2024-01-02 00:45:00,0.001,0.001,0.18566666666666665,0.0,0.0,0.0
2024-01-02 01:00:00,0.001,0.001,0.36300000000000004,0.0,0.0,0.0
2024-01-02 01:15:00,0.001,0.001,0.128,0.0,0.0,0.0
2024-01-02 01:30:00,0.001,0.001,0.128,0.0,0.0,2.0
2024-01-02 01:45:00,0.001,0.001,0.17866666666666664,0.0,0.0,0.0
2024-01-02 02:00:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-02 02:15:00,0.001,0.001,0.20400000000000001,0.0,0.0,1.0
2024-01-02 02:30:00,0.001,0.001,0.17866666666666664,0.0,0.0,0.0
2024-01-02 02:45:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-02 03:00:00,0.001,0.001,0.16599999999999998,0.0,0.0,0.0
2024-01-02 03:15:00,0.001,0.001,0.14066666666666666,0.0,0.0,0.0
2024-01-02 03:30:00,0.001,0.001,0.15333333333333332,0.0,0.0,0.0
2024-01-02 03:45:00,0.001,0.001,0.22933333333333333,0.0,0.0,0.0
2024-01-02 04:00:00,0.001,0.001,0.052,0.0,0.26666666666666666,0.0
2024-01-02 04:15:00,0.001,0.001,0.052,0.0,2.0,1.3333333333333333
2024-01-02 04:30:00,0.001,0.001,0.20400000000000001,0.0,2.0,0.0
