,Occupancy,T_ref_WB,P_use_WB,P_loss_WB,T_set_WB,SoC_ref_EV,SoC_arr_EV,EV_plugged,EV_arrival,EV_departure
2024-01-01 00:00:00,2.0,60.0,0.12837066666666666,0.07579190289013706,60.0,0.0,0.0,0,0,0
2024-01-01 00:15:00,2.0,59.82441823927271,0.0,0.07558814516623323,60.0,0.0,0.0,0,0,0
2024-01-01 00:30:00,2.0,59.75941171213499,1.7971893333333335,0.0749530220657433,60.0,0.0,0.0,0,0,0
2024-01-01 00:45:00,2.0,58.66535713032977,0.12837066666666666,0.07564927504444165,60.0,0.0,0.0,0,0,0
2024-01-01 01:00:00,2.0,61.069926697897856,0.0,0.07807716359820953,60.0,0.0,0.0,0,0,0
2024-01-01 01:15:00,2.0,61.00277959112444,0.2567413333333333,0.07757522008723651,60.0,0.0,0.0,0,0,0
2024-01-01 01:30:00,2.0,60.71526416056685,0.2567413333333333,0.0770594563347127,60.0,0.0,0.0,0,0,0
2024-01-01 01:45:00,2.0,60.42819229176491,1.5404480000000003,0.07547042062378448,60.0,0.0,0.0,0,0,0
2024-01-01 02:00:00,2.0,59.03848700885866,0.0,0.0742468533598562,60.0,0.0,0.0,0,0,0
2024-01-01 02:15:00,2.0,59.8346435611531,0.2567413333333333,0.07739191548480444,60.0,0.0,0.0,0,0,0
2024-01-01 02:30:00,2.0,61.09530297449632,0.8985946666666668,0.07771582174788552,60.0,0.0,0.0,0,0,0
2024-01-01 02:45:00,2.0,60.25566662516703,0.0,0.07644994997680503,60.0,0.0,0.0,0,0,0
2024-01-01 03:00:00,2.0,60.189918937657126,0.12837066666666666,0.07617143603030677,60.0,0.0,0.0,0,0,0
2024-01-01 03:15:00,2.0,60.014010774802586,0.0,0.07596702602587821,60.0,0.0,0.0,0,0,0
2024-01-01 03:30:00,2.0,59.94867840650512,0.0,0.07583646611858015,60.0,0.0,0.0,0,0,0
2024-01-01 03:45:00,2.0,59.88345832097552,0.2567413333333333,0.0753383735580856,60.0,0.0,0.0,0,0,0
2024-01-01 04:00:00,2.0,59.59786659980755,0.0,0.07513540540158671,60.0,0.0,0.0,0,0,0
2024-01-01 04:15:00,1.0,59.53324943319367,0.0,0.07500627475007625,60.0,0.0,0.0,0,0,0
2024-01-01 04:30:00,2.0,59.468743320174,0.385112,0.07468606002971882,60.0,0.0,0.0,0,0,0
2024-01-01 04:45:00,2.0,59.073312594873705,0.12837066666666666,0.07408063434288034,60.0,0.0,0.0,0,0,0
2024-01-01 05:00:00,1.0,59.24320636371403,0.0,0.07669589362292276,60.0,0.0,0.0,0,0,0
2024-01-01 05:15:00,2.0,61.069268184774096,0.2567413333333333,0.0777668963646409,60.0,0.0,0.0,0,0,0
2024-01-01 05:30:00,1.0,60.78158791078636,0.0,0.07750094867907006,60.0,0.0,0.0,0,0,0
2024-01-01 05:45:00,1.0,60.714936354349504,0.0,0.0773677525122015,60.0,0.0,0.0,0,0,0
2024-01-01 06:00:00,2.0,60.64839934788893,0.12837066666666666,0.07710236601006373,60.0,0.0,0.0,0,0,0
2024-01-01 06:15:00,1.0,60.47169057635615,0.5134826666666666,0.07667563201133229,60.0,0.0,0.0,0,0,0
2024-01-01 06:30:00,1.0,59.964148800140016,0.0,0.07586738208277176,60.0,0.0,0.0,0,0,0
2024-01-01 06:45:00,1.0,59.898902126585796,0.0,0.07573699342745836,60.0,0.0,0.0,0,0,0
2024-01-01 07:00:00,1.0,59.83376758852109,0.12837066666666666,0.07551853417800722,60.0,0.0,0.0,0,0,0
2024-01-01 07:15:00,1.0,59.65842092749842,1.7971893333333335,0.07447800864201175,60.0,0.0,0.0,0,0,0
2024-01-01 07:30:00,3.0,59.59678632857075,0.12837066666666666,0.07710484116882006,60.0,0.0,0.0,0,0,0
2024-01-01 07:45:00,3.0,61.14009453970123,0.0,0.07821738669374222,60.0,0.0,0.0,0,0,0
2024-01-01 08:00:00,3.0,61.072826839725714,0.2567413333333333,0.077774007964491,60.0,0.0,0.0,0,0,0
2024-01-01 08:15:00,3.0,60.785140449694154,0.12837066666666666,0.07747860974455809,60.0,0.0,0.0,0,0,0
2024-01-01 08:30:00,3.0,60.60810810495444,0.0,0.07715426742508007,60.0,0.0,0.0,0,0,0
2024-01-01 08:45:00,1.0,60.5417546977088,1.5404480000000003,0.07675671720567005,60.0,0.0,0.0,0,0,0
2024-01-01 09:00:00,1.0,59.15094318745069,0.0,0.07424227568951243,60.0,0.0,0.0,0,0,0
2024-01-01 09:15:00,1.0,59.08709412092363,0.0,0.07411468000571776,60.0,0.0,0.0,0,0,0
2024-01-01 09:30:00,1.0,59.023354787903905,0.385112,0.07486568276559874,60.0,0.0,0.0,0,0,0
2024-01-01 09:45:00,1.0,60.519790607790156,0.0,0.07787156635045953,60.0,0.0,0.0,0,0,0
2024-01-01 10:00:00,1.0,60.96882605001145,0.7702240000000001,0.07769849465133342,60.0,0.0,0.0,0,0,0
2024-01-01 10:15:00,1.0,60.23960460215078,0.0,0.07641785170315184,60.0,0.0,0.0,0,0,0
2024-01-01 10:30:00,1.0,60.17388451946292,0.7702240000000001,0.07575674887804558,60.0,0.0,0.0,0,0,0
2024-01-01 10:45:00,3.0,59.446332991521935,0.0,0.07483258132883566,60.0,0.0,0.0,0,0,0
2024-01-01 11:00:00,3.0,59.38197625650431,0.5134826666666666,0.07440970780404373,60.0,0.7129166666666669,0.6984027777777778,1,1,0
2024-01-01 11:15:00,3.0,59.04838510789118,1.7971893333333335,0.07486971886244366,60.0,0.756458333333334,0.0,1,0,0
2024-01-01 11:30:00,1.0,60.01842510122495,0.0,0.07755728991537619,60.0,0.8000000000000012,0.0,1,0,0
2024-01-01 11:45:00,1.0,60.98373655758058,0.0,0.07790492161428825,60.0,0.8000000000000012,0.0,1,0,0
2024-01-01 12:00:00,3.0,60.91673758055922,0.12837066666666666,0.07772687622724837,60.0,0.8000000000000012,0.0,1,0,0
2024-01-01 12:15:00,3.0,60.73949172427204,0.0,0.07741682385163555,60.0,0.8000000000000012,0.0,1,0,0
