,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,P_use_WB,P_loss_WB,T_set_WB,SoC_ref_EV,SoC_arr_EV,EV_plugged,EV_arrival,EV_departure
2024-01-01 00:00:00,2.0,15.0,0.36763059977578655,15.0,13.5,12.0,60.0,0.2567413333333333,0.075500912137267,60.0,0.0,0.0,0,0,0
2024-01-01 00:15:00,2.0,15.0,0.38579896386532486,14.978262320163203,13.512487568836839,12.0,59.64283561762597,0.0,0.07521018066998438,60.0,0.0,0.0,0,0,0
2024-01-01 00:30:00,2.0,15.0,0.3776621514122659,14.956986294066906,13.524453072594161,12.0,59.561983775051935,0.2567413333333333,0.07466250275716232,60.0,0.0,0.0,0,0,0
2024-01-01 00:45:00,2.0,15.0,0.369756885596326,14.93615877253327,13.53591234491068,12.0,59.20572069277596,0.12837066666666666,0.07410813427703937,60.0,0.0,0.0,0,0,0
2024-01-01 01:00:00,2.0,15.0,0.3620763509220603,14.915766993459707,13.546880750630418,12.0,59.418058341068686,0.7702240000000001,0.07624927834808072,60.0,0.0,0.0,0,0,0
2024-01-01 01:15:00,2.0,15.0,0.3546139331398978,14.895798570389355,13.557373199652563,12.0,61.08811812306429,0.0,0.07809784724902087,60.0,0.0,0.0,0,0,0
2024-01-01 01:30:00,2.0,15.0,0.34736321330209285,14.876241481419122,13.567404160372197,12.0,61.00416200442582,0.2567413333333333,0.07765434324341616,60.0,0.0,0.0,0,0,0
2024-01-01 01:45:00,2.0,15.0,0.3403179619942571,14.857084058435351,13.576987672724046,12.0,60.64468265789084,0.385112,0.07697272889052512,60.0,0.0,0.0,0,0,0
2024-01-01 02:00:00,2.0,15.0,0.3458607833145445,14.838314976667439,13.586137360840912,11.0,60.14793605492683,0.0,0.07621936859439508,60.0,0.0,0.0,0,0,0
2024-01-01 02:15:00,2.0,15.0,0.3410750039325145,14.819188301551545,13.589789930447768,11.0,60.06599932327972,0.0,0.07605565945055466,60.0,0.0,0.0,0,0,0
2024-01-01 02:30:00,2.0,15.0,0.33559298720131137,14.800372312511247,13.593118680297914,11.0,59.98423858091768,1.5404480000000003,0.07536903221197175,60.0,0.0,0.0,0,0,0
2024-01-01 02:45:00,2.0,15.0,0.3302605038641714,14.781858518738131,13.596133757635641,11.0,58.677220748869445,0.2567413333333333,0.07591099864474389,60.0,0.0,0.0,0,0,0
2024-01-01 03:00:00,2.0,15.0,0.3250731705653211,14.763638678366918,13.598845008413617,11.0,61.11464657450219,1.668818666666667,0.0761647029332509,60.0,0.0,0.0,0,0,0
2024-01-01 03:15:00,2.0,15.0,0.32002673333035686,14.745704791127396,13.601261986196382,11.0,59.23876860909378,1.5404480000000003,0.07361877512973575,60.0,0.0,0.0,0,0,0
2024-01-01 03:30:00,2.0,15.0,0.31511706374494236,14.728049091213387,13.603393960800888,11.0,58.79364187997677,0.0,0.07634967539111721,60.0,0.0,0.0,0,0,0
2024-01-01 03:45:00,1.0,15.666666666666666,0.3103401552463691,14.710664040362326,13.605249926681777,11.0,61.076591345036476,0.0,0.07807481680926283,60.0,0.0,0.0,0,0,0
2024-01-01 04:00:00,1.0,15.333333333333334,0.3793682351846273,14.767143681433458,13.606872009976838,11.0,60.99265998439585,1.5404480000000003,0.07680383422335184,60.0,0.0,0.0,0,0,0
2024-01-01 04:15:00,1.0,20.0,0.5104647054538951,15.297970349143446,13.612661639678327,11.0,59.254094945216416,1.0269653333333335,0.07456451475516092,60.0,0.0,0.0,0,0,0
2024-01-01 04:30:00,1.0,20.0,0.6381019232221373,15.821569909410837,13.625458194015946,11.0,60.21996109036733,0.12837066666666666,0.07775863512506581,60.0,0.0,0.0,0,0,0
2024-01-01 04:45:00,2.0,18.333333333333332,0.7586707489854287,16.338133027897946,13.645035343986367,11.0,60.8583791844756,1.668818666666667,0.07695824369067929,60.0,0.0,0.0,0,0,0
2024-01-01 05:00:00,1.0,16.333333333333332,0.7965531452019109,16.664097221410778,13.670840235176952,10.0,58.981648153274456,0.7702240000000001,0.07535313555234417,60.0,0.0,0.0,0,0,0
2024-01-01 05:15:00,1.0,18.0,0.8456605866370209,16.767287795752832,13.6925195782688,10.0,61.0826760773104,1.5404480000000003,0.0751088468831962,60.0,0.0,0.0,0,0,0
2024-01-01 05:30:00,1.0,20.0,0.936712631892125,17.051701674564246,13.716866240694177,10.0,59.34593316976758,0.385112,0.07526299606577284,60.0,0.0,0.0,0,0,0
2024-01-01 05:45:00,1.0,20.0,1.05458541280708,17.551797426296535,13.746163516590762,10.0,61.00104843916653,1.0269653333333335,0.07645287373320854,60.0,0.0,0.0,0,0,0
