,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,P_use_WB,P_loss_WB,T_set_WB,SoC_ref_EV,SoC_arr_EV,EV_plugged,EV_arrival,EV_departure
2024-01-01 00:00:00,2.0,15.5,0.2192132530417651,15.5,13.75,12.0,60.0,0.0,0.07584768092734909,60.0,0.0,0.0,0,0,0
2024-01-01 00:15:00,2.0,15.5,0.23181704572894135,15.482654009836263,13.758169960257405,12.0,59.83692567406925,0.0,0.07552218594206912,60.0,0.0,0.0,0,0,0
2024-01-01 00:30:00,2.0,15.5,0.22871675078791429,15.465541272051587,13.766076636277758,12.0,59.674551170132645,0.0,0.07519808779561332,60.0,0.0,0.0,0,0,0
2024-01-01 00:45:00,2.0,15.5,0.22567592104987047,15.448657308465226,13.773725597885749,12.0,59.51287348495335,0.0,0.0748753804935462,60.0,0.0,0.0,0,0,0
2024-01-01 01:00:00,2.0,15.5,0.2226933551753062,15.431997731376493,13.781122301158614,12.0,59.35188962818271,0.0,0.07455405806715687,60.0,0.0,0.0,0,0,0
2024-01-01 01:15:00,2.0,15.5,0.21976787623767802,15.415558241726053,13.788272090740358,12.0,59.19159662230492,0.0,0.07423411457334887,60.0,0.0,0.0,0,0,0
2024-01-01 01:30:00,2.0,16.7,0.21940472376180473,15.399334627294598,13.795180202108972,12.0,59.03199150258199,0.0,0.07649258894338616,60.0,0.0,0.0,0,0,0
2024-01-01 01:45:00,2.0,15.5,0.27632432717821753,15.629302532922592,13.802148291051537,12.0,61.01755449816477,0.0,0.0778787111616383,60.0,0.0,0.0,0,0,0
2024-01-01 02:00:00,2.0,15.5,0.29838011534422093,16.002688375900604,13.813261237155585,11.0,60.850113408710705,0.0,0.07754450015303198,60.0,0.0,0.0,0,0,0
2024-01-01 02:15:00,2.0,15.5,0.2952068276258661,15.980622670888689,13.820812932232053,11.0,60.683390880909144,0.0,0.07721172338745057,60.0,0.0,0.0,0,0,0
2024-01-01 02:30:00,2.0,15.5,0.2915921503480791,15.958828838758913,13.828067288663453,11.0,60.51738383110336,0.0,0.07688037470994112,60.0,0.0,0.0,0,0,0
2024-01-01 02:45:00,2.0,15.5,0.28804567902565253,15.937301743272316,13.835030672318235,11.0,60.352089188869854,0.0,0.07655044799196407,60.0,0.0,0.0,0,0,0
2024-01-01 03:00:00,2.0,15.5,0.28456603838364863,15.91603635176969,13.841709318899134,11.0,60.18750389696167,0.0,0.07622193713128023,60.0,0.0,0.0,0,0,0
2024-01-01 03:15:00,2.0,15.5,0.2811518810887907,15.895027733067105,13.848109336591833,11.0,60.02362491125181,0.12837066666666666,0.07578446769716504,60.0,0.0,0.0,0,0,0
2024-01-01 03:30:00,2.0,15.5,0.27780188718129467,15.874271055394226,13.85423670865972,11.0,59.584686495276046,0.5134826666666666,0.07606780414766043,60.0,0.0,0.0,0,0,0
2024-01-01 03:45:00,2.0,15.5,0.27451476351825604,15.853761584374546,13.860097295985907,11.0,60.46716278831738,1.0269653333333335,0.07622865057819363,60.0,0.0,0.0,0,0,0
2024-01-01 04:00:00,2.0,15.5,0.27128924322835696,15.833494681046696,13.865696839563528,11.0,58.095269368536265,0.0,0.07777008395940165,60.0,0.0,0.0,0,0,0
2024-01-01 04:15:00,1.0,21.1,0.3005908958978274,15.813465799925993,13.871040962935396,11.0,61.511434978752554,0.7702240000000001,0.07754064154167294,60.0,0.0,0.0,0,0,0
2024-01-01 04:30:00,2.0,19.5,0.38645229407038145,16.48048015988709,13.878821333504728,11.0,59.6887207470576,0.0,0.0752263701521786,60.0,0.0,0.0,0,0,0
2024-01-01 04:45:00,1.0,18.3,0.41475829975456596,16.944189206357056,13.892582486657934,11.0,59.52698225413605,0.0,0.07490354147836849,60.0,0.0,0.0,0,0,0
2024-01-01 05:00:00,2.0,16.3,0.4636657995570354,17.258190744285002,13.908131697378861,10.0,59.3659378505753,0.0,0.07458209820109449,60.0,0.0,0.0,0,0,0
2024-01-01 05:15:00,1.0,17.1,0.46191356551309387,17.322346751012038,13.922177556989304,10.0,59.20558455773969,0.0,0.07426203437502488,60.0,0.0,0.0,0,0,0
2024-01-01 05:30:00,2.0,21.1,0.5170495762472505,17.485185059470183,13.93599543873839,10.0,59.045919409776175,0.2567413333333333,0.07679828151348302,60.0,0.0,0.0,0,0,0
2024-01-01 05:45:00,2.0,15.5,0.5597552890770067,18.136160302740535,13.954007484753044,10.0,61.195499788748606,0.12837066666666666,0.07819708846749955,60.0,0.0,0.0,0,0,0
2024-01-01 06:00:00,1.0,19.9,0.5708554306472252,18.094839989932403,13.974508436693618,10.0,60.75137418048118,0.0,0.07734741748256449,60.0,0.0,0.0,0,0,0
2024-01-01 06:15:00,3.0,21.5,0.6501235864269813,18.594225806751563,13.995994431258131,10.0,60.58507538512929,1.7971893333333335,0.07619668038053881,60.0,0.0,0.0,0,0,0
2024-01-01 06:30:00,3.0,21.5,0.7341763588412689,19.28463789159994,14.023136674183915,10.0,61.573973110063626,0.12837066666666666,0.0789525180389368,60.0,0.0,0.0,0,0,0
