,WasherDryer,TumbleDryer,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.001,0.001,0.4511,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.20636666666666664,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.1857,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.4281,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.4220333333333333,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.36869999999999997,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.46169999999999994,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.26404,0.0,2.0
2024-01-01 02:00:00,0.001,0.001,0.25966666666666666,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.2501333333333333,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.08666666666666667,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.112,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.205,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.08333333333333333,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.26599999999999996,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.13066666666666665,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.112,0.0,0.0
2024-01-01 04:30:00,0.001,0.001,0.205,0.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.20466666666666666,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.21066666666666667,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.06466666666666668,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.112,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.25566666666666665,0.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.27066666666666667,2.8,0.0
2024-01-01 06:30:00,0.001,0.001,0.10866666666666668,7.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.05,2.8,0.0
2024-01-01 07:00:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.112,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.399,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.186,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.05,0.0,2.0
2024-01-01 08:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.2006666666666667,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.389,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.10733333333333334,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.06266666666666668,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.328,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.2856666666666667,2.8,0.0
2024-01-01 10:45:00,0.001,0.001,0.07759999999999999,5.133333333333334,0.0
2024-01-01 11:00:00,0.001,0.001,0.063,0.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.063,0.0,0.0
2024-01-01 11:30:00,0.001,0.001,0.21593131841174854,0.0,2.0
2024-01-01 11:45:00,0.001,0.001,0.31721886401958094,0.0,3.3333333333333335
2024-01-01 12:00:00,0.001,0.001,0.2641445245843864,0.0,0.0
2024-01-01 12:15:00,0.001,0.001,0.11404260639225447,1.4,0.0
2024-01-01 12:30:00,0.001,0.001,0.0933759397255878,0.9333333333333333,2.0
2024-01-01 12:45:00,0.001,0.001,0.11249040903934017,0.0,0.0
2024-01-01 13:00:00,0.001,0.001,0.26182374237267353,0.0,0.0
2024-01-01 13:15:00,0.001,0.001,0.17618441310724764,0.0,0.0
2024-01-01 13:30:00,0.001,0.001,0.205,0.0,0.0
2024-01-01 13:45:00,0.001,0.001,0.07066666666666667,0.0,0.0
2024-01-01 14:00:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.24399999999999997,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.16533333333333333,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.112,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.205,2.8,0.0
2024-01-01 15:15:00,0.001,0.001,0.07066666666666667,5.133333333333334,0.0
2024-01-01 15:30:00,0.001,0.001,0.13866666666666666,0.0,0.0
2024-01-01 15:45:00,0.001,0.001,0.23399999999999999,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.08666666666666667,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.112,0.0,0.0
2024-01-01 16:30:00,0.001,0.001,0.205,0.0,1.0
2024-01-01 16:45:00,0.001,0.001,0.08333333333333333,0.0,1.0
2024-01-01 17:00:00,0.001,0.001,0.26599999999999996,4.2,0.0
2024-01-01 17:15:00,0.001,0.001,0.13066666666666665,2.3333333333333335,0.0
2024-01-01 17:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.112,0.0,2.3333333333333335
2024-01-01 18:00:00,0.001,0.001,0.205,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.20466666666666666,0.0,2.0
2024-01-01 18:30:00,0.001,0.001,0.21066666666666667,0.0,0.0
2024-01-01 18:45:00,0.001,0.001,0.06466666666666668,0.0,0.0
2024-01-01 19:00:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 19:15:00,0.001,0.001,0.112,0.0,0.0
2024-01-01 19:30:00,0.001,0.001,0.25566666666666665,0.0,1.0
2024-01-01 19:45:00,0.001,0.001,0.27066666666666667,0.0,3.0
2024-01-01 20:00:00,0.001,0.001,0.10866666666666668,0.0,0.0
2024-01-01 20:15:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 20:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 20:45:00,0.001,0.001,0.112,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.399,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.186,0.0,0.0
2024-01-01 21:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 22:15:00,0.001,0.001,0.2006666666666667,0.0,0.0
2024-01-01 22:30:00,0.001,0.001,0.389,0.0,0.0
2024-01-01 22:45:00,0.001,0.001,0.10733333333333334,0.0,0.0
2024-01-01 23:00:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 23:30:00,0.001,0.001,0.1390237423726735,0.0,0.0
2024-01-01 23:45:00,0.001,0.001,0.4608237423726735,0.0,2.0
2024-01-02 00:00:00,0.001,0.001,0.4184904090393402,0.0,3.0
2024-01-02 00:15:00,0.001,0.001,0.20191391005631706,0.0,1.6666666666666667
2024-01-02 00:30:00,0.001,0.001,0.08226666666666667,0.0,0.3333333333333333
2024-01-02 00:45:00,0.001,0.001,0.05,0.0,0.0
2024-01-02 01:00:00,0.001,0.001,0.29440000000000005,0.0,0.0
2024-01-02 01:15:00,0.001,0.001,0.27266666666666667,0.0,0.0
2024-01-02 01:30:00,0.001,0.001,0.21966666666666665,0.0,0.0
2024-01-02 01:45:00,0.001,0.001,0.07066666666666667,0.0,2.3333333333333335
2024-01-02 02:00:00,0.001,0.001,0.05,0.0,1.0
2024-01-02 02:15:00,0.001,0.001,0.10066666666666667,0.0,0.0
2024-01-02 02:30:00,0.001,0.001,0.25,0.0,0.0
2024-01-02 02:45:00,0.001,0.001,0.17066666666666666,0.0,2.3333333333333335
2024-01-02 03:00:00,0.001,0.001,0.205,0.0,0.0
2024-01-02 03:15:00,0.001,0.001,0.07066666666666667,0.0,0.0
2024-01-02 03:30:00,0.001,0.001,0.05,0.0,2.6666666666666665
2024-01-02 03:45:00,0.001,0.001,0.24399999999999997,0.0,0.0
2024-01-02 04:00:00,0.001,0.001,0.16533333333333333,0.0,2.0
2024-01-02 04:15:00,0.001,0.001,0.112,0.0,0.0
2024-01-02 04:30:00,0.001,0.001,0.205,0.0,0.0
2024-01-02 04:45:00,0.001,0.001,0.07066666666666667,0.0,0.0
2024-01-02 05:00:00,0.001,0.001,0.13866666666666666,0.0,0.0
2024-01-02 05:15:00,0.001,0.001,0.23399999999999999,0.0,2.0
2024-01-02 05:30:00,0.001,0.001,0.08666666666666667,0.0,0.0
2024-01-02 05:45:00,0.001,0.001,0.112,0.0,0.0
2024-01-02 06:00:00,0.001,0.001,0.205,0.0,0.0
2024-01-02 06:15:00,0.001,0.001,0.08333333333333333,0.0,0.0
2024-01-02 06:30:00,0.001,0.001,0.26599999999999996,4.2,0.0
2024-01-02 06:45:00,0.001,0.001,0.13066666666666665,6.066666666666666,0.0
2024-01-02 07:00:00,0.001,0.001,0.05433333333333334,0.0,0.0
2024-01-02 07:15:00,0.001,0.001,0.125,0.0,0.3333333333333333
2024-01-02 07:30:00,0.001,0.001,0.218,0.0,2.3333333333333335
2024-01-02 07:45:00,0.001,0.001,0.21766666666666667,0.0,0.0
2024-01-02 08:00:00,0.001,0.001,0.22106666666666666,0.0,0.0
2024-01-02 08:15:00,0.001,0.001,0.06466666666666668,0.0,0.0
2024-01-02 08:30:00,0.001,0.001,0.05,0.0,2.3333333333333335
2024-01-02 08:45:00,0.001,0.001,0.112,0.0,0.0
2024-01-02 09:00:00,0.001,0.001,0.25566666666666665,0.0,0.0
2024-01-02 09:15:00,0.001,0.001,0.2761844131072476,0.0,0.0
2024-01-02 09:30:00,0.001,0.001,0.16465040903934017,0.0,0.0
2024-01-02 09:45:00,0.001,0.001,0.15120202043147735,0.0,0.0
2024-01-02 10:00:00,0.001,0.001,0.0933759397255878,0.0,0.0
2024-01-02 10:15:00,0.001,0.001,0.1553759397255878,0.0,2.0
2024-01-02 10:30:00,0.001,0.001,0.4360699437934953,0.0,0.0
2024-01-02 10:45:00,0.001,0.001,0.2175521973529143,0.0,0.0
2024-01-02 11:00:00,0.001,0.001,0.06893131841174858,0.0,0.0
2024-01-02 11:15:00,0.001,0.001,0.05,0.0,0.0
2024-01-02 11:30:00,0.001,0.001,0.20993333333333333,0.0,0.0
2024-01-02 11:45:00,0.001,0.001,2.5996666666666663,0.0,0.0
2024-01-02 12:00:00,0.001,0.001,0.5524,0.0,3.0
2024-01-02 12:15:00,0.001,0.001,0.12033333333333333,0.0,0.0
2024-01-02 12:30:00,0.001,0.001,0.063,0.0,0.0
2024-01-02 12:45:00,0.001,0.001,1.3398666666666665,0.0,0.0
2024-01-02 13:00:00,0.001,0.001,1.3421333333333332,0.0,3.0
2024-01-02 13:15:00,0.001,0.001,0.328,0.0,0.0
2024-01-02 13:30:00,0.001,0.001,0.2856666666666667,0.0,0.0
2024-01-02 13:45:00,0.001,0.001,0.07066666666666667,0.0,0.0
2024-01-02 14:00:00,0.001,0.001,0.05,0.0,2.0
2024-01-02 14:15:00,0.001,0.001,0.05,0.0,1.3333333333333333
2024-01-02 14:30:00,0.001,0.001,0.184,0.0,2.3333333333333335
2024-01-02 14:45:00,0.001,0.001,0.27266666666666667,4.2,0.0
2024-01-02 15:00:00,0.001,0.001,0.21966666666666665,7.0,0.0
2024-01-02 15:15:00,0.001,0.001,0.07066666666666667,7.0,2.6666666666666665
2024-01-02 15:30:00,0.001,0.001,0.05,2.8,0.0
2024-01-02 15:45:00,0.001,0.001,0.10066666666666667,0.0,0.0
2024-01-02 16:00:00,0.001,0.001,0.25,0.0,0.0
2024-01-02 16:15:00,0.001,0.001,0.17066666666666666,0.0,0.0
2024-01-02 16:30:00,0.001,0.001,0.26832666666666666,0.0,0.0
2024-01-02 16:45:00,0.001,0.001,0.20636666666666664,0.0,0.6666666666666666
2024-01-02 17:00:00,0.001,0.001,0.1857,0.0,1.6666666666666667
2024-01-02 17:15:00,0.001,0.001,0.3797,0.0,1.0
2024-01-02 17:30:00,0.001,0.001,0.3010333333333333,0.0,1.3333333333333333
2024-01-02 17:45:00,0.001,0.001,0.24769999999999998,0.0,0.0
2024-01-02 18:00:00,0.001,0.001,0.3407,1.4,0.0
2024-01-02 18:15:00,0.001,0.001,0.20636666666666664,6.066666666666666,0.0
2024-01-02 18:30:00,0.001,0.001,0.27436666666666665,0.0,0.0
2024-01-02 18:45:00,0.001,0.001,0.3697,0.0,0.0
2024-01-02 19:00:00,0.001,0.001,0.22236666666666666,0.0,1.6666666666666667
2024-01-02 19:15:00,0.001,0.001,0.24769999999999998,0.0,1.0
2024-01-02 19:30:00,0.001,0.001,0.4294333333333333,0.0,2.6666666666666665
2024-01-02 19:45:00,0.001,0.001,1.5880333333333332,0.0,1.3333333333333333
2024-01-02 20:00:00,0.001,0.001,1.7707000000000002,0.0,2.0
2024-01-02 20:15:00,0.001,0.001,0.3873666666666667,0.0,0.0
2024-01-02 20:30:00,0.001,0.001,0.2744333333333333,0.0,0.0
2024-01-02 20:45:00,0.001,0.001,0.24769999999999998,0.0,0.0
2024-01-02 21:00:00,0.001,0.001,0.35752783858822096,0.0,0.0
2024-01-02 21:15:00,0.001,0.001,0.371918864019581,0.0,0.0
2024-01-02 21:30:00,0.001,0.001,0.3145921973529143,0.0,3.6666666666666665
2024-01-02 21:45:00,0.001,0.001,0.09621886401958096,0.0,1.0
2024-01-02 22:00:00,0.001,0.001,0.07734523770585906,0.0,0.0
2024-01-02 22:15:00,0.001,0.001,0.112,0.0,0.0
2024-01-02 22:30:00,0.001,0.001,0.26408058596077716,0.0,2.0
2024-01-02 22:45:00,0.001,0.001,0.302218864019581,0.0,0.0
2024-01-02 23:00:00,0.001,0.001,0.140218864019581,0.0,0.0
2024-01-02 23:15:00,0.001,0.001,0.0815521973529143,0.0,2.0
2024-01-02 23:30:00,0.001,0.001,0.0815521973529143,0.0,0.0
2024-01-02 23:45:00,0.001,0.001,0.12462087894116572,0.0,0.0
2024-01-03 00:00:00,0.001,0.001,0.399,0.0,0.0
2024-01-03 00:15:00,0.001,0.001,0.186,0.0,0.0
2024-01-03 00:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-03 00:45:00,0.001,0.001,0.06893131841174858,0.0,0.0
2024-01-03 01:00:00,0.001,0.001,0.0815521973529143,0.0,0.0
2024-01-03 01:15:00,0.001,0.001,0.23221886401958095,0.0,3.3333333333333335
2024-01-03 01:30:00,0.001,0.001,0.42055219735291427,0.0,0.0
2024-01-03 01:45:00,0.001,0.001,0.13888553068624762,0.0,0.0
2024-01-03 02:00:00,0.001,0.001,0.05420695964705524,0.0,0.0
2024-01-03 02:15:00,0.001,0.001,0.05,0.0,0.0
2024-01-03 02:30:00,0.001,0.001,0.06266666666666668,0.0,0.0
2024-01-03 02:45:00,0.001,0.001,0.328,0.0,0.0
2024-01-03 03:00:00,0.001,0.001,0.2856666666666667,0.0,0.0
2024-01-03 03:15:00,0.001,0.001,0.07066666666666667,0.0,2.6666666666666665
2024-01-03 03:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-03 03:45:00,0.001,0.001,0.05,0.0,0.0
2024-01-03 04:00:00,0.001,0.001,0.184,0.0,0.0
2024-01-03 04:15:00,0.001,0.001,0.27266666666666667,0.0,0.0
2024-01-03 04:30:00,0.001,0.001,0.21966666666666665,0.0,0.0
2024-01-03 04:45:00,0.001,0.001,0.07066666666666667,5.133333333333334,1.3333333333333333
2024-01-03 05:00:00,0.001,0.001,0.05,3.7333333333333334,1.0
2024-01-03 05:15:00,0.001,0.001,0.10066666666666667,0.0,0.0
2024-01-03 05:30:00,0.001,0.001,0.25,0.0,0.0
2024-01-03 05:45:00,0.001,0.001,0.17066666666666666,0.0,0.0
2024-01-03 06:00:00,0.001,0.001,0.205,0.0,0.0
2024-01-03 06:15:00,0.001,0.001,0.07066666666666667,0.0,0.0
2024-01-03 06:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-03 06:45:00,0.001,0.001,0.24399999999999997,0.0,0.0
2024-01-03 07:00:00,0.001,0.001,0.16533333333333333,0.0,0.0
2024-01-03 07:15:00,0.001,0.001,0.11546666666666666,0.0,0.0
2024-01-03 07:30:00,0.001,0.001,0.218,0.0,2.0
2024-01-03 07:45:00,0.001,0.001,0.08366666666666665,0.0,0.0
2024-01-03 08:00:00,0.001,0.001,0.15166666666666667,0.0,2.6666666666666665
2024-01-03 08:15:00,0.001,0.001,0.2418,0.0,0.0
2024-01-03 08:30:00,0.001,0.001,0.08666666666666667,0.0,0.6666666666666666
2024-01-03 08:45:00,0.001,0.001,0.112,0.0,2.0
2024-01-03 09:00:00,0.001,0.001,1.0537999999999998,0.0,0.0
2024-01-03 09:15:00,0.001,0.001,2.2166,0.0,0.0
2024-01-03 09:30:00,0.001,0.001,0.9863333333333333,0.0,0.0
2024-01-03 09:45:00,0.001,0.001,0.14366666666666666,0.0,0.0
2024-01-03 10:00:00,0.001,0.001,0.06757710613724952,3.7333333333333334,0.0
2024-01-03 10:15:00,0.001,0.001,0.14528553068624764,7.0,0.0
2024-01-03 10:30:00,0.001,0.001,0.2495521973529143,7.0,2.0
2024-01-03 10:45:00,0.001,0.001,0.2712988640195809,7.0,0.0
2024-01-03 11:00:00,0.001,0.001,0.34353886401958095,5.6,1.3333333333333333
2024-01-03 11:15:00,0.001,0.001,0.09968553068624764,0.0,1.0
2024-01-03 11:30:00,0.001,0.001,0.05631043947058287,0.0,0.0
2024-01-03 11:45:00,0.001,0.001,0.112,0.0,0.0
2024-01-03 12:00:00,0.001,0.001,0.25566666666666665,0.0,2.3333333333333335
2024-01-03 12:15:00,0.001,0.001,0.27066666666666667,0.0,0.0
2024-01-03 12:30:00,0.001,0.001,0.13390842454899812,0.0,0.0
2024-01-03 12:45:00,0.001,0.001,2.4254855306862475,0.0,0.0
2024-01-03 13:00:00,0.001,0.001,0.3624855306862476,0.0,0.0
2024-01-03 13:15:00,0.001,0.001,0.2645521973529143,0.0,0.0
2024-01-03 13:30:00,0.001,0.001,0.547345237705859,0.0,0.0
2024-01-03 13:45:00,0.001,0.001,0.30700000000000005,0.0,0.0
2024-01-03 14:00:00,0.001,0.001,0.09033333333333333,0.0,0.0
2024-01-03 14:15:00,0.001,0.001,0.05,0.0,0.0
2024-01-03 14:30:00,0.001,0.001,0.05,0.0,1.0
2024-01-03 14:45:00,0.001,0.001,0.2006666666666667,0.0,2.0
2024-01-03 15:00:00,0.001,0.001,0.389,0.0,0.0
2024-01-03 15:15:00,0.001,0.001,0.10733333333333334,0.0,0.0
2024-01-03 15:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-03 15:45:00,0.001,0.001,0.05,0.0,0.0
2024-01-03 16:00:00,0.001,0.001,0.06266666666666668,0.0,0.0
2024-01-03 16:15:00,0.001,0.001,0.328,0.0,0.0
2024-01-03 16:30:00,0.001,0.001,0.2856666666666667,0.0,0.0
2024-01-03 16:45:00,0.001,0.001,0.07066666666666667,0.0,0.0
2024-01-03 17:00:00,0.001,0.001,0.05,0.0,0.0
2024-01-03 17:15:00,0.001,0.001,0.05,0.0,0.0
2024-01-03 17:30:00,0.001,0.001,0.184,0.0,3.0
2024-01-03 17:45:00,0.001,0.001,0.27266666666666667,0.0,0.0
2024-01-03 18:00:00,0.001,0.001,0.21966666666666665,0.0,0.0
2024-01-03 18:15:00,0.001,0.001,0.07066666666666667,0.0,0.0
2024-01-03 18:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-03 18:45:00,0.001,0.001,0.20018,0.0,0.0
2024-01-03 19:00:00,0.001,0.001,0.3857,0.0,0.0
2024-01-03 19:15:00,0.001,0.001,0.3789666666666667,0.0,0.0
2024-01-03 19:30:00,0.001,0.001,0.46169999999999994,0.0,0.0
2024-01-03 19:45:00,0.001,0.001,0.32736666666666664,0.0,0.0
2024-01-03 20:00:00,0.001,0.001,0.31773549288116193,0.0,0.0
2024-01-03 20:15:00,0.001,0.001,0.5125237423726735,0.0,2.0
2024-01-03 20:30:00,0.001,0.001,0.3935237423726735,0.0,0.3333333333333333
2024-01-03 20:45:00,0.001,0.001,0.2595237423726735,0.0,0.0
2024-01-03 21:00:00,0.001,0.001,0.3525237423726735,0.0,0.0
2024-01-03 21:15:00,0.001,0.001,0.21109616361573605,0.0,0.0
2024-01-03 21:30:00,0.001,0.001,0.27436666666666665,0.0,2.3333333333333335
2024-01-03 21:45:00,0.001,0.001,0.37180347982352757,0.0,0.0
2024-01-03 22:00:00,0.001,0.001,0.25391886401958097,0.0,0.0
2024-01-03 22:15:00,0.001,0.001,0.2792521973529143,0.0,0.0
2024-01-03 22:30:00,0.001,0.001,0.3964521973529143,0.0,0.0
2024-01-03 22:45:00,0.001,0.001,0.37158553068624767,0.0,0.0
2024-01-03 23:00:00,0.001,0.001,0.5521487175293867,0.0,2.3333333333333335
2024-01-03 23:15:00,0.001,0.001,0.3873666666666667,0.0,0.0
2024-01-03 23:30:00,0.001,0.001,0.3067,0.0,0.0
2024-01-03 23:45:00,0.001,0.001,0.27996666666666664,0.0,0.0
2024-01-04 00:00:00,0.001,0.001,0.3407,0.0,0.0
2024-01-04 00:15:00,0.001,0.001,0.3403666666666666,0.0,1.6666666666666667
2024-01-04 00:30:00,0.001,0.001,0.21971333333333334,0.0,1.0
2024-01-04 00:45:00,0.001,0.001,0.06466666666666668,0.0,0.0
2024-01-04 01:00:00,0.001,0.001,0.05,0.0,0.0
2024-01-04 01:15:00,0.001,0.001,0.112,0.0,0.0
2024-01-04 01:30:00,0.001,0.001,0.25566666666666665,0.0,0.0
2024-01-04 01:45:00,0.001,0.001,0.27066666666666667,0.0,0.3333333333333333
2024-01-04 02:00:00,0.001,0.001,0.10866666666666668,0.0,2.0
2024-01-04 02:15:00,0.001,0.001,0.05,0.0,0.0
2024-01-04 02:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-04 02:45:00,0.001,0.001,0.112,0.0,0.0
2024-01-04 03:00:00,0.001,0.001,0.399,0.0,0.0
2024-01-04 03:15:00,0.001,0.001,0.186,0.0,2.3333333333333335
2024-01-04 03:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-04 03:45:00,0.001,0.001,0.05,0.0,0.0
2024-01-04 04:00:00,0.001,0.001,0.05,0.0,0.0
2024-01-04 04:15:00,0.001,0.001,0.2006666666666667,0.0,0.0
