,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.001,0.0,0.6231333333333333,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.28533333333333327,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.4064,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.21466666666666664,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.0815521973529143,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.0815521973529143,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.16955219735291432,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.27221886401958095,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.3941034798235276,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.06466666666666668,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.2866666666666667,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.25466666666666665,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.21466666666666664,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.21533333333333332,0.0
2024-01-01 04:30:00,0.001,0.001,0.0,0.328,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.06266666666666668,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.18933333333333333,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.07533333333333334,0.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.15133333333333335,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.328,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.5264666666666666,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.164,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.18933333333333333,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.25466666666666665,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.19799999999999998,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.06466666666666668,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.21466666666666664,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.32380000000000003,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.165,0.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.15099999999999997,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.063,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.12633333333333333,0.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.31633333333333336,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.22593333333333335,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.13799999999999998,0.0
2024-01-01 10:15:00,0.001,0.001,0.0,0.10133333333333333,0.0
2024-01-01 10:30:00,0.001,0.001,0.0,0.24167333333333332,0.0
2024-01-01 10:45:00,0.001,0.001,0.0,0.4977,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.4217,0.0
2024-01-01 11:15:00,0.001,0.001,0.0,0.9820999999999999,0.0
2024-01-01 11:30:00,0.001,0.001,0.0,0.9507666666666665,0.0
2024-01-01 11:45:00,0.001,0.001,0.0,2.6454999999999997,0.0
2024-01-01 12:00:00,0.001,0.001,0.0,0.5356333333333333,0.0
