,TumbleDryer,WashingMachine,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.001,0.28688249491511564,0.0
2024-01-01 00:15:00,0.001,0.001,0.30462374237267353,0.0
2024-01-01 00:30:00,0.001,0.001,0.3598237423726735,0.0
2024-01-01 00:45:00,0.001,0.001,0.2124237423726735,0.0
2024-01-01 01:00:00,0.001,0.001,0.0488237423726735,0.0
2024-01-01 01:15:00,0.001,0.001,0.05171991522620301,0.0
2024-01-01 01:30:00,0.001,0.001,0.4683521973529144,0.0
2024-01-01 01:45:00,0.001,0.001,0.15721886401958096,0.0
2024-01-01 02:00:00,0.001,0.001,0.3230855306862476,0.0
2024-01-01 02:15:00,0.001,0.001,0.18955219735291431,0.0
2024-01-01 02:30:00,0.001,0.001,0.18113827805880384,0.0
2024-01-01 02:45:00,0.001,0.001,0.158,0.0
2024-01-01 03:00:00,0.001,0.001,0.158,0.0
2024-01-01 03:15:00,0.001,0.001,0.21666666666666667,0.0
2024-01-01 03:30:00,0.001,0.001,0.17633333333333334,0.0
2024-01-01 03:45:00,0.001,0.001,0.037,0.0
2024-01-01 04:00:00,0.001,0.001,0.037,0.0
2024-01-01 04:15:00,0.001,0.001,0.037,0.0
2024-01-01 04:30:00,0.001,0.001,0.037,0.0
2024-01-01 04:45:00,0.001,0.001,0.227,0.0
2024-01-01 05:00:00,0.001,0.001,0.12566666666666668,0.0
2024-01-01 05:15:00,0.001,0.001,0.037,0.0
2024-01-01 05:30:00,0.001,0.001,0.037,0.0
2024-01-01 05:45:00,0.001,0.001,0.037,0.0
2024-01-01 06:00:00,0.001,0.001,0.08766666666666666,0.0
2024-01-01 06:15:00,0.001,0.001,0.227,0.0
2024-01-01 06:30:00,0.001,0.001,0.075,0.0
2024-01-01 06:45:00,0.001,0.001,0.037,0.0
2024-01-01 07:00:00,0.001,0.001,0.037,0.0
2024-01-01 07:15:00,0.001,0.001,0.037,0.0
2024-01-01 07:30:00,0.001,0.001,0.13833333333333334,0.0
2024-01-01 07:45:00,0.001,0.001,0.3476,0.0
2024-01-01 08:00:00,0.001,0.001,0.4472,0.0
2024-01-01 08:15:00,0.001,0.001,0.05,0.0
2024-01-01 08:30:00,0.001,0.001,0.4498,0.0
2024-01-01 08:45:00,0.001,0.001,0.10646666666666668,0.0
2024-01-01 09:00:00,0.001,0.001,0.323,3.6666666666666665
2024-01-01 09:15:00,0.001,0.001,0.29766666666666663,0.0
2024-01-01 09:30:00,0.001,0.001,0.16926666666666668,0.0
2024-01-01 09:45:00,0.001,0.001,0.171,0.0
2024-01-01 10:00:00,0.001,0.001,2.3844576920980263,0.0
2024-01-01 10:15:00,0.001,0.001,0.2541521973529143,0.0
2024-01-01 10:30:00,0.001,0.001,0.9919521973529143,0.0
2024-01-01 10:45:00,0.001,0.001,1.8778855306862476,0.7333333333333333
2024-01-01 11:00:00,0.001,0.001,0.3624855306862476,5.133333333333334
2024-01-01 11:15:00,0.001,0.001,2.6127840657843047,0.0
2024-01-01 11:30:00,0.001,0.001,2.0512666666666663,0.0
2024-01-01 11:45:00,0.001,0.001,1.3114666666666666,0.0
2024-01-01 12:00:00,0.001,0.001,0.469,0.0
2024-01-01 12:15:00,0.001,0.001,0.30433333333333334,0.0
2024-01-01 12:30:00,0.001,0.001,0.09346666666666667,0.0
2024-01-01 12:45:00,0.001,0.001,0.04251774644058096,0.0
2024-01-01 13:00:00,0.001,0.001,0.6948237423726735,0.0
2024-01-01 13:15:00,0.001,0.001,0.3048585406079497,0.0
2024-01-01 13:30:00,0.001,0.001,0.3695092730589211,0.0
2024-01-01 13:45:00,0.001,0.001,0.2143759397255878,0.0
2024-01-01 14:00:00,0.001,0.001,0.21279944074256466,0.0
2024-01-01 14:15:00,0.001,0.001,0.21061886401958096,0.0
2024-01-01 14:30:00,0.001,0.001,0.3130347982352762,0.0
2024-01-01 14:45:00,0.001,0.001,0.35986666666666667,0.0
2024-01-01 15:00:00,0.001,0.001,0.3030933333333333,0.0
2024-01-01 15:15:00,0.001,0.001,0.3067,0.0
2024-01-01 15:30:00,0.001,0.001,0.29889999999999994,0.0
2024-01-01 15:45:00,0.001,0.001,0.29842949694906934,0.0
2024-01-01 16:00:00,0.001,0.001,0.3308570757060068,0.0
2024-01-01 16:15:00,0.001,0.001,0.6456182476275611,0.0
2024-01-01 16:30:00,0.001,0.001,0.6104759397255878,0.0
