,WasherDryer,TumbleDryer,BaseLoad,P_WB
2024-01-01 00:00:00,0.7920347860576631,0.001,0.3120104394705828,0.0
2024-01-01 00:15:00,0.6865634812499747,0.001,0.27249999999999996,0.0
2024-01-01 00:30:00,0.001,0.001,0.25703333333333334,0.7
2024-01-01 00:45:00,0.001,0.001,0.1837,1.5
2024-01-01 01:00:00,0.001,0.001,0.2660104394705829,0.1
2024-01-01 01:15:00,0.001,0.001,0.3292521973529143,0.0
2024-01-01 01:30:00,0.001,0.001,0.2152521973529143,0.0
2024-01-01 01:45:00,0.001,0.001,0.3226483609686504,0.0
2024-01-01 02:00:00,0.001,0.001,0.2763057932353935,0.0
2024-01-01 02:15:00,0.001,0.001,0.1955237423726735,0.0
2024-01-01 02:30:00,0.001,0.001,0.1955237423726735,0.0
2024-01-01 02:45:00,0.001,0.001,0.32061391005631706,0.2
2024-01-01 03:00:00,0.001,0.001,0.2617,1.5
2024-01-01 03:15:00,0.001,0.001,0.29369999999999996,1.5
2024-01-01 03:30:00,0.001,0.001,0.09542666666666667,1.5
2024-01-01 03:45:00,0.001,0.001,0.6214000000000001,1.5
2024-01-01 04:00:00,0.001,0.001,0.169,0.7
2024-01-01 04:15:00,0.001,0.001,0.169,0.0
2024-01-01 04:30:00,0.001,0.001,0.383,0.0
2024-01-01 04:45:00,0.001,0.001,0.2916666666666667,0.0
2024-01-01 05:00:00,0.001,0.001,0.17633333333333334,0.0
2024-01-01 05:15:00,0.001,0.001,0.0722,0.0
2024-01-01 05:30:00,0.001,0.001,0.048,0.0
2024-01-01 05:45:00,0.001,0.001,0.048,1.4
2024-01-01 06:00:00,0.001,0.001,0.14466666666666667,1.5
2024-01-01 06:15:00,0.001,0.001,0.29533333333333334,1.5
2024-01-01 06:30:00,0.001,0.001,0.048,1.5
2024-01-01 06:45:00,0.001,0.001,0.048,1.5
2024-01-01 07:00:00,0.001,0.001,0.048,1.5
2024-01-01 07:15:00,0.001,0.001,0.048,1.5
2024-01-01 07:30:00,0.001,0.001,0.12866666666666665,1.5
2024-01-01 07:45:00,0.001,0.001,0.21,1.5
2024-01-01 08:00:00,0.001,0.001,0.1528,1.5
2024-01-01 08:15:00,0.001,0.001,0.061000000000000006,0.5
2024-01-01 08:30:00,0.001,0.001,0.061000000000000006,0.0
2024-01-01 08:45:00,0.001,0.001,0.061000000000000006,0.0
2024-01-01 09:00:00,0.001,0.001,0.16366666666666668,0.0
2024-01-01 09:15:00,0.001,0.001,0.09933333333333333,0.4
2024-01-01 09:30:00,0.001,0.001,0.19513333333333333,1.5
2024-01-01 09:45:00,0.001,0.001,0.11166666666666666,1.5
2024-01-01 10:00:00,0.001,0.001,0.061000000000000006,1.5
2024-01-01 10:15:00,0.001,0.001,0.07566666666666667,1.5
2024-01-01 10:30:00,0.001,0.001,0.5708,0.0
2024-01-01 10:45:00,0.001,0.001,0.07993333333333334,0.0
2024-01-01 11:00:00,0.001,0.001,0.048,0.0
2024-01-01 11:15:00,0.001,0.001,0.238,0.0
2024-01-01 11:30:00,0.001,0.001,0.13673333333333335,0.0
2024-01-01 11:45:00,0.001,0.001,0.2869333333333334,1.5
2024-01-01 12:00:00,0.001,0.001,0.413,1.5
2024-01-01 12:15:00,0.001,0.001,0.39166666666666666,1.5
2024-01-01 12:30:00,0.001,0.001,0.400615828248449,1.5
2024-01-01 12:45:00,0.001,0.001,0.3604237423726735,1.5
2024-01-01 13:00:00,0.001,0.001,0.44636403535306207,1.5
2024-01-01 13:15:00,0.001,0.001,0.22277593972558782,1.5
2024-01-01 13:30:00,0.001,0.001,0.48823593972558776,1.5
2024-01-01 13:45:00,0.001,0.001,0.8612051953189606,1.5
2024-01-01 14:00:00,0.001,0.001,0.45825219735291434,1.5
2024-01-01 14:15:00,0.001,0.001,0.44983827805880383,1.5
2024-01-01 14:30:00,0.001,0.001,0.5603,1.5
2024-01-01 14:45:00,0.001,0.001,0.6120333333333333,1.5
2024-01-01 15:00:00,0.001,0.001,0.37803333333333333,1.5
2024-01-01 15:15:00,0.001,0.001,0.31283333333333335,1.5
2024-01-01 15:30:00,0.001,0.001,0.42669999999999997,0.9
2024-01-01 15:45:00,0.001,0.001,0.7416333333333334,0.6
2024-01-01 16:00:00,0.001,0.001,0.5599666666666666,1.5
2024-01-01 16:15:00,0.001,0.001,0.7459,1.5
2024-01-01 16:30:00,0.001,0.001,0.6370333333333333,0.5
2024-01-01 16:45:00,0.001,0.001,0.4345,1.0
2024-01-01 17:00:00,0.001,0.001,0.3046999999999999,1.5
2024-01-01 17:15:00,0.001,0.001,0.3046999999999999,1.5
2024-01-01 17:30:00,0.001,0.001,0.31936666666666663,0.1
2024-01-01 17:45:00,0.001,0.001,0.32249999999999995,0.0
2024-01-01 18:00:00,0.001,0.001,0.45383827805880383,0.0
2024-01-01 18:15:00,0.001,0.001,0.33625219735291434,0.0
2024-01-01 18:30:00,0.001,0.001,0.415118864019581,0.0
2024-01-01 18:45:00,0.001,0.001,0.4272521973529143,1.0
2024-01-01 19:00:00,0.001,0.001,0.9485321973529143,1.5
2024-01-01 19:15:00,0.001,0.001,0.49520695964705524,1.5
2024-01-01 19:30:00,0.001,0.001,0.36442374237267355,0.9
2024-01-01 19:45:00,0.001,0.001,0.4474217274510887,0.0
2024-01-01 20:00:00,0.001,0.001,0.4690759397255878,0.0
