,TumbleDryer,WashingMachine,BaseLoad
2024-01-02 00:45:00,0.001,0.001,0.44780000000000003
2024-01-02 01:00:00,0.001,0.001,0.2066
2024-01-02 01:15:00,0.001,0.001,0.238
2024-01-02 01:30:00,0.001,0.001,0.11133333333333333
2024-01-02 01:45:00,0.001,0.001,0.048
2024-01-02 02:00:00,0.001,0.001,0.048
2024-01-02 02:15:00,0.001,0.001,0.048
2024-01-02 02:30:00,0.001,0.001,0.17466666666666666
2024-01-02 02:45:00,0.001,0.001,0.2
2024-01-02 03:00:00,0.001,0.001,0.44780000000000003
2024-01-02 03:15:00,0.001,0.001,0.048
2024-01-02 03:30:00,0.001,0.001,0.048
2024-01-02 03:45:00,0.001,0.001,0.08600000000000001
2024-01-02 04:00:00,0.001,0.001,0.238
2024-01-02 04:15:00,0.001,0.001,0.09866666666666667
2024-01-02 04:30:00,0.001,0.001,0.048
2024-01-02 04:45:00,0.001,0.001,0.048
2024-01-02 05:00:00,0.001,0.001,0.048
2024-01-02 05:15:00,0.001,0.001,0.18733333333333332
2024-01-02 05:30:00,0.001,0.001,0.18733333333333332
2024-01-02 05:45:00,0.001,0.001,0.048
2024-01-02 06:00:00,0.001,0.001,0.048
2024-01-02 06:15:00,0.001,0.001,0.04886666666666666
2024-01-02 06:30:00,0.001,0.001,0.11166666666666666
2024-01-02 06:45:00,0.001,0.001,0.251
2024-01-02 07:00:00,0.001,0.001,1.3721999999999999
2024-01-02 07:15:00,0.001,0.001,2.040666666666666
2024-01-02 07:30:00,0.001,0.001,0.048
2024-01-02 07:45:00,0.001,0.001,0.048
2024-01-02 08:00:00,0.001,0.001,0.20433333333333334
2024-01-02 08:15:00,0.001,0.001,0.18766666666666668
2024-01-02 08:30:00,0.001,0.001,0.061000000000000006
2024-01-02 08:45:00,0.001,0.001,0.061000000000000006
2024-01-02 09:00:00,0.001,0.001,0.056666666666666664
2024-01-02 09:15:00,0.001,0.001,0.11133333333333333
2024-01-02 09:30:00,0.001,0.001,0.238
2024-01-02 09:45:00,0.001,0.001,0.3398666666666667
2024-01-02 10:00:00,0.001,0.001,0.1812666666666667
2024-01-02 10:15:00,0.001,0.001,0.048
2024-01-02 10:30:00,0.001,0.001,0.048
2024-01-02 10:45:00,0.001,0.001,0.21266666666666667
2024-01-02 11:00:00,0.001,0.001,0.16199999999999998
2024-01-02 11:15:00,0.001,0.001,0.048
2024-01-02 11:30:00,0.001,0.001,0.048
2024-01-02 11:45:00,0.001,0.001,0.048
2024-01-02 12:00:00,0.001,0.001,0.13353333333333334
2024-01-02 12:15:00,0.001,0.001,0.251
2024-01-02 12:30:00,0.001,0.001,0.07366666666666667
2024-01-02 12:45:00,0.001,0.001,0.061000000000000006
2024-01-02 13:00:00,0.001,0.001,0.055799999999999995
2024-01-02 13:15:00,0.001,0.001,0.048
2024-01-02 13:30:00,0.001,0.001,0.22533333333333333
2024-01-02 13:45:00,0.001,0.001,0.14933333333333332
2024-01-02 14:00:00,0.001,0.001,0.048
2024-01-02 14:15:00,0.001,0.001,0.44780000000000003
2024-01-02 14:30:00,0.001,0.001,0.048
2024-01-02 14:45:00,0.001,0.001,0.13666666666666666
2024-01-02 15:00:00,0.001,0.001,0.238
2024-01-02 15:15:00,0.001,0.001,0.048
2024-01-02 15:30:00,0.001,0.001,0.048
2024-01-02 15:45:00,0.001,0.001,0.048
2024-01-02 16:00:00,0.001,0.001,0.048
2024-01-02 16:15:00,0.001,0.001,0.238
2024-01-02 16:30:00,0.001,0.001,0.5364666666666668
2024-01-02 16:45:00,0.001,0.001,0.048
2024-01-02 17:00:00,0.001,0.001,0.048
2024-01-02 17:15:00,0.001,0.001,0.051941247457557835
2024-01-02 17:30:00,0.001,0.001,0.29442374237267355
2024-01-02 17:45:00,0.001,0.001,0.6369570757060069
2024-01-02 18:00:00,0.001,0.001,0.0598237423726735
2024-01-02 18:15:00,0.001,0.001,0.0598237423726735
2024-01-02 18:30:00,0.001,0.001,0.07691729315039186
2024-01-02 18:45:00,0.001,0.001,0.09221886401958096
2024-01-02 19:00:00,0.001,0.001,0.2695521973529143
2024-01-02 19:15:00,0.001,0.001,1.2506855306862477
2024-01-02 19:30:00,0.001,0.001,2.3225521973529144
2024-01-02 19:45:00,0.001,0.001,0.9391104394705828
2024-01-02 20:00:00,0.001,0.001,0.29
2024-01-02 20:15:00,0.001,0.001,0.41030599593209255
2024-01-02 20:30:00,0.001,0.001,0.4342237423726735
2024-01-02 20:45:00,0.001,0.001,0.18082374237267348
2024-01-02 21:00:00,0.001,0.001,0.10015707570600683
2024-01-02 21:15:00,0.001,0.001,0.051941247457557835
2024-01-02 21:30:00,0.001,0.001,0.19590983231635647
2024-01-02 21:45:00,0.001,0.001,0.4272904090393402
2024-01-02 22:00:00,0.001,0.001,0.36515707570600686
2024-01-02 22:15:00,0.001,0.001,0.3018237423726735
2024-01-02 22:30:00,0.001,0.001,0.30917593972558777
2024-01-02 22:45:00,0.001,0.001,0.21237593972558783
2024-01-02 23:00:00,0.001,0.001,0.3280071135110925
2024-01-02 23:15:00,0.001,0.001,0.3525521973529143
2024-01-02 23:30:00,0.001,0.001,0.29165161139213713
