,WasherDryer,TumbleDryer,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.18971639165684573,0.0,2.9,0.5377234567901235
2024-01-01 01:00:00,0.001,0.001,0.20049922125978284,0.0,3.0,1.6612185185185189
2024-01-01 02:00:00,0.001,0.001,0.08833333333333335,0.0,3.0,0.891462962962963
2024-01-01 03:00:00,0.001,0.001,0.202,0.0,3.0,0.9508938271604939
2024-01-01 04:00:00,0.001,0.001,0.0931,0.0,3.0,0.5348777777777778
2024-01-01 05:00:00,0.001,0.001,0.048,0.0,3.0,0.47544691358024693
2024-01-01 06:00:00,0.001,0.001,0.48080000000000006,0.0,3.0,0.47544691358024693
2024-01-01 07:00:00,0.001,0.001,0.081,0.0,3.0,1.1886172839506173
2024-01-01 08:00:00,0.001,0.001,0.14795,0.0,3.0,0.23772345679012347
2024-01-01 09:00:00,0.001,0.001,0.081,0.0,3.0,0.1782925925925926
2024-01-01 10:00:00,0.001,0.001,0.081,0.0,3.0,0.8
2024-01-01 11:00:00,0.001,0.001,0.048,0.0,3.0,0.3197555555555556
2024-01-01 12:00:00,0.001,0.001,0.21426666666666666,0.0,3.0,1.5574790123456792
2024-01-01 13:00:00,0.001,0.001,0.081,0.0,3.0,0.35373950617283956
2024-01-01 14:00:00,0.001,0.001,0.048,7.333333333333333,3.0,0.23772345679012347
2024-01-01 15:00:00,0.001,0.001,0.23914500000000002,2.566666666666667,3.0,0.5943086419753086
2024-01-01 16:00:00,0.001,0.001,0.6160726043353157,0.55,3.0,0.7131703703703705
2024-01-01 17:00:00,0.001,0.001,0.3888211467886739,0.0,3.0,0.8726012345679013
2024-01-01 18:00:00,0.001,0.001,1.3883859521862627,0.0,3.0,0.19715432098765434
2024-01-01 19:00:00,0.001,0.001,0.36339065435300993,0.0,3.0,1.2480481481481482
2024-01-01 20:00:00,0.001,0.001,0.5533316631912755,0.0,3.0,1.2480481481481482
2024-01-01 21:00:00,0.001,0.001,0.4899759397255878,0.0,3.0,0.47544691358024693
2024-01-01 22:00:00,0.48880478473555894,0.001,0.5020759397255878,0.0,3.0,0.7131703703703705
2024-01-01 23:00:00,0.7920347860576631,0.001,0.6931019110298192,0.0,3.0,0.1782925925925926
