,WasherDryer,TumbleDryer,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.26615,0.0,2.9,0.891462962962963
2024-01-01 01:00:00,0.001,0.001,0.1547166666666667,0.0,3.0,1.357479012345679
2024-01-01 02:00:00,0.001,0.001,0.12316666666666667,0.0,3.0,1.491462962962963
2024-01-01 03:00:00,0.001,0.001,0.1774166666666667,0.0,3.0,0.36032469135802475
2024-01-01 04:00:00,0.001,0.001,0.09825,0.0,3.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.12316666666666667,0.0,3.0,1.1886172839506173
2024-01-01 06:00:00,0.001,0.001,0.2826024723627353,0.0,3.0,0.11886172839506173
2024-01-01 07:00:00,0.001,0.001,0.48549871752938667,0.0,3.0,1.3074790123456792
2024-01-01 08:00:00,0.001,0.001,0.22311666666666669,0.0,3.0,1.0697555555555556
2024-01-01 09:00:00,0.001,0.001,0.16475,0.0,3.0,1.3971543209876542
2024-01-01 10:00:00,0.001,0.001,0.24418333333333334,7.333333333333333,3.0,0.9206493827160496
2024-01-01 11:00:00,0.001,0.001,0.12316666666666667,0.9166666666666666,3.0,1.3074790123456792
2024-01-01 12:00:00,0.001,0.001,0.2583666666666667,0.0,3.0,0.33772345679012344
2024-01-01 13:00:00,0.001,0.001,0.11725000000000001,0.0,3.0,1.0886172839506174
2024-01-01 14:00:00,0.001,0.001,0.12316666666666667,0.0,3.0,0.5943086419753086
2024-01-01 15:00:00,0.001,0.001,0.28535000000000005,0.0,3.0,0.7726012345679013
2024-01-01 16:00:00,0.001,0.001,0.6151166666666668,0.0,3.0,1.1291864197530865
2024-01-01 17:00:00,0.001,0.001,0.8591423272314722,0.0,3.0,1.1291864197530865
2024-01-01 18:00:00,0.001,0.001,0.5577697489200326,0.0,3.0,0.23772345679012347
2024-01-01 19:00:00,0.001,0.001,0.7209190450363534,0.0,3.0,1.256585185185185
2024-01-01 20:00:00,0.001,0.001,0.2769248624950895,0.0,3.0,1.6272345679012348
2024-01-01 21:00:00,0.001,0.001,0.2766942765343124,0.0,3.0,0.20658518518518523
2024-01-01 22:00:00,0.001,0.001,0.3498855306862476,0.0,3.0,1.1886172839506173
2024-01-01 23:00:00,0.001,0.001,0.35406173991176376,0.0,3.0,1.234877777777778
