,WasherDryer,TumbleDryer,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.08600000000000001,0.0,2.9,0.0
2024-01-01 01:00:00,0.001,0.001,0.05483333333333333,0.0,3.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.08416666666666667,0.0,3.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.08600000000000001,0.0,3.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.08600000000000001,0.0,3.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.05483333333333333,0.36666666666666664,3.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.08416666666666667,2.0166666666666666,3.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.08600000000000001,0.0,3.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.08600000000000001,0.0,3.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.05483333333333333,0.0,3.0,0.891462962962963
2024-01-01 10:00:00,0.001,0.001,1.0507666666666666,1.8333333333333333,3.0,0.11886172839506173
2024-01-01 11:00:00,0.001,0.001,0.08600000000000001,0.0,3.0,0.05943086419753087
2024-01-01 12:00:00,0.001,0.001,0.08600000000000001,0.0,3.0,0.0
2024-01-01 13:00:00,0.001,0.001,0.05483333333333333,0.0,3.0,0.0
2024-01-01 14:00:00,0.001,0.001,0.08416666666666667,0.0,3.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.08600000000000001,0.9166666666666666,3.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.08600000000000001,0.0,3.0,0.0
2024-01-01 17:00:00,0.001,0.001,0.05483333333333333,0.0,3.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.08416666666666667,0.0,3.0,0.0
2024-01-01 19:00:00,0.001,0.001,0.08600000000000001,0.0,3.0,0.0
2024-01-01 20:00:00,0.001,0.001,0.08600000000000001,0.0,3.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.05483333333333333,0.0,3.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.08416666666666667,0.0,3.0,0.0
2024-01-01 23:00:00,0.001,0.001,0.08600000000000001,0.0,3.0,0.0
