,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0,0.001,0.053,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.053,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.053,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.129,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.243,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.07833333333333334,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.053,0.0,1.2
2024-01-01 01:45:00,0.001,0.0,0.001,0.053,0.0,1.5
2024-01-01 02:00:00,0.001,0.0,0.001,0.053,0.0,1.5
2024-01-01 02:15:00,0.001,0.0,0.001,0.23033333333333333,0.0,1.5
2024-01-01 02:30:00,0.001,0.0,0.001,0.16699999999999998,0.0,1.5
2024-01-01 02:45:00,0.001,0.0,0.001,0.053,0.0,1.3
2024-01-01 03:00:00,0.001,0.0,0.001,0.053,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.053,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.14166666666666666,0.0,1.2
2024-01-01 03:45:00,0.001,0.0,0.001,0.243,1.0666666666666667,1.5
2024-01-01 04:00:00,0.001,0.0,0.001,0.06566666666666666,0.26666666666666666,0.2
2024-01-01 04:15:00,0.001,0.0,0.001,0.5860666666666667,2.6666666666666665,0.0
2024-01-01 04:30:00,0.001,0.0,0.001,0.053,3.7333333333333334,0.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.053,0.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.243,3.7333333333333334,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.15433333333333332,4.0,0.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.053,4.0,0.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.053,3.2,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.053,2.4,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.15433333333333332,0.0,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.243,0.0,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.053,0.8,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.053,0.8,0.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.053,0.0,0.0
2024-01-01 07:30:00,0.001,0.0,0.001,0.06566666666666666,0.0,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.243,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.14166666666666666,2.6666666666666665,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.053,0.5333333333333333,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.053,0.0,0.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.053,0.0,0.1
2024-01-01 09:00:00,0.001,0.0,0.001,0.16699999999999998,2.4,1.5
2024-01-01 09:15:00,0.001,0.0,0.001,0.23033333333333333,0.5333333333333333,0.4
2024-01-01 09:30:00,0.001,0.0,0.001,0.053,0.0,0.0
2024-01-01 09:45:00,0.001,0.0,0.001,0.053,0.0,0.0
2024-01-01 10:00:00,0.001,0.0,0.001,0.053,0.0,0.0
2024-01-01 10:15:00,0.001,0.0,0.001,0.07833333333333334,0.0,0.0
2024-01-01 10:30:00,0.001,0.0,0.001,0.3762666666666667,2.6666666666666665,0.0
2024-01-01 10:45:00,0.001,0.0,0.001,0.9286,0.0,0.0
2024-01-01 11:00:00,0.001,0.0,0.001,0.4528,0.0,0.0
2024-01-01 11:15:00,0.001,0.0,0.001,0.053,0.0,1.0
2024-01-01 11:30:00,0.001,0.0,0.001,0.053,0.0,1.5
2024-01-01 11:45:00,0.001,0.0,0.001,0.17966666666666667,0.0,1.5
2024-01-01 12:00:00,0.001,0.0,0.001,0.21766666666666667,0.0,0.7
2024-01-01 12:15:00,0.001,0.0,0.001,0.053,0.26666666666666666,0.0
2024-01-01 12:30:00,0.001,0.0,0.001,0.07613827805880383,2.4,1.1
2024-01-01 12:45:00,0.001,0.0,0.001,0.08455219735291429,0.0,1.0
2024-01-01 13:00:00,0.001,0.0,0.001,0.12255219735291428,0.0,0.0
2024-01-01 13:15:00,0.001,0.0,0.001,0.27455219735291425,0.0,0.0
2024-01-01 13:30:00,0.001,0.0,0.001,0.1478855306862476,0.0,0.0
2024-01-01 13:45:00,0.001,0.0,0.001,0.06562087894116572,0.0,0.0
2024-01-01 14:00:00,0.001,0.0,0.001,0.053,0.0,1.2
2024-01-01 14:15:00,0.001,0.0,0.001,0.053,0.0,0.9
2024-01-01 14:30:00,0.001,0.0,0.001,0.19233333333333333,0.0,0.0
2024-01-01 14:45:00,0.001,0.0,0.001,0.205,2.6666666666666665,0.0
2024-01-01 15:00:00,0.001,0.0,0.001,0.053,0.0,0.0
2024-01-01 15:15:00,0.001,0.0,0.001,0.5860666666666667,0.0,0.0
