,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.23609999999999998,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.18769999999999998,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.32703333333333334,0.0,0.0,0.3
2024-01-01 00:45:00,0.001,0.001,0.4296999999999999,0.0,0.0,0.9
2024-01-01 01:00:00,0.001,0.001,0.20969999999999997,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.18769999999999998,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.18769999999999998,0.0,0.0,0.8
2024-01-01 01:45:00,0.001,0.001,0.36503333333333327,0.0,0.0,1.2
2024-01-01 02:00:00,0.001,0.001,0.31103333333333333,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.3871666666666666,0.0,1.8,0.7
2024-01-01 02:30:00,0.001,0.001,0.3087,0.0,1.4,1.5
2024-01-01 02:45:00,0.001,0.001,0.2526133333333333,0.0,0.0,1.5
2024-01-01 03:00:00,0.001,0.001,0.36300000000000004,0.0,0.0,1.3
2024-01-01 03:15:00,0.001,0.001,0.20406666666666667,0.0,0.0,0.6
2024-01-01 03:30:00,0.001,0.001,0.10333333333333333,0.0,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.6584000000000001,0.0,0.0,0.5
2024-01-01 04:00:00,0.001,0.001,0.11533333333333333,0.0,0.0,0.5
2024-01-01 04:15:00,0.001,0.001,0.242,0.0,2.0,0.0
2024-01-01 04:30:00,0.001,0.001,0.07733333333333332,0.0,1.2,0.0
2024-01-01 04:45:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.13266666666666665,0.0,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.19733333333333333,0.0,2.6,0.0
2024-01-01 05:30:00,0.001,0.001,0.22933333333333333,0.0,3.0,1.0
2024-01-01 05:45:00,0.001,0.001,0.052,0.0,2.8,0.0
2024-01-01 06:00:00,0.001,0.001,0.052,0.0,2.6,0.0
2024-01-01 06:15:00,0.001,0.001,0.052,0.0,0.4,0.0
2024-01-01 06:30:00,0.001,0.001,0.3013333333333333,0.0,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.206,0.0,2.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.052,0.0,3.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.052,0.0,1.8,0.0
2024-01-01 07:30:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.7917333333333333,0.0,0.0,0.9
2024-01-01 08:00:00,0.001,0.001,0.24866666666666667,0.0,0.0,0.5
2024-01-01 08:15:00,0.001,0.001,0.052,0.0,0.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.052,0.0,2.2,0.0
2024-01-01 08:45:00,0.001,0.001,0.07733333333333332,0.0,1.4,1.0
2024-01-01 09:00:00,0.001,0.001,0.25006666666666666,0.0,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.295,0.0,0.0,0.6
2024-01-01 09:30:00,0.001,0.001,2.239,0.0,0.0,1.5
2024-01-01 09:45:00,0.001,0.001,0.3063333333333333,0.0,0.0,0.1
2024-01-01 10:00:00,0.001,0.001,0.23633333333333334,0.0,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.36300000000000004,0.0,3.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.10959999999999999,0.0,0.4,0.0
