,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.16766666666666669,0.0,0.0
2024-01-01 00:15:00,0.001,0.041,0.0,0.0
2024-01-01 00:30:00,0.001,0.041,0.0,0.0
2024-01-01 00:45:00,0.001,0.041,0.0,0.0
2024-01-01 01:00:00,0.001,0.041,0.0,0.0
2024-01-01 01:15:00,0.001,0.21833333333333335,0.0,0.0
2024-01-01 01:30:00,0.001,0.21833333333333335,0.0,0.0
2024-01-01 01:45:00,0.001,0.041,0.0,0.0
2024-01-01 02:00:00,0.001,0.041,0.0,0.0
2024-01-01 02:15:00,0.001,0.041,0.0,0.0
2024-01-01 02:30:00,0.001,0.041,0.0,0.0
2024-01-01 02:45:00,0.001,0.1692431656496898,0.0,0.0
2024-01-01 03:00:00,0.001,0.7758904090393401,0.0,0.0
2024-01-01 03:15:00,0.001,0.09292722219620113,0.0,0.0
2024-01-01 03:30:00,0.001,0.0843759397255878,0.0,0.0
2024-01-01 03:45:00,0.001,0.0843759397255878,0.0,0.6
2024-01-01 04:00:00,0.001,0.07334044684442587,0.0,0.0
2024-01-01 04:15:00,0.001,0.1485521973529143,0.0,2.8
2024-01-01 04:30:00,0.001,0.2625521973529143,0.0,0.6
2024-01-01 04:45:00,0.001,0.14439102543136,0.0,0.0
2024-01-01 05:00:00,0.001,0.041,0.0,0.0
2024-01-01 05:15:00,0.001,0.5740666666666667,0.0,0.0
2024-01-01 05:30:00,0.001,0.041,0.0,0.0
2024-01-01 05:45:00,0.001,0.06633333333333334,0.0,0.0
2024-01-01 06:00:00,0.001,0.231,0.0,0.0
2024-01-01 06:15:00,0.001,0.18033333333333335,0.0,0.0
2024-01-01 06:30:00,0.001,0.041,0.0,0.0
2024-01-01 06:45:00,0.001,0.06203479823527621,0.0,0.0
2024-01-01 07:00:00,0.001,0.07255219735291431,0.0,0.0
2024-01-01 07:15:00,0.001,0.07255219735291431,0.0,0.0
2024-01-01 07:30:00,0.001,0.23721886401958098,0.0,0.0
2024-01-01 07:45:00,0.001,0.7935153841960534,0.0,0.0
2024-01-01 08:00:00,0.001,0.041,0.0,0.0
2024-01-01 08:15:00,0.001,0.041,0.0,0.0
2024-01-01 08:30:00,0.001,0.07255219735291431,0.0,2.6
2024-01-01 08:45:00,0.001,0.07255219735291431,0.0,0.0
2024-01-01 09:00:00,0.001,0.19443469226802995,0.0,0.0
2024-01-01 09:15:00,0.001,0.2659620204314773,0.4666666666666667,0.0
2024-01-01 09:30:00,0.001,0.15809040903934019,7.0,0.0
2024-01-01 09:45:00,0.001,0.1438237423726735,7.0,0.0
2024-01-01 10:00:00,0.001,0.1438237423726735,7.0,0.0
2024-01-01 10:15:00,0.001,1.8054549161581783,4.666666666666667,0.0
2024-01-01 10:30:00,0.001,0.771,0.0,0.0
2024-01-01 10:45:00,0.001,0.231,0.0,0.0
2024-01-01 11:00:00,0.001,0.5421333333333334,0.4666666666666667,0.0
2024-01-01 11:15:00,0.001,0.4408,2.3333333333333335,0.0
2024-01-01 11:30:00,0.001,0.041,0.0,0.0
2024-01-01 11:45:00,0.001,0.041,0.0,0.0
2024-01-01 12:00:00,0.001,0.05366666666666667,0.0,0.0
2024-01-01 12:15:00,0.001,0.231,0.0,0.0
2024-01-01 12:30:00,0.001,0.193,0.0,0.0
2024-01-01 12:45:00,0.001,0.041,0.0,0.0
2024-01-01 13:00:00,0.001,0.041,0.0,0.0
2024-01-01 13:15:00,0.001,0.041,0.0,0.0
2024-01-01 13:30:00,0.001,0.041,0.0,0.0
2024-01-01 13:45:00,0.001,0.193,0.0,0.0
2024-01-01 14:00:00,0.001,0.231,0.0,0.0
2024-01-01 14:15:00,0.001,0.5867333333333333,0.0,0.0
2024-01-01 14:30:00,0.001,0.041,0.0,0.0
2024-01-01 14:45:00,0.001,0.041,0.0,0.0
2024-01-01 15:00:00,0.001,0.041,0.0,0.0
2024-01-01 15:15:00,0.001,0.14233333333333334,0.0,0.0
2024-01-01 15:30:00,0.001,0.231,0.0,0.0
2024-01-01 15:45:00,0.001,0.10433333333333335,0.0,2.6
2024-01-01 16:00:00,0.001,0.041,0.0,0.0
2024-01-01 16:15:00,0.001,0.041,0.0,0.0
2024-01-01 16:30:00,0.001,0.041,0.0,0.0
2024-01-01 16:45:00,0.001,0.09166666666666666,0.0,0.0
2024-01-01 17:00:00,0.001,0.231,0.0,0.0
2024-01-01 17:15:00,0.001,0.155,0.0,0.0
2024-01-01 17:30:00,0.001,0.041,0.0,0.0
2024-01-01 17:45:00,0.001,0.041,0.0,0.0
2024-01-01 18:00:00,0.001,0.041,0.0,0.0
2024-01-01 18:15:00,0.001,0.041,0.0,0.0
2024-01-01 18:30:00,0.001,0.231,0.0,0.0
2024-01-01 18:45:00,0.001,0.20566666666666666,0.0,0.0
2024-01-01 19:00:00,0.001,0.041,0.0,0.0
2024-01-01 19:15:00,0.001,0.041,0.0,0.0
2024-01-01 19:30:00,0.001,0.041,0.0,0.0
2024-01-01 19:45:00,0.001,0.041,0.0,0.0
2024-01-01 20:00:00,0.001,0.3150533333333333,0.0,0.0
2024-01-01 20:15:00,0.001,0.49689772524713166,0.0,0.0
2024-01-01 20:30:00,0.001,0.3664092730589211,0.0,0.0
2024-01-01 20:45:00,0.001,0.3410759397255878,0.0,0.0
2024-01-01 21:00:00,0.10380772589538387,0.3410759397255878,0.0,2.6
2024-01-01 21:15:00,0.20671234924320997,0.3410759397255878,0.0,0.0
2024-01-01 21:30:00,1.1731496535286334,0.6962759397255878,0.0,0.0
2024-01-01 21:45:00,0.1215106793706645,0.6643426063922545,0.0,0.0
2024-01-01 22:00:00,0.15265282371868386,0.41707593972558776,0.0,0.0
2024-01-01 22:15:00,0.30594172154070426,0.3410759397255878,0.0,0.0
2024-01-01 22:30:00,0.5891640288904405,0.3410759397255878,0.0,0.0
2024-01-01 22:45:00,0.125838916766587,0.3410759397255878,0.0,0.0
2024-01-01 23:00:00,0.28592485526772343,0.3710092730589211,0.0,0.0
2024-01-01 23:15:00,0.02783157966366483,0.5068759397255878,0.0,0.0
2024-01-01 23:30:00,0.001,0.4551217274510887,0.0,0.0
2024-01-01 23:45:00,0.001,0.3063707444066272,0.0,0.0
2024-01-02 00:00:00,0.001,0.3095237423726735,0.0,0.0
2024-01-02 00:15:00,0.001,0.6196104090393403,0.0,0.0
2024-01-02 00:30:00,0.001,0.18609040903934018,0.0,0.0
2024-01-02 00:45:00,0.001,0.22621582824844902,0.0,0.0
2024-01-02 01:00:00,0.001,0.6181333333333333,0.0,0.0
2024-01-02 01:15:00,0.001,0.4408,0.0,0.0
2024-01-02 01:30:00,0.001,0.041,0.0,0.0
2024-01-02 01:45:00,0.001,0.041,0.0,0.0
2024-01-02 02:00:00,0.001,0.041,0.0,0.0
