,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.48816610740923133,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.46325219735291434,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.41029798507841525,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.2588333333333333,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.3730333333333333,0.0,1.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.2630333333333333,0.0,1.2
2024-01-01 01:30:00,0.001,0.001,0.0,0.18969999999999995,0.0,1.8
2024-01-01 01:45:00,0.001,0.001,0.0,0.18969999999999995,0.0,1.6
2024-01-01 02:00:00,0.001,0.001,0.0,0.11732666666666665,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.11733333333333333,0.13333333333333333,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.238,2.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.07600000000000001,1.0666666666666667,1.6
2024-01-01 03:00:00,0.001,0.001,0.0,0.054,0.0,0.4
2024-01-01 03:15:00,0.001,0.001,0.0,0.054,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.054,0.0,0.2
2024-01-01 03:45:00,0.001,0.001,0.0,0.20466666666666666,0.0,1.2
2024-01-01 04:00:00,0.001,0.001,0.0,0.17266666666666666,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.5870666666666666,1.7333333333333334,1.4
2024-01-01 04:30:00,0.001,0.001,0.0,0.054,2.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.054,0.6666666666666666,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.054,1.3333333333333333,1.2
2024-01-01 05:15:00,0.001,0.001,0.0,0.294,2.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.08333333333333333,2.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.054,1.8666666666666667,1.6
2024-01-01 06:00:00,0.001,0.001,0.0,0.054,2.0,2.4
2024-01-01 06:15:00,0.001,0.001,0.0,0.054,0.6666666666666666,3.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.10866666666666666,0.0,3.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.2764666666666667,0.0,0.2
2024-01-01 07:00:00,0.001,0.001,0.0,0.4668,0.0,1.6
2024-01-01 07:15:00,0.001,0.001,0.0,0.067,0.0,1.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.067,0.0,0.2
2024-01-01 07:45:00,0.001,0.001,0.0,0.0618,1.7333333333333334,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.7437333333333332,2.0,0.0
