,WashingMachine,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.1895237423726735,0.0
2024-01-01 00:15:00,0.001,0.2631589938981388,0.0
2024-01-01 00:30:00,0.001,0.3397,0.0
2024-01-01 00:45:00,0.001,0.2583666666666667,0.0
2024-01-01 01:00:00,0.001,0.1777,0.0
2024-01-01 01:15:00,0.001,0.1777,0.0
2024-01-01 01:30:00,0.001,0.1777,0.0
2024-01-01 01:45:00,0.001,0.3370333333333333,0.0
2024-01-01 02:00:00,0.001,0.3003666666666667,0.0
2024-01-01 02:15:00,0.001,0.21436666666666668,0.0
2024-01-01 02:30:00,0.001,0.1777,0.0
2024-01-01 02:45:00,0.001,0.08723333333333333,0.0
2024-01-01 03:00:00,0.001,0.08000000000000002,0.0
2024-01-01 03:15:00,0.001,0.22000000000000003,0.0
2024-01-01 03:30:00,0.001,0.14466666666666667,0.0
2024-01-01 03:45:00,0.001,0.042,0.0
2024-01-01 04:00:00,0.001,0.042,0.0
2024-01-01 04:15:00,0.001,0.042,0.0
2024-01-01 04:30:00,0.001,0.15600000000000003,0.0
2024-01-01 04:45:00,0.001,0.188,0.0
2024-01-01 05:00:00,0.001,0.10066666666666667,0.0
2024-01-01 05:15:00,0.001,0.042,0.0
2024-01-01 05:30:00,0.001,0.042,0.0
2024-01-01 05:45:00,0.001,0.042,0.0
2024-01-01 06:00:00,0.001,0.23600000000000002,0.0
2024-01-01 06:15:00,0.001,0.152,0.0
2024-01-01 06:30:00,0.001,0.056666666666666664,0.0
2024-01-01 06:45:00,0.001,0.042,0.0
2024-01-01 07:00:00,0.001,0.042,0.0
2024-01-01 07:15:00,0.001,0.11800000000000001,11.0
2024-01-01 07:30:00,0.001,0.20400000000000001,15.0
2024-01-01 07:45:00,0.001,0.12266666666666666,5.0
2024-01-01 08:00:00,0.001,0.042,0.0
2024-01-01 08:15:00,0.001,0.042,0.0
2024-01-01 08:30:00,0.001,0.042,0.0
2024-01-01 08:45:00,0.001,0.6011333333333333,0.0
2024-01-01 09:00:00,0.001,0.16466666666666666,0.0
2024-01-01 09:15:00,0.001,0.0912875456078324,0.0
2024-01-01 09:30:00,0.001,0.07355219735291431,0.0
2024-01-01 09:45:00,0.001,0.07355219735291431,0.0
2024-01-01 10:00:00,0.001,0.11155219735291431,0.0
2024-01-01 10:15:00,0.001,0.2515521973529143,0.0
2024-01-01 10:30:00,0.001,0.16359798507841525,0.0
2024-01-01 10:45:00,0.001,0.042,0.0
2024-01-01 11:00:00,0.001,0.042,0.0
2024-01-01 11:15:00,0.001,0.042,0.0
2024-01-01 11:30:00,0.001,0.15600000000000003,0.0
2024-01-01 11:45:00,0.001,0.188,0.0
2024-01-01 12:00:00,0.001,0.10066666666666667,0.0
2024-01-01 12:15:00,0.001,0.042,0.0
2024-01-01 12:30:00,0.001,0.042,0.0
2024-01-01 12:45:00,0.001,0.042,0.0
2024-01-01 13:00:00,0.001,0.23600000000000002,0.0
2024-01-01 13:15:00,0.001,0.152,0.0
2024-01-01 13:30:00,0.001,0.45646666666666663,0.0
2024-01-01 13:45:00,0.001,0.042,0.0
2024-01-01 14:00:00,0.001,0.042,0.0
2024-01-01 14:15:00,0.001,0.11800000000000001,0.0
2024-01-01 14:30:00,0.001,0.23134523770585907,0.0
2024-01-01 14:45:00,0.001,0.154218864019581,0.0
2024-01-01 15:00:00,0.001,0.07355219735291431,0.0
2024-01-01 15:15:00,0.001,0.07355219735291431,0.0
2024-01-01 15:30:00,0.001,0.3400855306862477,0.0
2024-01-01 15:45:00,0.001,0.36194523770585907,0.0
2024-01-01 16:00:00,0.001,0.16466666666666666,0.0
2024-01-01 16:15:00,0.001,0.07866666666666666,0.0
2024-01-01 16:30:00,0.001,0.042,0.0
2024-01-01 16:45:00,0.001,0.042,0.0
2024-01-01 17:00:00,0.001,0.11226666666666667,0.0
2024-01-01 17:15:00,0.001,0.341,0.0
2024-01-01 17:30:00,0.001,0.26566666666666666,0.0
2024-01-01 17:45:00,0.001,0.163,0.0
2024-01-01 18:00:00,0.001,0.5628,0.0
2024-01-01 18:15:00,0.001,0.3327333333333333,0.0
2024-01-01 18:30:00,0.001,0.4225333333333333,0.0
2024-01-01 18:45:00,0.001,0.7210666666666666,0.0
2024-01-01 19:00:00,0.001,0.10697710613724953,0.0
2024-01-01 19:15:00,0.001,0.07355219735291431,0.0
2024-01-01 19:30:00,0.001,0.07355219735291431,0.0
2024-01-01 19:45:00,0.001,0.07355219735291431,0.0
2024-01-01 20:00:00,0.001,0.8006188640195809,0.0
2024-01-01 20:15:00,0.001,0.23581190437252572,0.0
2024-01-01 20:30:00,0.001,0.17766666666666667,0.0
2024-01-01 20:45:00,0.001,0.163,0.0
2024-01-01 21:00:00,0.001,0.163,0.0
2024-01-01 21:15:00,0.001,0.239,0.0
2024-01-01 21:30:00,0.001,0.2766,0.0
2024-01-01 21:45:00,0.001,0.13212566056480546,0.0
2024-01-01 22:00:00,0.001,0.06995707570600683,0.0
2024-01-01 22:15:00,0.297276234069305,0.1748237423726735,0.0
2024-01-01 22:30:00,0.7682342728211028,0.1748237423726735,0.0
2024-01-01 22:45:00,0.23075527013400157,0.33415707570600683,0.0
2024-01-01 23:00:00,0.1654467459191263,0.3290426063922545,0.0
2024-01-01 23:15:00,0.862219893075306,0.30636927305892114,0.0
2024-01-01 23:30:00,0.927589509504157,0.3420759397255878,0.0
2024-01-01 23:45:00,0.10276240932223042,0.33419344481047214,0.0
2024-01-02 00:00:00,0.2128863143598306,0.3472173991176381,0.0
2024-01-02 00:15:00,0.3086838360627439,0.4767,0.0
2024-01-02 00:30:00,0.001,0.4013666666666667,0.0
2024-01-02 00:45:00,0.001,0.29869999999999997,0.0
2024-01-02 01:00:00,0.001,0.29869999999999997,0.0
2024-01-02 01:15:00,0.001,0.2261,0.0
2024-01-02 01:30:00,0.001,0.29169999999999996,0.0
2024-01-02 01:45:00,0.001,0.3237,0.0
2024-01-02 02:00:00,0.001,0.7694333333333333,0.0
2024-01-02 02:15:00,0.001,0.1777,0.0
2024-01-02 02:30:00,0.001,0.1777,0.0
2024-01-02 02:45:00,0.001,0.1777,0.0
2024-01-02 03:00:00,0.001,0.3717,0.0
2024-01-02 03:15:00,0.001,0.2877,0.0
2024-01-02 03:30:00,0.001,0.19236666666666666,0.0
2024-01-02 03:45:00,0.001,0.1777,0.0
2024-01-02 04:00:00,0.001,0.1777,0.0
2024-01-02 04:15:00,0.001,0.7867666666666666,0.0
2024-01-02 04:30:00,0.001,0.31256,0.0
2024-01-02 04:45:00,0.001,0.12266666666666666,0.0
2024-01-02 05:00:00,0.001,0.042,0.0
2024-01-02 05:15:00,0.001,0.042,0.0
2024-01-02 05:30:00,0.001,0.5750666666666666,0.0
2024-01-02 05:45:00,0.001,0.20133333333333334,0.0
2024-01-02 06:00:00,0.001,0.16466666666666666,6.0
2024-01-02 06:15:00,0.001,0.07866666666666666,2.0
2024-01-02 06:30:00,0.001,0.042,0.0
2024-01-02 06:45:00,0.001,0.042,0.0
2024-01-02 07:00:00,0.001,0.08000000000000002,0.0
2024-01-02 07:15:00,0.001,0.22000000000000003,0.0
2024-01-02 07:30:00,0.001,0.14466666666666667,0.0
2024-01-02 07:45:00,0.001,0.042,0.0
2024-01-02 08:00:00,0.001,0.042,0.0
2024-01-02 08:15:00,0.001,0.04594124745755783,0.0
2024-01-02 08:30:00,0.001,0.1678237423726735,0.0
2024-01-02 08:45:00,0.001,0.1998237423726735,0.0
2024-01-02 09:00:00,0.001,0.11249040903934017,0.0
2024-01-02 09:15:00,0.001,0.0538237423726735,0.0
2024-01-02 09:30:00,0.001,0.05067074440662723,12.0
2024-01-02 09:45:00,0.001,0.042,10.0
2024-01-02 10:00:00,0.001,0.34640000000000004,0.0
2024-01-02 10:15:00,0.001,0.152,0.0
2024-01-02 10:30:00,0.001,0.056666666666666664,0.0
2024-01-02 10:45:00,0.001,0.042,0.0
2024-01-02 11:00:00,0.001,0.042,0.0
2024-01-02 11:15:00,0.001,0.11800000000000001,0.0
2024-01-02 11:30:00,0.001,0.20400000000000001,0.0
2024-01-02 11:45:00,0.001,0.12266666666666666,0.0
2024-01-02 12:00:00,0.001,0.042,0.0
2024-01-02 12:15:00,0.001,0.042,0.0
2024-01-02 12:30:00,0.001,0.042,0.0
2024-01-02 12:45:00,0.001,0.20133333333333334,0.0
2024-01-02 13:00:00,0.001,0.16466666666666666,0.0
2024-01-02 13:15:00,0.001,0.07866666666666666,0.0
2024-01-02 13:30:00,0.001,0.042,0.0
2024-01-02 13:45:00,0.001,0.042,0.0
2024-01-02 14:00:00,0.001,0.08000000000000002,0.0
2024-01-02 14:15:00,0.001,0.22000000000000003,0.0
2024-01-02 14:30:00,0.001,0.14466666666666667,0.0
2024-01-02 14:45:00,0.001,0.042,0.0
2024-01-02 15:00:00,0.001,0.042,0.0
2024-01-02 15:15:00,0.001,0.042,0.0
2024-01-02 15:30:00,0.001,0.15600000000000003,0.0
2024-01-02 15:45:00,0.001,0.188,0.0
2024-01-02 16:00:00,0.001,0.10066666666666667,0.0
2024-01-02 16:15:00,0.001,0.042,0.0
2024-01-02 16:30:00,0.001,0.042,0.0
2024-01-02 16:45:00,0.001,0.042,9.0
2024-01-02 17:00:00,0.001,0.23600000000000002,0.0
2024-01-02 17:15:00,0.001,0.152,0.0
2024-01-02 17:30:00,0.001,0.056666666666666664,0.0
2024-01-02 17:45:00,0.001,0.042,0.0
2024-01-02 18:00:00,0.001,0.042,0.0
2024-01-02 18:15:00,0.001,0.11800000000000001,0.0
2024-01-02 18:30:00,0.001,0.20400000000000001,0.0
2024-01-02 18:45:00,0.001,0.12266666666666666,0.0
2024-01-02 19:00:00,0.001,0.44179999999999997,0.0
2024-01-02 19:15:00,0.001,0.042,0.0
2024-01-02 19:30:00,0.001,0.052247243389650366,0.0
2024-01-02 19:45:00,0.001,0.6129570757060069,0.0
2024-01-02 20:00:00,0.001,0.2168237423726735,0.0
2024-01-02 20:15:00,0.001,0.2241112879805059,0.0
2024-01-02 20:30:00,0.001,0.2000699437934953,0.0
2024-01-02 20:45:00,0.001,0.19455219735291432,0.0
2024-01-02 21:00:00,0.001,0.2506455306862476,0.0
2024-01-02 21:15:00,0.001,0.5019417578823314,0.0
2024-01-02 21:30:00,0.001,0.3777707444066272,0.0
2024-01-02 21:45:00,0.001,0.1895237423726735,0.0
2024-01-02 22:00:00,0.001,0.21476550025500493,0.0
2024-01-02 22:15:00,0.001,0.2452759397255878,0.0
2024-01-02 22:30:00,0.001,0.45607593972558774,0.0
2024-01-02 22:45:00,0.001,1.010895363002604,0.0
2024-01-02 23:00:00,0.001,0.388918864019581,0.0
2024-01-02 23:15:00,0.001,0.35618553068624764,0.0
2024-01-02 23:30:00,0.001,0.24325219735291428,0.0
2024-01-02 23:45:00,0.001,0.22324452458438643,0.0
2024-01-03 00:00:00,0.001,0.40035158096089446,0.0
2024-01-03 00:15:00,0.001,0.2995237423726735,0.0
2024-01-03 00:30:00,0.001,0.20419040903934016,0.0
2024-01-03 00:45:00,0.001,0.18479424542360412,0.0
2024-01-03 01:00:00,0.001,0.7107666666666667,0.0
2024-01-03 01:15:00,0.001,0.2537,0.0
2024-01-03 01:30:00,0.001,0.3397,0.0
2024-01-03 01:45:00,0.001,0.2583666666666667,0.0
2024-01-03 02:00:00,0.001,0.1777,0.0
2024-01-03 02:15:00,0.001,0.1777,0.0
2024-01-03 02:30:00,0.001,0.07818666666666667,0.0
2024-01-03 02:45:00,0.001,0.20133333333333334,0.0
2024-01-03 03:00:00,0.001,0.16466666666666666,0.0
2024-01-03 03:15:00,0.001,0.07866666666666666,0.0
2024-01-03 03:30:00,0.001,0.052247243389650366,0.0
2024-01-03 03:45:00,0.001,0.0538237423726735,0.0
2024-01-03 04:00:00,0.001,0.0918237423726735,0.0
2024-01-03 04:15:00,0.001,0.2318237423726735,0.0
2024-01-03 04:30:00,0.001,0.5531374110732938,0.0
2024-01-03 04:45:00,0.001,0.5750666666666666,0.0
2024-01-03 05:00:00,0.001,0.042,0.0
2024-01-03 05:15:00,0.001,0.042,0.0
2024-01-03 05:30:00,0.001,0.15600000000000003,0.0
2024-01-03 05:45:00,0.001,0.188,0.0
2024-01-03 06:00:00,0.001,0.10066666666666667,0.0
2024-01-03 06:15:00,0.001,0.042,0.0
2024-01-03 06:30:00,0.001,0.042,0.0
2024-01-03 06:45:00,0.001,0.042,0.0
2024-01-03 07:00:00,0.001,0.23600000000000002,0.0
2024-01-03 07:15:00,0.001,0.152,0.0
2024-01-03 07:30:00,0.001,0.5897333333333333,0.0
2024-01-03 07:45:00,0.001,0.042,0.0
2024-01-03 08:00:00,0.001,0.042,0.0
2024-01-03 08:15:00,0.001,0.20673333333333332,0.0
2024-01-03 08:30:00,0.001,0.325,0.0
2024-01-03 08:45:00,0.001,0.24366666666666667,0.0
2024-01-03 09:00:00,0.001,0.163,0.0
2024-01-03 09:15:00,0.001,0.163,0.0
2024-01-03 09:30:00,0.001,0.19946666666666665,0.0
2024-01-03 09:45:00,0.001,0.46786666666666665,0.0
2024-01-03 10:00:00,0.001,0.16466666666666666,0.0
2024-01-03 10:15:00,0.001,0.07866666666666666,0.0
2024-01-03 10:30:00,0.001,0.042,0.0
2024-01-03 10:45:00,0.001,0.042,4.0
2024-01-03 11:00:00,0.09392164779051025,0.08000000000000002,15.0
2024-01-03 11:15:00,0.2165984273480836,0.22788249491511567,13.0
2024-01-03 11:30:00,1.1430523432723534,0.5562904090393401,0.0
2024-01-03 11:45:00,0.1447400146355617,0.1748237423726735,0.0
2024-01-03 12:00:00,0.1411019904780345,0.19165158096089446,0.0
2024-01-03 12:15:00,0.2720530160899676,0.20164644277651841,0.0
2024-01-03 12:30:00,0.6309848638715755,0.7083521973529143,0.0
2024-01-03 12:45:00,0.12937987831482983,0.3421286963359374,0.0
2024-01-03 13:00:00,0.27823892558351815,0.15210927305892114,0.0
2024-01-03 13:15:00,0.3631753545248641,0.18131506078442208,0.0
2024-01-03 13:30:00,0.001,0.1895237423726735,0.0
2024-01-03 13:45:00,0.001,0.1895237423726735,0.0
2024-01-03 14:00:00,0.001,0.38115899389813884,0.0
2024-01-03 14:15:00,0.001,0.2877,0.0
2024-01-03 14:30:00,0.001,0.19236666666666666,0.0
2024-01-03 14:45:00,0.001,0.1777,0.0
2024-01-03 15:00:00,0.001,0.5775,0.0
2024-01-03 15:15:00,0.001,0.2537,0.0
2024-01-03 15:30:00,0.001,0.3397,0.0
2024-01-03 15:45:00,0.001,0.2583666666666667,0.0
2024-01-03 16:00:00,0.001,0.1777,0.0
2024-01-03 16:15:00,0.001,0.1777,0.0
2024-01-03 16:30:00,0.001,0.1777,0.0
2024-01-03 16:45:00,0.001,0.34018633129937953,0.0
2024-01-03 17:00:00,0.001,0.31219040903934014,0.0
2024-01-03 17:15:00,0.001,0.22619040903934015,0.0
2024-01-03 17:30:00,0.001,0.1895237423726735,0.0
2024-01-03 17:45:00,0.001,0.1895237423726735,0.0
2024-01-03 18:00:00,0.001,0.17324374237267348,0.0
2024-01-03 18:15:00,0.001,0.22157649898302315,0.0
2024-01-03 18:30:00,0.001,0.14466666666666667,0.0
2024-01-03 18:45:00,0.001,0.14686666666666667,0.0
2024-01-03 19:00:00,0.001,0.163,0.0
2024-01-03 19:15:00,0.001,0.163,0.0
2024-01-03 19:30:00,0.001,0.277,0.0
2024-01-03 19:45:00,0.001,0.3975647484745347,0.0
2024-01-03 20:00:00,0.001,0.5122904090393401,0.0
2024-01-03 20:15:00,0.001,0.4683481011373669,0.0
2024-01-03 20:30:00,0.001,0.19830927305892115,0.0
2024-01-03 20:45:00,0.001,0.20637593972558782,0.0
2024-01-03 21:00:00,0.001,0.3932816943019837,0.0
2024-01-03 21:15:00,0.001,0.3163759397255878,0.0
2024-01-03 21:30:00,0.001,0.22104260639225448,0.0
2024-01-03 21:45:00,0.001,0.20637593972558782,0.0
2024-01-03 22:00:00,0.001,0.3426826063922545,0.0
2024-01-03 22:15:00,0.001,0.3265359397255878,0.0
2024-01-03 22:30:00,0.001,0.5040759397255878,0.0
2024-01-03 22:45:00,0.001,0.4262915266183402,0.0
2024-01-03 23:00:00,0.001,0.366616945827449,0.0
2024-01-03 23:15:00,0.001,0.9091426063922545,0.0
2024-01-03 23:30:00,0.001,0.3488759397255878,0.0
2024-01-03 23:45:00,0.001,0.44494260639225447,0.0
2024-01-04 00:00:00,0.001,0.40827593972558784,0.0
2024-01-04 00:15:00,0.001,0.3779543569007429,0.0
2024-01-04 00:30:00,0.001,0.33025219735291433,0.0
2024-01-04 00:45:00,0.001,0.33025219735291433,0.0
2024-01-04 01:00:00,0.001,0.35352783858822096,0.0
2024-01-04 01:15:00,0.001,0.44402,0.0
2024-01-04 01:30:00,0.001,0.28036666666666665,0.0
2024-01-04 01:45:00,0.001,0.1777,0.0
2024-01-04 02:00:00,0.001,0.1777,0.0
2024-01-04 02:15:00,0.001,0.5775,0.0
2024-01-04 02:30:00,0.001,0.29169999999999996,0.0
2024-01-04 02:45:00,0.001,0.7529666666666667,0.0
2024-01-04 03:00:00,0.001,0.23417999999999997,0.0
2024-01-04 03:15:00,0.001,0.06466666666666666,0.0
2024-01-04 03:30:00,0.001,0.042,0.0
2024-01-04 03:45:00,0.001,0.042,0.0
2024-01-04 04:00:00,0.001,0.23600000000000002,0.0
2024-01-04 04:15:00,0.001,0.152,0.0
2024-01-04 04:30:00,0.001,0.056666666666666664,0.0
2024-01-04 04:45:00,0.001,0.44179999999999997,0.0
2024-01-04 05:00:00,0.001,0.042,0.0
2024-01-04 05:15:00,0.001,0.11800000000000001,0.0
2024-01-04 05:30:00,0.001,0.6038,0.0
2024-01-04 05:45:00,0.001,0.12266666666666666,0.0
2024-01-04 06:00:00,0.001,0.042,0.0
2024-01-04 06:15:00,0.001,0.042,0.0
2024-01-04 06:30:00,0.001,0.042,0.0
2024-01-04 06:45:00,0.001,0.20133333333333334,0.0
2024-01-04 07:00:00,0.001,0.16466666666666666,0.0
2024-01-04 07:15:00,0.001,0.07866666666666666,0.0
2024-01-04 07:30:00,0.001,0.5750666666666666,0.0
2024-01-04 07:45:00,0.001,0.042,0.0
2024-01-04 08:00:00,0.001,0.6130666666666666,0.0
2024-01-04 08:15:00,0.001,0.22000000000000003,0.0
2024-01-04 08:30:00,0.001,0.27315999999999996,0.0
2024-01-04 08:45:00,0.001,0.1777,0.0
2024-01-04 09:00:00,0.001,0.7435666666666665,0.0
2024-01-04 09:15:00,0.001,2.2996999999999996,0.0
2024-01-04 09:30:00,0.001,1.5573417578823312,0.0
2024-01-04 09:45:00,0.001,0.896518864019581,0.0
2024-01-04 10:00:00,0.001,2.3899188640195805,0.0
2024-01-04 10:15:00,0.001,2.331252197352914,0.0
2024-01-04 10:30:00,0.001,0.3507188640195809,0.0
2024-01-04 10:45:00,0.001,0.18190695964705525,0.0
2024-01-04 11:00:00,0.001,0.3717,0.0
2024-01-04 11:15:00,0.001,1.5032999999999999,0.0
2024-01-04 11:30:00,0.001,1.5736333333333332,0.0
